;processo;sentenca;similar_file;similar_init;similar_processo;similaridade
0;2016.001.009150-0;"Cuida-se de ação sob o rito sumaríssimo, por meio do qual busca a parte demandante a condenação da ré a obrigação de fazer consistente na regularização do serviço da linha (21) 22390624 e ao pagamento de indenização por danos morais no valor a ser arbitrado pelo Juízo.
Como causa de pedir, alega a demandante, em resumo, que é cliente da ré, que estava adimplente quando teve o serviço interrompido sem justificativa. Que tentou resolver o problema administrativamente, sem exito, permanecendo indisponível desde 14/01/2016.
A ré, em contestação sustenta não ter constatado qualquer problema, que houve regular prestação de serviço e efetiva utilização pelo que não haveria qualquer dano a ser reparado. 
Embora dispensado pela norma do artigo 38 da Lei 9.099/95, é o breve relatório, DECIDO.
 Inicialmente, convém frisar que a relação estabelecida entre as partes é de consumo, porquanto presentes os requisitos subjetivos (arts. 2º, caput, e 3º, caput, da Lei nº 8.078/90) e objetivo (art. 3º, § 2º, da Lei n.º 8.078/90) que a caracterizam.
Defiro, assim, a inversão do ônus da prova.
A ré não impugna objetivamente os fatos narrados na inicial. Não junta ela documentos capazes de demonstrar que o serviço estava ativo no período reclamado pela autora. 
Por outro lado a autora comprova às fls.13 e 16 o efetivo pagamento da fatura com vencimento em dez/2015 e jan/2016 que poderia ter originado a suspensão caso houvesse débito em aberto, contudo, comprovando os pagamentos constata-se a a suspensão do serviço indevidamente.  Sendo assim, concluo que a autora está de boa-fé e é verídica a narrativa contida na inicial.
Partindo dessa premissa, verifico falha na prestação de serviço, pois a autora foi privada do serviço adequado, mesmo estando adimplente com a ré. Em AIJ  (fls. 64) a autora afirmou que o serviço foi normalizado em 09/03/2016. Assim, a autora ficou de 14/01/2016 a 09/03/2016 sem serviço de telefone fixo, por falha da ré.  
Verifico a existência de danos morais indenizáveis. A autora demonstra ter realizado reclamações diretamente com a empresa na tentativa de resolver o problema administrativamente, sendo que o que pagou regularmente por serviço que foi injustamente interrompido permanecendo injustificadamente suspenso por quase 3 meses. 
Fica claro, portanto, que a autora teve expectativas legítimas suas frustradas por conta das falhas cometidas pela ré, capazes de atingir direitos personalíssimos seus, o que me autoriza, assim, a reconhecer a existência de danos morais indenizáveis. 
Levando em consideração a reprovação da conduta da ré e a extensão do dano, fixo em R$ 3.000,00 (tres mil reais) o valor a ser pago, pela ré a título de indenização por danos morais.
Deixo de julgar o pedido relativo a obrigação de fazer, por ter perdido o objeto, sendo certo que às fls. 64 a autora afirma a normalização do serviço em 09/03/2016, o que foi levado em consideração, inclusive, para a fixação da indenização por danos morais. 
	Pelo exposto, JULGO PARCIALMENTE PROCEDENTES OS PEDIDOS veiculados na inicial, a fim de CONDENAR A RÉ ao pagamento, da quantia de R$3.000,00 (tres mil reais) a título de indenização por danos morais, acrescida de juros de 1% ao mês contados a partir da citação e correção monetária segundo os índices fornecidos pela CGJ/TJ desde a publicação da sentença.
Sem custas e honorários, por força do disposto no artigo 55 da Lei Especial.
Rio de Janeiro, 30 de maio de 2016

JULIANA CORREIA GOMES
JUÍZA LEIGA

Submeto o projeto de sentença à homologação da Dra. Juíza de Direito, na forma do art. 40 da Lei 9.099/95.";00041C55464EAF10FC8563151522932A92ECC5046123403C;000497D471EA84C509665A617E9E2E94B495C504504F5C17;2016.001.030169-4;0.7811069488525391
1;2016.001.009150-0;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";00041C55464EAF10FC8563151522932A92ECC5046123403C;000497D471EA84C509665A617E9E2E94B495C504504F5C17;2016.001.030169-4;0.7811069488525391
2;2016.001.009150-0;HOMOLOGO, por sentença, o ACORDO celebrado às fls. e, em consequência, JULGO EXTINTO O PROCESSO, com resolução do mérito, nos moldes do art. 487, III, do NCPC. Retiro o feito de pauta. Sem custas. Com o trânsito em julgado, arquivem-se.;00044D7D22D00AF208226330918048122138C505033E2840;000431BFF2E2674CF0C2D0547B039B0B94DEC50445260A53;2016.001.021282-0;0.7781022787094116
3;2016.001.009150-0;"Homologo o acordo celebrado entre as partes para que surta seus jurídicos e legais efeitos, e julgo o feito extinto, com resolução do mérito, nos termos do art. 487, inc. III, b, do novo Código de Processo Civil ( Lei nº 13.105/ 2015). 

Se for o caso, comprovado o depósito, expeça-se mandado de pagamento em favor da parte autora, independentemente de nova conclusão.   Após, nada mais sendo requerido, dê-se baixa e arquivem-se. 


Decorrido o prazo do cumprimento o acordo, aguarde-se por cinco dias a manifestação das partes; não havendo manifestação,  dê-se baixa e arquive-se.";0004A03888D2C1DEEB490DAD1B1A0FF5CD6BC50517143946;000405E02331B5201EF20A1096B495B44F1AC50456466247;2016.001.141916-0;0.7749286890029907
4;2016.001.009150-0;"ESTADO DO RIO DE JANEIRO
PODER JUDICIÁRIO
VI Juizado Especial Cível da Comarca da Capital - RJ

Processo nº: 0159853-81.2016.8.19.0001
Autor: ROBERTO DIAS COELHO E ELISABETH DE LUCENA COELHO
Réu: TELEMAR NORTE LESTE S.A.

PROJETO DE SENTENÇA

Cuida-se de ação sob o rito sumaríssimo por meio da qual pedem os autores a condenação da ré ao pagamento de indenização por danos materiais (devolução do indevidamente cobrado) e morais. 
Como causa de pedir, alegam os demandantes, em resumo, que possuem casa na zona rural de Teresópolis e que, apesar da regular quitação da faturas, ficaram sem o serviço da ré entre os dias 31.12.15 e 10.2.16. São descritas na inicial diversas tentativas administrativas de resolução do problema.
Em contestação, a ré afirma que a pretensão autoral tem finalidade meramente indenizatória e que a linha dos autores encontra-se ativa e em perfeito funcionamento. No mais, alega não haver dano moral a ser indenizado.
Embora dispensado pela norma do artigo 38 da Lei 9.099/95, é o breve relatório, DECIDO.
Inicialmente, convém frisar que a relação estabelecida entre as partes é de consumo, porquanto presentes os requisitos subjetivos (arts. 2º, caput, e 3º, caput, da Lei nº 8.078/90) e objetivo (art. 3º, § 2º, da Lei n.º 8.078/90) que a caracterizam. Aplicável, portanto, o regime jurídico especial da Lei n.º 8.078/90, que assegura ao consumidor, como medida protetiva, a inversão do ônus da prova (artigo 6º, VIII, do CDC).
Assim, é ônus do fornecedor demonstrar os fatos extintivos ou modificativos do direito do consumidor, razão pela qual defiro a inversão do ônus da prova.
Caberia à ré, em razão do ônus probatório invertido, demonstrar a efetiva e adequada prestação do serviço contratado, valendo dizer que a concessionária de telefonia possui plenas condições de comprovar a sua prestação, bastando, para tanto, anexar aos autos o histórico de ligações recebidas e originadas da linha telefônica dos autores no período em comento.
A ré, todavia, não produz prova do alegado, cabendo registrar, ainda, que os autores demonstram estar de boa-fé, comprovando pelos documentos juntados a falta de consumo da sua linha, descrevendo nos autos, ainda, a realização de reclamações administrativas.
 		Diante da falta de notícias de que os autores tenham deixado de adimplir com qualquer fatura emitida pela ré, concluo pela falha na prestação do serviço.
Partindo dessa premissa, forçoso reconhecer como indevidas as cobranças impugnadas na inicial, cujos valores deverão ser restituídos pela ré.
Não havendo nos autos controvérsia a respeito das quantias cobradas, condeno a ré ao pagamento de R$ 208,92 (duzentos e oito reais e noventa e dois centavos).
Por fim, concluo pela existência dos danos morais alegados.
Apesar de se tratar de uma casa de veraneio, é esperado que a falta do serviço tenha trazido para aos autores alguns contratempos decorrentes da falta do serviço, sendo escritas na inicial, ainda, a realização de diversas reclamações administrativas, nenhuma delas impugnadas pela ré, circunstância que, ao meu ver, aponta para a violação de direitos personalíssimos dos autores. 
Levando-se em conta, portanto, a extensão do dano sofrido pelos autores e a reprovação da conduta da ré, concluo que se revela razoável o arbitramento da compensação por danos morais em R$ 2.000,00 (dois mil reais).
Pelo exposto, JULGO PARCIALMENTE PROCEDENTES OS PEDIDOS veiculados na inicial, para CONDENAR A RÉ a devolver aos autores a quantia de R$ 208,92 (duzentos e oito reais e noventa e dois centavos), acrescida de juros de 1% ao mês desde a citação e correção monetária segundo os índices fornecidos pela CGJ/TJ desde a data do desembolso.
Condeno a ré, ainda, a pagar aos autores a quantia de R$ 2.000,00 (dois mil reais) a título de compensação por danos morais, acrescida de juros de 1% ao mês e correção monetária segundo os índices fornecidos pela CGJ/TJ, ambos desde a data da publicação da sentença.
		Sem custas e honorários, por força do disposto no artigo 55 da Lei Especial.

P.R.I.

Rio de Janeiro, 15 de agosto de 2016

RENATO PERROTTA
JUIZ LEIGO


 		Submeto o projeto de sentença à homologação do Dr. Juiz de Direito, na forma do art. 40 da Lei 9.099/95.";0004CD2BD04DB3C589D0FBD94F49B3C81702C5051C152055;0004AF6592355E7D3EB6D919DF57DA7197D4C50504583829;2016.001.137584-3;0.7724834680557251
5;2016.001.009150-0;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004CD2BD04DB3C589D0FBD94F49B3C81702C5051C152055;0004AF6592355E7D3EB6D919DF57DA7197D4C50504583829;2016.001.137584-3;0.7724834680557251
6;2016.001.009150-0;"Dispensado o relatório, nos termos do artigo 38, da Lei 9099/95, PASSO A DECIDIR.
As  autoras alegam que sofreram indevido bloqueio na linha celular (21)  99822-0248 que no entanto foi cobrada na fatura  de janeiro de 2015 sem haver consumo no período. Por essa razão a autora não pagou a referida fatura. Requer a exclusão do valor indevidamente cobrado, desbloqueio da linha, bem como indenização por danos morais. 
Com relação ao pedido de desbloqueio da linha e cancelamento de débitos, observo que o réu comprovou às fls. 41 e ss o cumprimento da decisão que antecipou os efeitos da tutela, permanecendo, ainda, o pleito indenizatório.
Já o réu não trouxe aos autos qualquer fato impeditivo ou modificativo do direito das autoras, se limitando a contestar genéricamente a ação sustentando a inocorrencia de danos. Não tendo o réu apresentado qualquer justificativa para o bloqueio da linha nem para a demora no desbloqueio da mesma, nem tampouco para a cobrança referente linha bloqueada, de modo que eles devem ser considerados como indevidos.
Desta forma, restou configurada a falha na prestação do serviço pelo réu, de modo que se mostra devida a indenização pelos danos morais in re ipsa, ou seja, pela mera ocorrência do fato danoso, uma vez que foi frustrada a legítima expectativa do consumidor em ter um serviço prestado de forma eficiente, segura e adequada, além de ele ter sofrido uma grande angústia, por ter sido impossibilitado de utilizar o serviço telefonico por vários meses.
A fixação do quantum indenizatório deve ser pautada pelo bom senso e sopesar os fatos praticados pela parte ré contra as autoras, cabendo, ainda, a observância dos princípios da razoabilidade, proporcionalidade e vedação ao enriquecimento sem causa. À luz de tais critérios, entendo que a quantia de R$ 3.000,00, sendo R$1.500,00 para cada autora, é necessária e suficiente para compensar o abalo moral sofrido.
Ademais, tem-se que não há consumo no período em que a linha esteve bloqueada para ser cobrada contraprestação pelo serviço, de modo que a mesma não é devida não podendo as autoras sofrerem qualquer restrição decorrente de tais cobranças. Pelo que confirmo a decisão de fls. 29 que antecipou os efeitos da tutela. 
Isso posto JULGO PROCEDENTES os pedidos para CONFIRMAR A DECISÃO DE FLS. 29 bem como para CONDENAR o réu a pagar a cada autora a quantia de R$ 1.500,00 (mil e quinhentos reais), monetariamente corrigida a contar da presente e acrescida de juros legais de 1% a/m (um por cento ao mês) a contar da citação. 
Sem custas e sem honorários, nos termos do artigo 55, da Lei 9099/95.

Rio de Janeiro, 9 de maio de 2016

JULIANA CORREIA GOMES
JUÍZA LEIGA

 		Submeto o projeto de sentença à homologação do Dr. Juiz de Direito, na forma do art. 40 da Lei 9.099/95.";0004953EE56C1A995D714A053632C8EAD30EC5045D2E4D49;000439C7B32AC4CDF29B72982BE9A364E161C5044C271162;2016.001.024066-8;0.7648286819458008
7;2016.001.009150-0;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004953EE56C1A995D714A053632C8EAD30EC5045D2E4D49;000439C7B32AC4CDF29B72982BE9A364E161C5044C271162;2016.001.024066-8;0.7648286819458008
8;2016.001.009150-0;"
ESTADO DO RIO DE JANEIRO
PODER JUDICIÁRIO
V Juizado Especial Cível da Comarca da Capital 
Processo n° 0031753-11.2016.8.19.001
Autor: JOANA PESSOA MOTA
Autor: GUSTAVO RIBEIRO DE SOUZA MOTA
Autor: MARILIA MENDES PESSOA   
Réu: OI MÓVEL S/A
Réu: OI FIXO (TELEMAR)
PROJETO DE SENTENÇA

Dispensado o relatório, conforme possibilita o artigo 38 da Lei n. 9.099/95, passo a decidir.

Cuidam os autos de ação de conhecimento em que reclama a parte autora de defeito na prestação do serviço ofertado pela ré consistente no equívoco acerca da cobrança, a qual teve data de vencimento alterada unilateralmente, fato este que gerou a suspensão do serviço de telefonia.

A parte ré foi citada e ofereceu contestação eletrônica, onde suscitou a preliminar de conexão. No mérito, perseguiu a improcedência do pedido ao argumento de que não ocorreu defeito na prestação do serviço.

Rejeita-se a preliminar de conexão suscitada pela ré, visto que o objeto debatido nesta demanda é distinto do qual o ré alega a conexão. Ademais, o outro processo já teve julgamento, não havendo sequer de se cogitar de prejudicialidade no julgamento separado.

O autor Gustavo Ribeiro de Souza Mota não compareceu ao ato processual, devendo, portanto, o processo ser julgado extinto sem resolução do mérito com relação ao referido autor em virtude da ausência a ensejar aplicação do art. 51, I da Lei 9.099/95. Todavia, deixa-se de condenar o autor nas custas processuais em virtude do estatuído no art. 55 da Lei 9.099/95.





Não obstante, a sua advogada tenha formulado requerimento de desistência, a extinção deve ser ocorrer pela ausência ao ato processual, haja vista que em sede de Juizados Especiais Cíveis não se admite o instituto da representação, sendo exigível ainda o comparecimento pessoal da parte ao ato processual.

Com relação a autora  MARILIA MENDES PESSOA, o processo deve ser julgado extinto sem resolução do mérito, haja vista a sua flagrante ilegitimidade  para figurar no polo ativo da presente demanda, pois não possui relação jurídica com a empresa ré e tampouco é usuária do serviço a título de destinatária final. Desse modo, não há como se concluir pela sua legitimidade, devendo, portanto, ser aplicada a regra inserta no art.485, VI do CPC.

Oportuno destacar que, o fato de a autora MARILIA acompanhar sua filha ao estabelecimento da ré para solucionar o impasse não a torna destinatária do serviço e tampouco atingida pela suposta falha em sua prestação.

 A relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor ¿ art. 2o c/c art. 17 e art. 3o da Lei 8.078/90) e objetivos (produto e serviço ¿ §§ 1o e 2o do artigo 3o da mesma lei) de tal relação.

     As faturas acostadas a peça vestibular conferem verossimilhança às alegações autorais, fato este também demonstrado pelos diversos protocolos de atendimentos, razão pela qual, inverte-se o ônus da prova ao teor do art. 6º,VIII do CDC. 

                    Os réus atuam em parceria no mercado de consumo, razão pela qual, devem responder solidariamente por qualquer defeito na prestação do serviço  oriundo da presente relação em virtude da aplicação do art. 25, parágrafo primeiro, do CDC.

                     A responsabilidade civil da parte ré pelo fornecimento de serviço é objetiva (artigo 14 do Código de Defesa do Consumidor), assim, responde pelos danos causados à parte autora ainda que ausente sua culpa, arcando com os riscos de seu empreendimento, dos quais somente se exonera acaso comprove algumas das situações previstas no § 3º do art. 14, da Lei 8.078/90.

A ré não trouxe aos autos qualquer prova capaz de justificar a suspensão do serviço de telefonia na residência da autora e tampouco comprovou que tal fato tenha sido decorrente de culpa exclusiva do consumidor.


A reclamada não apresentou nos autos qualquer motivo plausível para justificar sua conduta, sendo forçoso inferir que seu ato foi obtido ao arrepio do Princípio da Boa Fé Objetiva.



Cabe notar que, a ré não se desincumbiu do ônus que lhe é imposto por lei, bem como não juntou qualquer documento capaz de elidir as alegações do consumidor hipossuficiente, ou excluir sua responsabilidade objetiva, por evidente defeito na prestação de serviço, em conformidade com o disposto no § 3º do art. 14, da Lei 8.078/90, ou mesmo, na forma do art. 373, II, do CPC.

   Com efeito, merece acolhimento o pedido formulado pela parte autora no sentido de condenar o réu na obrigação de restituir à autora a quantia no valor de  R$242,14 (duzentos e quarenta e dois reais e quatorze centavos), na forma simples, pois não ocorreu cobrança indevida, mas sim cobrança sem a prestação do serviço regularmente contratado durante determinado, o que configura engano justificável caracterizado na parte final do parágrafo único, do art. 42 do CDC.

 O dano moral decorre in re ipsa da conduta sofrida, pois o comportamento da parte ré consistente na  suspensão do serviço frustrou às legítimas expectativas do consumidor.

Na mensuração do dano moral, deve o magistrado se orientar pelos critérios de razoabilidade e proporcionalidade, não se olvidando de observar gravidade maior no evento, motivo por que, fixo o dano imaterial no valor de R$ 2.000,00 (dois mil reais).

Posto isso, Julgo Extinto o Processo Sem Resolução do Mérito com relação ao autor GUSTAVO RIBEIRO DE SOUZA MOTA na forma do art. 51, I da Lei 9.099/95 e Julgo Extinto o Processo Sem Resolução do Mérito com relação a autora MARILIA MENDES PESSOA na forma do art. 485, VI do CPC e JULGO PARCIALMENTE PROCEDENTE O PEDIDO e extinta a fase de conhecimento com resolução do mérito na forma do art. 487, I do CPC, para: 1) condenar solidariamente as rés a pagarem a parte autora JOANA PESSOA MOTA, a título de compensação por danos morais, a quantia de R$ 2.000,00  (dois mil reais), corrigida monetariamente desde a presente e acrescida de juros legais de 1% ao mês a partir da citação; 2) condenar solidariamente os réus a restituírem a autora JOANA PESSOA MOTA, na forma simples, na quantia líquida de R$242,14 (duzentos e quarenta e dois reais e quatorze centavos) acrescidas de juros de 1% ao mês e correção monetária a contar do efetivo desembolso.

O réu deverá efetuar o pagamento dos valores da condenação no prazo de 15 (quinze) dias do trânsito em julgado da sentença, sob pena de incidência da multa de 10% (dez por cento) sobre o valor da condenação.



Sem ônus sucumbenciais, face o disposto no artigo 55, da Lei nº 9.099/95. Após o trânsito em julgado, dê-se baixa e arquivem-se. P.R.I. 

Projeto de sentença sujeito à homologação pela MM. Juiz de Direito, com base no art. 40, da Lei 9.099/95. 

Rio de Janeiro, 16 de Maio de 2016.

Everardo Mendes de Araújo
Juiz Leigo";00041B4025424FE8E83B0B8E384ED1B29728C505033E572B;0004D7EB3AA292ECFFC4F2E32DE99FA9155DC5044A363154;2016.001.025705-0;0.7637168169021606
9;2016.001.009150-0;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00041B4025424FE8E83B0B8E384ED1B29728C505033E572B;0004D7EB3AA292ECFFC4F2E32DE99FA9155DC5044A363154;2016.001.025705-0;0.7637168169021606
