;processo;sentenca;similar_file;similar_processo;similaridade
0;2016.001.284003-1;"Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação pelo procedimento sumaríssimo por meio da qual a parte autora requer seja o réu condenado a compensar os danos morais experimentados por ter ficar impossibilitada de usar o cartão de crédito/débito. O réu afirma que não praticou conduta ilícita, pois o plástico foi cancelado por suspeita de fraude, pelo que não há danos a serem compensados.
	Estando presentes as condições da ação e os pressupostos de constituição e desenvolvimento regular do processo, passo a analisar o mérito. 
A relação de direito material havida entre as partes é de consumo, já que presentes os requisitos objetivos (art. 3º, §1º e 2º, da Lei 8.078/90) e subjetivos (arts. 2º e 3º, da Lei 8.078/90) de tal relação. Por essa razão, impõe-se a inteira aplicação do Código de Defesa do Consumidor, o qual positiva um núcleo de regras e princípios protetores dos direitos dos consumidores enquanto tais, prevendo inclusive a possibilidade de inversão do ônus da prova, o que ora se faz, na forma do artigo 6º, VIII, da Lei 8.078/90. 
	Nesse contexto, tem-se que o CDC estabelece que é dever do fornecedor transmitir informação adequada e clara sobre os diferentes produtos e serviços, com especificação correta de quantidade, características, composição, qualidade e preço, bem como sobre os riscos que apresentem (art. 6º, III).
	Informação adequada, nos termos do art. 6º, III, do CDC, é aquela que se apresenta simultaneamente completa, gratuita e útil, vedada, neste último caso, a diluição da comunicação efetivamente relevante pelo uso de informações soltas, redundantes ou destituídas de qualquer serventia para o consumidor.
	Nas práticas comerciais, instrumento que por excelência viabiliza a circulação de bens de consumo, a oferta e apresentação de produtos ou serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidades, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentam à saúde e segurança dos consumidores (art. 31 do CDC). 
	Segundo Herman Benjamin, a obrigação de informação é desdobrada pelo art. 31 do CDC, em quatro categorias principais, imbricadas entre si: a) informação-conteúdo (= características intrínsecas do produto e serviço), b) informação-utilização (= como se usa o produto ou serviço), c) informação-preço (= custo, formas e condições de pagamento), e d) informação-advertência (= riscos do produto ou serviço). 
	Assim, tem-se que a obrigação de informação exige comportamento positivo, pois o CDC rejeita tanto a regra do ""caveat emptor"" como a subinformação, o que transmuda o silêncio total ou parcial do fornecedor em patologia repreensível, relevante apenas em desfavor do profissional, inclusive como oferta e publicidade enganosa por omissão. 
	No caso em tela verifica-se o vício de informação, uma vez que, em que pese o réu pudesse fazer o bloqueio do cartão, em nenhum momento a autora foi informada de que o cartão seria bloqueado, de forma a evitar que passasse por situação vexatória. Por isso, há falha na prestação do serviço e, consequentemente, responsabilidade do fornecedor.
Seguindo-se a isso, tem-se que a lei somente afasta essa responsabilidade nos casos de fato exclusivo da vítima, fato de terceiro e caso fortuito ou força maior. No caso em tela, não verifico a existência de qualquer causa capaz de afastar o nexo de causalidade, impondo-se a responsabilidade pelos danos causados por sua conduta. 
Trata-se de responsabilidade objetiva pelo fato do serviço, fundada na teoria do risco do empreendimento, segundo a qual todo aquele que se dispõe a exercer alguma atividade no campo do fornecimento de bens e serviços tem o dever de responder pelos fatos e vícios resultantes do empreendimento independentemente de culpa. Esta obrigação é imanente ao dever de obediência às normas técnicas e de segurança, decorrendo a responsabilidade do simples fato de dispor-se alguém a realizar atividade de executar determinados serviços. Em suma, os riscos do empreendimento correm por conta do fornecedor de serviços e não do consumidor. 
Embora afirme a parte ré que a parte autora não sofreu dano moral, esta passou vexame no estabelecimento comercial por não poder pagar as suas compras, o que causaria em qualquer pessoa um enorme sentimento de frustração.
Além disso, verifico que estão presentes os requisitos necessários para que o lesado possa ter direito à reparação, quais sejam: a) que sofra dano injusto de caráter pessoal, moral ou patrimonial; b) que seja decorrente de fato de terceiro; c) que haja nexo causal entre o evento e a ação do terceiro.
Sem dúvidas, no caso em tela houve a conjugação dos três pressupostos acima mencionados, não havendo como se negar que tal fato lhe gerou danos. Assim, merece procedência o pedido no que tange o dano moral, pois, por se tratar de algo imaterial ou ideal, está ínsito na própria ofensa, de tal modo que, provado o fato danoso, ipso facto está demonstrado o dano moral.
Em face do exposto, JULGO PROCEDENTE em parte O PEDIDO para condenar a ré a: a) a pagar à parte autora a quantia de R$ 2.000,00 (dois mil reais) a título de compensação dos danos morais,  quantia essa que deve ser corrigida monetariamente e acrescida de juros legais desde a data desta sentença; b) desbloquear o cartão da autora, no prazo de 15 dias, sob pena de pagamento de multa diária de R$ 100,00 que vigerá por trinta dias.
Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
Submeto o presente projeto à homologação pela MM. Juíza de Direito.";0004793F46255FD57AE1438030262FC43C10C5053E2C112D;2016.063.008306-3;0.829879879951477
1;2016.001.284003-1;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se e intimem-se as partes da sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.	";0004793F46255FD57AE1438030262FC43C10C5053E2C112D;2016.063.008306-3;0.829879879951477
2;2016.001.284003-1;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO 

XVII JUIZADO ESPECIAL CÍVEL 



PROCESSO: 18887-41.2016.8.19.0204 

AUTOR: EMISAELY ILDEFONSO DE SOUZA RODRIGUES DOS SANTOS 

RÉU: BANCO  ITAU 

PROJETO DE SENTENÇA 


Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir.  


Reclama a autora que possui conta corrente e cartão de credito do réu; que precisou realizar tratamento odontológico no valor de R$ 1570,00 em 15/10/2015; que ligou previamente a ré que informou que possuía limite disponível de  R$ 7.000,00; que ao efetuar o pagamento na clinica teve o cartão recusado; que então tentou pagar apenas o canal realizado no valor de R$450,00 que também não foi autorizado; que teve que sacar valor do seu cheque especial e pedir emprestado para pagar o debito e foi constrangida; que ligou para a ré que informou que o cartão estava bloqueado e outro seria enviado; que pagou o valor da anuidade. Requer indenização por danos materiais e morais. 



Em Contestação a ré alega que o cartão da autora de final 7626 esta bloqueado desde 20/03/2015 sendo substituído pelo de final 9969, que foi desbloqueado e utilizado pela autora em 02/05/2015; que a anuidade foi cobrada, mas não foi paga tendo recebido o estorno; impugna o pedido indenizatório. 



As faturas de fls.15/20 juntadas pela autora se referem ao cartão de final 7211, cartão diverso do que foi utilizado e recusado pela autora de final 7626, corroborando com a tese do réu de que o cartão utilizado, 7626 já tinha sido substituido.   


Desta forma, não restou caracterizado falha na prestação do serviço do réu, razão pela qual se tem a improcedência dos pedidos.  


Ante o exposto, JULGO IMPROCEDENTES OS PEDIDOS, na forma do art. 487 NCPC. Sem custas e honorários. Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação. 


Rio de Janeiro, 04 de Novembro de 2016. 


ANA QUÉZIA PEREIRA DE FREITAS 

JUIZA LEIGA";0004DA9C3D1DBEA9452D230184436C49815AC50545554B4B;2016.204.018793-9;0.8273387551307678
3;2016.001.284003-1;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos,  expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004DA9C3D1DBEA9452D230184436C49815AC50545554B4B;2016.204.018793-9;0.8273387551307678
4;2016.001.284003-1;Recebo os embargos de declaração, uma vez que são tempestivos. Nego-lhes provimento, contudo, por não estarem presentes nenhum dos vícios apontados no art. 1.022 do CPC na sentença embargada. Assim, caberá à embargante deduzir sua pretensão pela via recursal própria. P.R.I.;0004DA9C3D1DBEA9452D230184436C49815AC50545554B4B;2016.204.018793-9;0.8273387551307678
5;2016.001.284003-1;Projeto em Revisão;0004BBAFA600A25A958B4B6F7932C35C57FEC5055A2D5A37;2016.204.032477-3;0.790992259979248
6;2016.001.284003-1;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
XVII JUIZADO ESPECIAL CÍVEL

PROCESSO: 32825-06.2016.8.19.0204
AUTOR: NANCI MOTTA FLORES
RÉU: BANCO ITAUCARD
PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir. 

Reclama a autora que adquiriu aparelho rastreador CAR SYSTEM em setembro/2014, no valor de R$ 1.356,00 a ser pago em seis parcelas no cartão de credito; que o réu fez a cobrança em duplicidade e vem sendo paga; que reclamou da cobrança indevida, não sendo atendida. Requer devolução em dobro do valor pago indevidamente e indenização por danos morais.


Em contestação o réu suscita preliminar de ilegitimidade passiva. No mérito, que a autora não procurou o réu para tratativa do desacordo comercial; que fez contato apenas com a comerciante; inexistência de danos materiais e morais. 


Rejeito a preliminar de ilegitimidade passiva suscitada aplicando a teoria da Asserção. 

O réu não comprova a regularidada da transação que impugna a ré, mesmo tomando conhecimento dos fatos, nada trouxe a fim de comprovar que ao menos apurou o ocorrido. Desta forma, ante a irregularidade da compra, faz jus a autora a restituição do valor pago indevidamente na forma em dobro, no total de R$ 2712,00, já na forma em dobro.

A autora não comprova a repercussão e os danos que os fatos narrados tenha  lhe causado, não sendo o fato, gerador de dano moral. Para a configuração de dano moral, necessário se faz que haja relato do fato danoso e das suas repercussões na vida do ofendido, o que não foi comprovado. O dano moral deve ser compreendido como circunstância não habitual que interfere na esfera psíquica do indivíduo de modo a causar-lhe desequilíbrio seu bem estar, sendo aplicado a sumula 230 TJRJ, razão pela qual se tem a improcedência do pedido de indenização por danos morais.  


Ante o exposto, JULGO PROCEDENTE em parte os pedidos na forma do art. 487 NCPC, para: 1- Condenar o réu a restituir a autora a quantia de R$ 2712,00, já na forma em dobro, corrigidos desde o desembolso e juros de 1% ao mês a contar da citação. IMPROCEDENTE o pedido de indenização por danos morais. Sem custas e honorários, nos termos do art. 55 da Lei 9099/95.  Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.


Rio de Janeiro, 27 de Janeiro de 2017.

ANA QUÉZIA PEREIRA DE FREITAS   - JUIZA LEIGA";0004BBAFA600A25A958B4B6F7932C35C57FEC5055A2D5A37;2016.204.032477-3;0.790992259979248
7;2016.001.284003-1;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos,  expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004BBAFA600A25A958B4B6F7932C35C57FEC5055A2D5A37;2016.204.032477-3;0.790992259979248
8;2016.001.284003-1;"Processo : 0032784-27.2016.8.19.0208
Autor: LUIS KLEBER DOS SANTOS MENEZES 
Réu: WMB COMERCIO ELETRONICO LTDA 
Réu: ITAUCARD 

Projeto de Sentença

Trata-se de ação de indenização na qual alega a parte autora que adquiriu, pela internet, um ""Purificador de água Facilite Refrigerado CPB35AB ¿ eficiência bacteriológica consul"", que somado ao frete teve um custo total no valor de R$ 582,50. Porém, antes da entrega solicitou o cancelamento da compra. Informa ainda, que as compra fio realizada através de cartão de crédito. Assim, requer seja condenada a ré a restituir o valor pago, na forma dobrada, e em compensação por dano moral. 
 
A ré em contestação argui preliminar de perda do objeto, em virtude da falta de interesse de agir, aduzindo que o valor pago foi estornado. Sustenta a ausência de ato ilícito; a impossibilidade de restituição de valores; o descabimento da repetição em dobro; e a inexistência do dano moral. 
 
É o breve relatório, conforme possibilita o artigo 38 da Lei n. 9099/95. Decido.

Rejeito  a  preliminar  de  falta  de  interesse  de  agir,  uma  vez  que  há  utilidade  e  necessidade  do provimento jurisdicional na espécie. 

Ultrapassada a questão acima, adentro o mérito.
 
A  relação  entre  as  partes  é  de  consumo,  nos  termos  da  lei  8078/90,  sendo,  portanto,  a responsabilidade  da  ré  objetiva,  respondendo  pelos  danos  causados  (arts.  6º,  VI  e  14  da  lei 8078/90).   
 
No caso em exame, verifica-se que as fls. 81/82, que consta ocancelamento da compra e o estorno do valor da compra, feito pela ré. Dessa  forma,  tendo  ocorrido  a  restituição  total  do  valor  da  compra,  efetuada  pela  parte  ré,  se demonstram regulares os descontos das parcelas mostradas nas faturas. 
 
Assim  sendo,  não  tendo  havido  ato  ilícito  praticado  pela  parte  ré,  entendo  que  deve  ser desacolhido o pleito autoral. 
 
Isto  posto,  JULGO  IMPROCEDENTES  OS  PEDIDOS,  e  em  consequência,  resolvo  o  processo  com mérito, na forma do art. 487, inciso I, do CPC.

Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da lei 9.099/95.

Cientes as partes do disposto no artigo 52, IV, da Lei n° 9.099/95, quanto à necessidade de cumprimento voluntário da sentença, sob pena de penhora, dispensada nova citação. 

Ficam, ainda, as partes intimadas de que em se tratando de sentença condenatória ao pagamento de quantia certa, o prazo previsto no art. 523, §1º do CPC, para incidência da multa ali prevista (10%), contar-se-á da data do trânsito em julgado. 

Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. 

Projeto de sentença sujeito à homologação, assim, remeto os autos a MM. Juiz Togado, nos termos do artigo 40 da Lei nº 9.099/95.";0004A9D1B065115E92B3DDAD361977E3EA4AC50604364856;2016.208.032392-5;0.785186767578125
9;2016.001.284003-1;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Após, certificado o trânsito em julgado, dê-se baixa e arquive-se.;0004A9D1B065115E92B3DDAD361977E3EA4AC50604364856;2016.208.032392-5;0.785186767578125
