;processo;sentenca;similar_file;similar_processo;similaridade
0;2016.204.018793-9;"Homologo o acordo celebrado entre as partes para que surta seus jurídicos e legais efeitos, e julgo o feito extinto, com resolução do mérito, nos termos do art. 487, inc. III, b, do novo Código de Processo Civil ( Lei nº 13.105/ 2015). 

Se for o caso, comprovado o depósito, expeça-se mandado de pagamento em favor da parte autora, independentemente de nova conclusão.   Após, nada mais sendo requerido, dê-se baixa e arquivem-se. 


Decorrido o prazo do cumprimento o acordo, aguarde-se por cinco dias a manifestação das partes; não havendo manifestação,  dê-se baixa e arquive-se.";00043C0564A9BE12882A365EB3B449AD775DC5054F55270F;2016.001.284003-1;0.8273388147354126
1;2016.204.018793-9;"Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação pelo procedimento sumaríssimo por meio da qual a parte autora requer seja o réu condenado a compensar os danos morais experimentados por ter ficar impossibilitada de usar o cartão de crédito/débito. O réu afirma que não praticou conduta ilícita, pois o plástico foi cancelado por suspeita de fraude, pelo que não há danos a serem compensados.
	Estando presentes as condições da ação e os pressupostos de constituição e desenvolvimento regular do processo, passo a analisar o mérito. 
A relação de direito material havida entre as partes é de consumo, já que presentes os requisitos objetivos (art. 3º, §1º e 2º, da Lei 8.078/90) e subjetivos (arts. 2º e 3º, da Lei 8.078/90) de tal relação. Por essa razão, impõe-se a inteira aplicação do Código de Defesa do Consumidor, o qual positiva um núcleo de regras e princípios protetores dos direitos dos consumidores enquanto tais, prevendo inclusive a possibilidade de inversão do ônus da prova, o que ora se faz, na forma do artigo 6º, VIII, da Lei 8.078/90. 
	Nesse contexto, tem-se que o CDC estabelece que é dever do fornecedor transmitir informação adequada e clara sobre os diferentes produtos e serviços, com especificação correta de quantidade, características, composição, qualidade e preço, bem como sobre os riscos que apresentem (art. 6º, III).
	Informação adequada, nos termos do art. 6º, III, do CDC, é aquela que se apresenta simultaneamente completa, gratuita e útil, vedada, neste último caso, a diluição da comunicação efetivamente relevante pelo uso de informações soltas, redundantes ou destituídas de qualquer serventia para o consumidor.
	Nas práticas comerciais, instrumento que por excelência viabiliza a circulação de bens de consumo, a oferta e apresentação de produtos ou serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidades, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentam à saúde e segurança dos consumidores (art. 31 do CDC). 
	Segundo Herman Benjamin, a obrigação de informação é desdobrada pelo art. 31 do CDC, em quatro categorias principais, imbricadas entre si: a) informação-conteúdo (= características intrínsecas do produto e serviço), b) informação-utilização (= como se usa o produto ou serviço), c) informação-preço (= custo, formas e condições de pagamento), e d) informação-advertência (= riscos do produto ou serviço). 
	Assim, tem-se que a obrigação de informação exige comportamento positivo, pois o CDC rejeita tanto a regra do ""caveat emptor"" como a subinformação, o que transmuda o silêncio total ou parcial do fornecedor em patologia repreensível, relevante apenas em desfavor do profissional, inclusive como oferta e publicidade enganosa por omissão. 
	No caso em tela verifica-se o vício de informação, uma vez que, em que pese o réu pudesse fazer o bloqueio do cartão, em nenhum momento a autora foi informada de que o cartão seria bloqueado, de forma a evitar que passasse por situação vexatória. Por isso, há falha na prestação do serviço e, consequentemente, responsabilidade do fornecedor.
Seguindo-se a isso, tem-se que a lei somente afasta essa responsabilidade nos casos de fato exclusivo da vítima, fato de terceiro e caso fortuito ou força maior. No caso em tela, não verifico a existência de qualquer causa capaz de afastar o nexo de causalidade, impondo-se a responsabilidade pelos danos causados por sua conduta. 
Trata-se de responsabilidade objetiva pelo fato do serviço, fundada na teoria do risco do empreendimento, segundo a qual todo aquele que se dispõe a exercer alguma atividade no campo do fornecimento de bens e serviços tem o dever de responder pelos fatos e vícios resultantes do empreendimento independentemente de culpa. Esta obrigação é imanente ao dever de obediência às normas técnicas e de segurança, decorrendo a responsabilidade do simples fato de dispor-se alguém a realizar atividade de executar determinados serviços. Em suma, os riscos do empreendimento correm por conta do fornecedor de serviços e não do consumidor. 
Embora afirme a parte ré que a parte autora não sofreu dano moral, esta passou vexame no estabelecimento comercial por não poder pagar as suas compras, o que causaria em qualquer pessoa um enorme sentimento de frustração.
Além disso, verifico que estão presentes os requisitos necessários para que o lesado possa ter direito à reparação, quais sejam: a) que sofra dano injusto de caráter pessoal, moral ou patrimonial; b) que seja decorrente de fato de terceiro; c) que haja nexo causal entre o evento e a ação do terceiro.
Sem dúvidas, no caso em tela houve a conjugação dos três pressupostos acima mencionados, não havendo como se negar que tal fato lhe gerou danos. Assim, merece procedência o pedido no que tange o dano moral, pois, por se tratar de algo imaterial ou ideal, está ínsito na própria ofensa, de tal modo que, provado o fato danoso, ipso facto está demonstrado o dano moral.
Em face do exposto, JULGO PROCEDENTE em parte O PEDIDO para condenar a ré a: a) a pagar à parte autora a quantia de R$ 2.000,00 (dois mil reais) a título de compensação dos danos morais,  quantia essa que deve ser corrigida monetariamente e acrescida de juros legais desde a data desta sentença; b) desbloquear o cartão da autora, no prazo de 15 dias, sob pena de pagamento de multa diária de R$ 100,00 que vigerá por trinta dias.
Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
Submeto o presente projeto à homologação pela MM. Juíza de Direito.";0004793F46255FD57AE1438030262FC43C10C5053E2C112D;2016.063.008306-3;0.8184056282043457
2;2016.204.018793-9;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se e intimem-se as partes da sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.	";0004793F46255FD57AE1438030262FC43C10C5053E2C112D;2016.063.008306-3;0.8184056282043457
3;2016.204.018793-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;000494CA883122BA5082C699701646AA3D52C50521605838;2016.208.009976-4;0.7997731566429138
4;2016.204.018793-9;"Processo nº 0010072-43.2016.8.19.0208
Parte Autora: Geralda Alves de Moura
Parte Ré: Banco Itaucard S/A

Projeto de Sentença

Trata-se de ação em que a parte autora alega, em síntese, ter tentado efetuar compra em estabelecimento comercial utilizando o cartão de crédito administrado pela ré, na data de 03 de janeiro deste ano. Relata que pagou a vista a quantia de R$ 2.000,00, e que quando tentou utilizar o cartão para pagamento da quantia restante, R$ 899,00, teve a transação negada, sob a alegação de ausência de limite. Requer ressarcimento por danos morais. 

A parte, em contestação, arguiu a improcedência do pleito autoral, posto que não haveria nos autos prova documental das alegações autorais. 

É o breve relatório, conforme possibilita o artigo 38 da Lei n. 9099/95. Decido.

A relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor ¿ artigos 2o e 3o da Lei 8078/90) e objetivos (produto e serviço ¿ §§ 1o e 2o do artigo 3º da citada lei) de tal relação. 

Da análise do conjunto probatório trazido pela parte autora, tem-se que seu pleito não merece prosperar. A parte ré, como forma de atendimento ao disposto no artigo 373, inciso II do CPC, juntou o documento de fls. 52/52, mostrando que o limite da parte autora no momento da compra era de apenas R$ 754,32, o que impossibilitaria a compra com tal limite.

Saliente-se que o citado documento não foi impugnado pela parte autora, após vista do mesmo em audiência de instrução e julgamento.

Por outro lado, no caso vertente, não é cabível a aplicação do princípio consumerista da inversão do ônus da prova. Este pressupõe a verossimilhança da alegação e se impõe como forma protetiva do consumidor quando a sua não aplicação puder gerar dificuldade na defesa de seus direitos. 

A inversão do ônus da prova, que atenua a regra prevista no artigo 373 do Código de Processo Civil, apenas pode ser adotada quando o Juízo venha a constatar a verossimilhança da afirmação feita pelo consumidor, ou a sua hipossuficiência, que deverá ser avaliada segundo as regras ordinárias de experiência. 

A parte autora não trouxe aos autos quaisquer documentos que amparassem sua tese, não restando com isso, pois, demonstrado qualquer defeito na prestação do serviço, não havendo como prosperar a pretensão autoral.

Pelo acima exposto, JULGO IMPROCEDENTES OS PEDIDOS formulados pela parte autora, extinguindo o processo com resolução do mérito, conforme artigo 487, inciso I, do CPC.

Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da lei 9.099/95.

Cientes as partes do disposto no artigo 52, IV, da Lei n° 9.099/95, quanto à necessidade de cumprimento voluntário da sentença, sob pena de penhora, dispensada nova citação. 

Ficam, ainda, as partes intimadas de que em se tratando de sentença condenatória ao pagamento de quantia certa, o prazo previsto no art. 523 do CPC, para incidência da multa ali prevista (10%), contar-se-á da data do trânsito em julgado. 
 
Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. Projeto de sentença sujeito à homologação, assim, remeto os autos ao MM. Juiz Togado, nos termos do artigo 40 da Lei nº 9.099/95.

Rio de Janeiro, 25 de agosto de 2016.
ANA CLAUDIA DOS REIS ALVES
Juiza leiga";000494CA883122BA5082C699701646AA3D52C50521605838;2016.208.009976-4;0.7997731566429138
5;2016.204.018793-9;Projeto em Revisão;0004BBAFA600A25A958B4B6F7932C35C57FEC5055A2D5A37;2016.204.032477-3;0.7773981690406799
6;2016.204.018793-9;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
XVII JUIZADO ESPECIAL CÍVEL

PROCESSO: 32825-06.2016.8.19.0204
AUTOR: NANCI MOTTA FLORES
RÉU: BANCO ITAUCARD
PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir. 

Reclama a autora que adquiriu aparelho rastreador CAR SYSTEM em setembro/2014, no valor de R$ 1.356,00 a ser pago em seis parcelas no cartão de credito; que o réu fez a cobrança em duplicidade e vem sendo paga; que reclamou da cobrança indevida, não sendo atendida. Requer devolução em dobro do valor pago indevidamente e indenização por danos morais.


Em contestação o réu suscita preliminar de ilegitimidade passiva. No mérito, que a autora não procurou o réu para tratativa do desacordo comercial; que fez contato apenas com a comerciante; inexistência de danos materiais e morais. 


Rejeito a preliminar de ilegitimidade passiva suscitada aplicando a teoria da Asserção. 

O réu não comprova a regularidada da transação que impugna a ré, mesmo tomando conhecimento dos fatos, nada trouxe a fim de comprovar que ao menos apurou o ocorrido. Desta forma, ante a irregularidade da compra, faz jus a autora a restituição do valor pago indevidamente na forma em dobro, no total de R$ 2712,00, já na forma em dobro.

A autora não comprova a repercussão e os danos que os fatos narrados tenha  lhe causado, não sendo o fato, gerador de dano moral. Para a configuração de dano moral, necessário se faz que haja relato do fato danoso e das suas repercussões na vida do ofendido, o que não foi comprovado. O dano moral deve ser compreendido como circunstância não habitual que interfere na esfera psíquica do indivíduo de modo a causar-lhe desequilíbrio seu bem estar, sendo aplicado a sumula 230 TJRJ, razão pela qual se tem a improcedência do pedido de indenização por danos morais.  


Ante o exposto, JULGO PROCEDENTE em parte os pedidos na forma do art. 487 NCPC, para: 1- Condenar o réu a restituir a autora a quantia de R$ 2712,00, já na forma em dobro, corrigidos desde o desembolso e juros de 1% ao mês a contar da citação. IMPROCEDENTE o pedido de indenização por danos morais. Sem custas e honorários, nos termos do art. 55 da Lei 9099/95.  Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.


Rio de Janeiro, 27 de Janeiro de 2017.

ANA QUÉZIA PEREIRA DE FREITAS   - JUIZA LEIGA";0004BBAFA600A25A958B4B6F7932C35C57FEC5055A2D5A37;2016.204.032477-3;0.7773981690406799
7;2016.204.018793-9;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos,  expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004BBAFA600A25A958B4B6F7932C35C57FEC5055A2D5A37;2016.204.032477-3;0.7773981690406799
8;2016.204.018793-9;"
ESTADO DO RIO DE JANEIRO
PODER JUDICIÁRIO
V Juizado Especial Cível da Comarca da Capital
Processo n°0385857-74.2016.8.19.0001
Autor: MARIA CELIA RIBEIRO DOS SANTOS    
Réu: ITAUCARD S/A



PROJETO DE SENTENÇA

Dispensado o relatório, conforme possibilita o artigo 38 da Lei n. 9.099/95, passo a decidir.

Trata-se de ação de conhecimento, proposta pelo procedimento sumaríssimo, na qual a parte autora reclama de defeito na prestação dos serviços ofertados pela ré consistente no fato de bloquear o seu cartão unilateralmente, bem como de recusar o pagamento de compras efetuadas indevidamente.
 
A ré apresentou defesa, na qual perseguiu a improcedência do pedido, forte no argumento da ausência de falha na prestação do serviço, visto que o bloqueio foi decorrente de medida de prevenção e segurança.

A relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor ¿ art. 2o c/c art. 17 e art. 3o da Lei 8.078/90) e objetivos (produto e serviço ¿ §§ 1o e 2o do artigo 3o da mesma lei) de tal relação.

 O consumidor é vulnerável para prova efetiva do alegado na peça vestibular, razão pela qual, inverte-se o ônus da prova ao teor do art. 6º,VIII do CDC. Ademais, o réu não nega o bloqueio do cartão de titularidade da autora.




Não obstante, o réu alegue que a medida foi efetuada em virtude de prevenção e segurança, a sua tese não merece prosperar. Isso porque, não restou tal fato comprovado nos autos, e porque a medida deveria ter sido precedida de informação prévia e adequada conforme disposto no art. 6º, III do CDC.

A responsabilidade objetiva do fornecedor está, como não mais se desconhece, referida no art. 14, caput, da Lei 8.078/90, e segundo tal disposição legal, cabe reparação ao consumidor, quando o serviço for prestado de forma defeituosa, ressaltando-se ainda aqui, que a conduta da ré fez romper o equilíbrio e a confiança na parceria contratual a partir do momento em que deixa de atender às legítimas expectativas do autor-consumidor.

Cabe notar que a ré não se desincumbiu do ônus que lhe é imposto por lei, bem como não juntou qualquer documento capaz de elidir as alegações do consumidor hipossuficiente, ou excluir sua responsabilidade objetiva, por evidente defeito na prestação de serviço, em conformidade com o disposto no § 3º do art. 14, da Lei 8.078/90, ou mesmo, na forma do art. 373, II, do CPC.

 
O dano moral restou contemplado através da prática abusiva adotada pela reclamada consistente no bloqueio unilateral do cartão e recusa de pagamento de serviço agendado, fato esse que extrapolou a esfera do mero aborrecimento e frustrou às legítimas expectativas do consumidor.

 No que tange o pedido de dano moral, este deve ser contemplado no seu duplo caráter ressarcitório e preventivo-pedagógico, este último a indicar aos fornecedores que devem evitar quaisquer danos aos consumidores, para o que é imprescindível o aprimoramento da qualidade, da segurança e do desempenho dos serviços e/ou produtos colocados no mercado, conforme comando do art. 4º, inciso II, alínea ¿d¿, da Lei 8.078/90. Dessa forma, tenho como justo e necessário o arbitramento do dano moral no valor correspondente a R$ 2.500,00 (dois mil e quinhentos reais).


Posto isso, JULGO PROCEDENTE O PEDIDO E EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO NA FORMA DO ART. 487, I DO CPC, PARA condenar a ré a pagar a parte autora R$ 2.500,00 (dois mil e quinhentos reais), a título de compensação por danos morais, corrigida monetariamente desde a presente e acrescida de juros legais de 1% ao mês a partir da citação; 


O réu deverá efetuar o pagamento dos valores da condenação no prazo de 15 (quinze) dias do trânsito em julgado da sentença, sob pena de incidência da multa de 10% (dez por cento) sobre o valor da condenação prevista no artigo 523, parágrafo primeiro, do Código de Processo Civil. 

Sem ônus sucumbenciais, face o disposto no artigo 55, da Lei nº 9.099/95. Após o trânsito em julgado, dê-se baixa e arquivem-se. P.R.I. 

Projeto de sentença sujeito à homologação pela MM. Juíza de Direito, com base no art. 40, da Lei 9.099/95. 

Rio de Janeiro, 12 de Dezembro de 2016.



Everardo Mendes de Araujo
Juiz Leigo";0004F1BE051452F724869F2947CE9E635D8CC505571E203F;2016.001.336696-1;0.7618346810340881
9;2016.204.018793-9;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004F1BE051452F724869F2947CE9E635D8CC505571E203F;2016.001.336696-1;0.7618346810340881
