;processo;sentenca;similar_file;similar_processo
0;2016.208.000197-1;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";00046F34B8B7CE6D0CAA242E1D66E9368349C50547030E0F;['2016.208.021088-2']
1;2016.208.000197-1;"Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, b do CPC.  

Defiro, desde já, expedição de guia e de mandado de pagamento, se for o caso, independente de nova conclusão. 

Com o cumprimento ou decorrido o prazo sem manifestação da parte autora, certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. 

Se for o caso, defiro o desentranhamento de documentos mediante cópia.";00040EDBD9C2974B997EAE6ACBEE8F1A6D9FC505544F3C54;['2016.204.030470-1']
2;2016.208.000197-1;"10500    PROJETO DE SENTENÇA\n\n\n\t\tDispensado o rela...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00046A8D1AA36F53A3513E3714043DA6849CC5053059263F;['2016.063.007684-8']
3;2016.208.000197-1;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.";00046A8D1AA36F53A3513E3714043DA6849CC5053059263F;['2016.063.007684-8']
4;2016.208.000197-1;"Dispensado o relatório, na forma do art. 38, da Lei nº 9.099/95.
Trata-se de ação de conhecimento por meio da qual a parte autora busca a reparação de danos morais em decorrência de cobranças indevidas por serviços que alega não ter contratado. 
A ré foi citada e apresentou contestação escrita, na qual argui preliminar de falta de interesse de agir e, no mérito, sustenta a ausência de ato ilícito e a inexistência de danos morais a serem reparados. 
Rejeito a preliminar de interesse de agir, uma vez que o processo é útil para a autora buscar sua pretensão, assim como adequada, a via por ela eleita para fazê-lo. 
Rejeito, outrossim, a preliminar de inépcia da petição inicial, por falta de comprovação de residência, pois, em se tratando de demanda versando sobre a imputação de prestação de serviços na residência da autora, este é do conhecimento do réu, o qual não impugnou aquele informado no comprovante de residência juntado aos autos.
Trata-se de relação jurídica disciplinada pelo Código de Defesa do Consumidor, porquanto as partes satisfazem os requisitos objetivos e subjetivos dos artigos 2º e 3º da Lei 8.078/1990.
Em juízo, o réu alegou que as incontroversas cobranças por ele feitas à autora eram devidas, mas, em sede administrativa, bastou uma simples alegação da autora de que não possuía qualquer assinatura contratada, que, no mesmo dia dessa declaração, o réu forneceu à consumidora declaração de quitação dos débitos existentes em seu nome.
Isso significa que, realmente, as cobranças eram indevidas, razão pela qual resta configurado o vício do serviço por cujos danos dele decorrentes responde objetivamente o fornecedor de serviços, na forma do artigo 20 do Código de Defesa do Consumidor.
O pedido declaratório de inexistência de débitos é ainda útil à consumidora, ante a falta de prova de qualquer contrato haver sido por ela celebrado com o réu, e, sem manifestação de vontade, o negócio jurídico é inexistente - a declaração do réu menciona ""para efeito de comprovação de pagamento"", o que é inapropriado, já que a autora não efetuou qualquer pagamento ao réu, pelo simples fato de não lhe dever nada.
No que se refere ao pedido de compensação por danos morais, a prova dos autos demonstra que a situação foi resolvida no mesmo dia em que a autora formalizou uma impugnação às cobranças por ela recebidas. 
Como a simples ameaça de inscrição do nome da consumidora nos cadastros restritivos de crédito é incapaz de causar danos em sua esfera de intimidade, nessa parte, o que se tem é que a parte autora não se desincumbiu do ônus processual estabelecido pelo artigo 373, I do Código de Processo Civil, razão pela qual o pedido é improcedente.
Isso posto, JULGO PARCIALMENTE PROCEDENTE O PEDIDO, para DECLARAR a inexistência de qualquer débito vinculado ao número de inscrição do nome da autora no CPF-MF e a qualquer contrato de prestação de serviços emitido pelo réu até a data da propositura desta demanda, especialmente, em relação ao contrato nº 74124446. Julgo improcedente o pedido de compensação por danos morais.Dou por extinto o processo com resolução de mérito, na forma do artigo 487, I do Código de Processo Civil. Sem custas e honorários advocatícios, na forma do art. 55, da Lei 9.099/1995.
Transitada em julgado, dê-se baixa e arquivem-se. P.R.I.
Projeto de sentença sujeito à homologação pelo MM. Juiz de Direito, com base no art. 40 da Lei nº 9.099/95.
Rio de Janeiro, 17 de março de 2017.
LUIZ EDUARDO FERREIRA DE MORAES
JUIZ LEIGO";0004DB786DC1378F7BD1B18C11E33DA71533C50563321B57;['2016.001.216576-5']
5;2016.208.000197-1;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004DB786DC1378F7BD1B18C11E33DA71533C50563321B57;['2016.001.216576-5']
6;2016.208.000197-1;"Dispensado o relatório na forma do artigo 38 da Lei n° 9.099/95.

Trata-se de ação indenizatória, onde alega a parte autora que contratou o serviço da ré denominado Sky Livre, sendo certo que o técnico compareceu em sua residência para a instalação da antena. Sustenta, ainda, que teve o serviço suspenso e ao entrar em contato com a ré foi informada que o mesmo não é mais prestado. Assim, requer a condenação da ré ao restabelecimento do serviço e ao pagamento de dano moral. 

A ré apresentou contestação na qual argui preliminar de incompetência, em razão de ausência de comprovante de residência, e de falta de interesse de agir, e no mérito, sustenta ausência de ato ilícito, inexistência de dano moral, requerendo a improcedência.

Rejeito a preliminar de incompetência, eis que a autora juntou às fls. 18 comprovante de residência.

Rejeito a preliminar de falta de interesse de agir, uma vez que há utilidade e necessidade do provimento jurisdicional diante da resistência da ré em resolver administrativamente a questão.

	        A relação existente entre as partes é de consumo, razão pela qual se aplica o disposto no CDC especialmente no que pertine à boa-fé, o direito do consumidor à informação, a proteção do consumidor contra práticas abusivas, o dever do fornecedor de solucionar o vício do serviço/produto no prazo de 30 dias, etc.

Acrescente-se ainda a este rol o disposto no art. 6º, VIII do CDC que estabelece a inversão do ônus da prova em caso de verossimilhança das alegações ou hipossuficiência da parte. 

    Alega o autor que contratou o serviço Sky Livre, mas teve o mesmo suspenso, tendo informado na inicial diversos números de protocolos de reclamação, os quais não foram contraditados pela ré. 

   A ré afirma inexistência de defeito na prestação do serviço. Entretanto, não junta aos autos prova capaz de ilidir as alegações da autora. 

Outrossim, as meras telas reproduzidas dos sistemas da ré, não podem servir de prova, pois se tratam de documento unilateralmente produzidos.

Assim sendo, entendo como verídicas as alegações do autor.

O dano moral se encontra presente, ante a ausência na prestação do serviço e diante da resistência da ré em resolver a questão administrativamente, o que ultrapassa o mero aborrecimento. 
 
  Com relação ao dano moral, este deve corresponder não só a sua função retributiva, mas também punitiva-pedagógica a fim de que as empresas não mais incidam em práticas como esta dos autos. 

  Neste passo penso que o valor do dano moral in casu deve corresponder a quantia de R$ 1.500,00, entendendo este Juízo ser tal quantia suficiente para a reparação do dano de ordem subjetiva experimentado pelo autor.	

   O pleito de obrigação de fazer também deve ser acolhido. 

Face ao exposto, JULGO PARCIALMENTE PROCEDENTE O PEDIDO, para condenar a ré a pagar ao autor a quantia de R$ 1.000,00, a título de dano moral, acrescido de juros de 1% ao mês da citação e correção monetária desde a sentença, e para condenar a ré a restabelecer o serviço de TV na residência da parte autora, no prazo de 15 dias, sob pena de multa única de R$ 1.500,00, resolvendo o processo com mérito, na forma do art. 487, I, do CPC. 
Sem custas e honorários, eis que em sede de Juizado Especial Cível.
P.R.I.";000487EF91350E9AC6087E01386551C58CD7C505551C1519;['2016.001.334903-3']
7;2016.208.000197-1;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004B67772BB0300EDCC1232E8E37C087569C5053208331E;['2016.204.020313-1']
8;2016.208.000197-1;"
PROJETO DE SENTENÇA


Dispenso o relatório na forma do permitido pelo art. 38 da Lei nº. 9.099/95.
 
Afirma o autor que contratou os serviço da ré com a promessa de instalação em até 05 dias. Ocorre que, ultrapassado o prazo, os equipamentos não foram instalados, razão pela qual requereu o cancelamento. Todavia a ré vem promovendo a cobrança dos serviços não prestados.  Pugna o autor pela reparação dos danos morais e materiais e o cancelamento do serviço.

Em contestação o réu alega ter tentado solucionar o problema extrajudicialmente e que o mesmo já fora resolvido. Afirma ainda que inexistem danos a serem reparados.

Relação de consumo.

Autor afirma que fora cobrado por serviço jamais prestado. O réu afirma que o serviço encontra-se cancelado, mas não apresenta provas que refutem os documentos apresentados pelo autor que demonstram o pagamento.

Falha na prestação do serviço, na forma do art. 14 da Lei 8078/90.

Dano material a ser reparado, comprovado em fls. 29/31, não sendo hipótese de incidência do art. 42 PU da Lei 8078/90. 

Dano moral decorrente do constrangimento e angústia experimentados pelo autor. Atenta aos princípios da proporcionalidade e da razoabilidade, considerando ainda o aspecto punitivo da condenação, de especial relevância nas relações de consumo, fixo a indenização em R$ 1.500,00 (mil e quinhentos reais). 

Isto posto, JULGO PROCEDENTE EM PARTE o pedido para: 

a) declarar a inexistência do débito objeto da demanda, cominando ao réu multa de R$ 200,00 (duzentos reais) por cobrança indevida; 

b) condenar o réu a pagar ao autor o valor de R$ 699,80 (seiscentos e noventa e nove reais e oitenta centavos), com correção monetária desde o desembolso e juros de 1% ao mês a partir da citação; 

c) condenar o réu a pagar ao autor indenização por danos morais no valor de R$ 1.500,00 (mil e quinhentos reais), com correção monetária desde a data da sentença e juros de 1% ao mês a partir da citação. 

Sem custas e honorários, na forma da Lei nº. 9.099/95. Submeto o Projeto de sentença à homologação.


Rio de Janeiro, 02 de setembro de 2016

MAGNUM MAGALHÃES PINTO DA SILVA";0004B67772BB0300EDCC1232E8E37C087569C5053208331E;['2016.204.020313-1']
9;2016.208.000197-1;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";0004302E11CB466ADAB022D94EDEF7DB5E52C505551F4B31;['2016.208.024329-2']
