;processo;sentenca;similar_file;similar_processo
0;2016.208.013575-6;"Dispensado o relatório nos termos do art. 38 da Lei nº 9.099/95, passo a decidir.

Inicialmente, entendo pela incompetência territorial absoluta deste juízo para o julgamento da presente demanda. 

Da análise dos autos, observo que a parte Autora reside no Catete, de acordo com o comprovante de residência de fls. 13 e que a Ré reside em São Paulo.

	Importante ressaltar que, em AIJ, a parte Autora ressalta que o processo foi distribuído por distribuição eletrônica, não tendo escolhido o juízo de Copacabana, tratando-se, portanto, de uma imposição do sistema. 

	Entretanto, em que pese o equívoco do sistema eletrônico do TJRJ, este juízo é absolutamente incompetente, devendo a parte Autora aguardar o cancelamento da distribuição e o trânsito em julgado da presente sentença para ajuizar nova ação, a fim de evitar a prevenção deste juízo. 

A conta do acima exposto, JULGO EXTINTO O PROCESSO SEM RESOLUÇÃO DO MÉRITO, com base no inciso III do artigo 51 da Lei 9.099/95.

Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da Lei nº 9.099/95.

Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. Cientes as partes de que decorridos 90 dias da data do arquivamento definitivo, os autos processuais serão eliminados, nos termos do artigo 1º do Ato Normativo Conjunto 01/2005, publicado no DORJ de 07/01/05.

Projeto de sentença sujeito à homologação, assim, remeto os autos à MM. Juíza Togada, nos termos do artigo 40 da Lei nº 9.099/95.";00043B5BE7C526E7267CAE5FADD6807F4376C50602611B2A;['2016.001.371240-1']
1;2016.208.013575-6;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 


Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00043B5BE7C526E7267CAE5FADD6807F4376C50602611B2A;['2016.001.371240-1']
2;2016.208.013575-6;"Processo nº: 0026614-39.2017.8.19.0208
Parte Autora: Richmond Jorge Pereira Simão
Parte Ré: Luciane Machado Sarmento



Projeto de Sentença


Dispensado o relatório nos termos do art. 38 da Lei n° 9.099/95, passo a decidir.

Inexiste preliminar a dirimir, razão pela qual, reconhecendo a existência dos pressupostos processuais e das condições de regular desenvolvimento acionário, passo ao exame do mérito.

A relação jurídica entre as partes é regulada pelo Código Civil, regendo-se o presente feito pelas normas processuais gerais de distribuição do ônus probatório, incumbe à parte Autora demonstrar suas declarações.

No caso vertente, a parte Autora afirma que a Ré lhe ofendeu e agrediu verbalmente através de mensagens via WhatsApp, e-mail e ligações telefônicas.

Destaco, como exemplo, a transcrição da ligação realizada parte Ré: ""(...) você é um vagabundo, um pilantra, um safado, um safado, um pai de merda, truculento, ignorante é o que você é... (...)"", conforme documento de fls. 65, não impugnado pela parte Ré.

Assim, entendo que as provas produzidas pela parte Autora corroboram os fatos descritos na inicial, não tendo a Ré trazido prova capaz de elidir a veracidade daqueles.
Incumbe a parte Ré o ônus de provar o fato modificativo ou extintivo do direito da parte Autora, na forma do art. 373, I do Código de Processo Civil, o que não ocorreu.

Em sendo assim, considero que a forma agressiva como a Ré se reportou a parte Autora tem o condão de gerar abalo psicológico caracterizador do dano moral. Nesse caso, em especial, entendo que o montante indenizatório deve ter o caráter punitivo e pedagógico; pelo que há sempre que se considerar, no caso concreto, o potencial econômico do ofensor e a efetiva repercussão gerada pelo fato. 
Portanto, entendo que, diante de tais conclusões, a quantificação do dano a ser indenizado deve ser dotada de razoabilidade e proporcionalidade. A razoabilidade está contemplada, ante as conseqüências do fato e a duração do evento.

À luz de tais critérios, e considerando a dimensão dos fatos aqui relatados, fixo a quantia de R$1.500,00 (mil e quinhentos reais) a título de reparação, por entendê-la justa e adequada para o caso. 



A conta do acima exposto, JULGO PROCEDENTE O PEDIDO para condenar a parte Ré a pagar a parte Autora a quantia de R$1.500,00 (mil e quinehntos reais), a título de indenização por danos morais, corrigida monetariamente com base nos índices oficiais da CGJ e acrescida de juros legais, a partir da publicação da presente.



Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da lei 9.099/95.


Cientes as partes do disposto no artigo 52, IV, da Lei n° 9.099/95, quanto à necessidade de cumprimento voluntário da sentença, sob pena de penhora, dispensada nova citação. 


	Ficam, ainda, as partes intimadas de que em se tratando de sentença condenatória ao pagamento de quantia certa, o prazo previsto no art. 523 do CPC, para incidência da multa ali prevista (10%), contar-se-á da data do trânsito em julgado. 
 
 
	Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. Cientes as partes de que decorridos 90 dias da data do arquivamento definitivo os autos processuais serão eliminados, nos termos do artigo 1º do Ato Normativo Conjunto 01/2005, publicado no DORJ de 07/01/05.


Projeto de sentença sujeito à homologação, assim, remeto os autos ao MM. Juiz Togado, nos termos do artigo 40 da Lei nº 9.099/95.


Rio de Janeiro, 28 de Julho de 2017.


VANESSA DE SOUZA BRISIS
Juíza Leiga";0004311247AFE3EED5702AD1D1B8244440A2C50561640837;['2016.208.026313-8']
3;2016.208.013575-6;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004311247AFE3EED5702AD1D1B8244440A2C50561640837;['2016.208.026313-8']
4;2016.208.013575-6;"
ESTADO DO RIO DE JANEIRO
PODER JUDICIÁRIO
V Juizado Especial Cível da Comarca da Capital 
Processo nº: 0206595-67.2016.8.19.0001
Autor: AGNALDO VIEIRA DO NASCIMENTO
Réu: OI S/A
PROJETO DE SENTENÇA

Dispensado o relatório, conforme possibilita o artigo 38 da Lei n. 9.099/95, passo a decidir.

Cuidam os autos de ação de conhecimento em que reclama a parte autora de defeito na prestação do serviço ofertado pela ré consistente no fato de a linha telefônica instalada em sua residência ter ficado inoperante, fato esse que levou o autor a solicitar o cancelamento do contrato de prestação de serviço, contudo, o réu não atendeu a solicitação e manteve a cobrança.
 
A parte ré foi citada e ofereceu contestação escrita, onde suscitou a preliminar de incompetência territorial. No mérito, a improcedência do pedido.

Analisando os autos, verifica-se através do depoimento pessoal da parte autora em audiência que o serviço é prestado em Rio das Pedras, local de abrangência de competência do foro de Jacarepaguá, não havendo qualquer vínculo com este Juizado para apreciar e julgar a demanda.

A única questão que guarda relação com o Bairro de Copacabana é o fato de o autor ter solicitado que as cobranças seja enviadas para endereço pertencente ao referido bairro, o que, por si só, não justifica a Competência deste V Juizado para apreciar e julgar os fatos debatidos na demanda instaurada, ainda mais quando o autor não comprove a sua residência neste local.

Oportuno ressaltar que, na própria petição inicial consta informação no sentido de que o serviço é prestado na residência do autor e como o próprio autor informou em audiência tal fato ocorre em Jacarepaguá ¿ Rio das Pedras, sendo, portanto, este o Juízo Competente para apreciar e julgar o ponto controvertido da lide.

 



Com efeito, deve ainda ser invocado o enunciado: 2.2.4 e 2.2.5 do Aviso 23/2008 do TJRJ, cujo teor se transcreve:

2.2.4 - A incompetência territorial pode ser reconhecida de ofício no sistema dos Juizados Especiais Cíveis.


2.2.5- Salvo nos locais onde haja órgão distribuidor para Juizados com a mesma competência, o juiz deverá, com base na violação do princípio do juiz natural, reconhecer de ofício a incompetência nos casos em que a ação for proposta no juizado de localização de um dos estabelecimentos de parte com multiplicidade de endereços, sem que se trate da sede ou sem que haja relação do estabelecimento: (i) com o domicílio residencial do autor; (ii) com o local onde a obrigação deva ser cumprida; ou (iii) com o lugar do ato ou fato lesivo ou serviço prestado. 

Posto isso, JULGO EXTINTO O PROCESSO SEM RESOLUÇÃO DO MÉRITO NA FORMA DO ART. 51,III da Lei 9.099/95.
 

Sem ônus sucumbenciais, face o disposto no artigo 55, da Lei nº 9.099/95. Após o trânsito em julgado, dê-se baixa e arquivem-se. P.R.I. 

Projeto de sentença sujeito à homologação pela MM. Juiz de Direito, com base no art. 40, da Lei 9.099/95. 

Rio de Janeiro, 03 de Agosto de 2016.

Everardo Mendes de Araújo
Juiz Leigo";000428333A5F2A774678FC30DA954FBC96D7C5052A07345E;['2016.001.179113-9']
5;2016.208.013575-6;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";000428333A5F2A774678FC30DA954FBC96D7C5052A07345E;['2016.001.179113-9']
6;2016.208.013575-6;A parte autora afirma na inicial que tem endereço em Copacabana. Porém, cotejando-se os documentos acostados aos autos, não restou demonstrado que o endereço residencial da parte autora é em Copacabana, o que justificaria a competência deste Juizado na forma do artigo 4º da Lei 9099/95. Ainda que a autora possa residir com terceiros, não é crível que não tenha cópia de correspondência enviada em seu nome para o endereço mencionado na inicial. Logo, nada há nos autos que indique que a  autora faça jus ao ajuizamento da demanda neste Juizado. Assim sendo, JULGO EXTINTO O PROCESSO, sem resolução de mérito, com fundamento no artigo 51, inciso I, da Lei 9099/95. Sem custas e sem honorários. Retirei o feito de pauta. Após, dê-se baixa e arquive-se.;00042582ED5CF5369F9DFB7F6E14162D80BBC50533212B11;['2016.001.136995-8']
7;2016.208.013575-6;"Homologo o acordo celebrado entre as partes para que surta seus jurídicos e legais efeitos, e julgo o feito extinto, com resolução do mérito, nos termos do art. 487, inc. III, b, do novo Código de Processo Civil ( Lei nº 13.105/ 2015). 

Se for o caso, comprovado o depósito, expeça-se mandado de pagamento em favor da parte autora, independentemente de nova conclusão.   Após, nada mais sendo requerido, dê-se baixa e arquivem-se. 


Decorrido o prazo do cumprimento o acordo, aguarde-se por cinco dias a manifestação das partes; não havendo manifestação,  dê-se baixa e arquive-se.";00042582ED5CF5369F9DFB7F6E14162D80BBC50533212B11;['2016.001.136995-8']
8;2016.208.013575-6;"14602    Processo 0290569-02.2016.8.19.0001\n\n\nS E N ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00041E4AB110006880EEA0F1EC3BF1E24BC5C505643D1833;['2016.001.250620-9']
9;2016.208.013575-6;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004A5722C0BA8DA90E80FE64A542ECEE14DC50535023B20;['2016.208.015558-5']
