;processo;sentenca;similar_file;similar_processo
0;2016.021.053042-3;"Dispensado o relatório nos termos do art. 38, da lei 9.099/95.
Homologo, para que produza seus jurídicos e legais efeitos, o acordo estabelecido pelas partes em audiência. Por conseguinte, JULGO EXTINTO o presente processo, com julgamento do mérito, na forma do art. 487, III, ""b"" do NCPC sem custas ou honorários. Aguarde-se a manifestação das partes para o cumprimento do acordo. 
Após, permanecendo inertes, e cumpridas todas as formalidades legais, inclusive certificado o trânsito em julgado, dê-se baixa e arquivem-se. P.R.I.
Defiro sejam feitas as publicações conforme requerido. Anote-se onde couber.";0004F30D61476FE4C5D65632BC51957AD9C6C5053F481F04;['2016.063.008436-5']
1;2016.021.053042-3;"2534    Dispensado o relatório na forma do artigo 38 d...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00048CE34F6C48840FE14EA11C581F8AE4DCC50503040664;['2016.063.001079-5']
2;2016.021.053042-3;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. Sem custas e honorários. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.
Ficam as partes cientes de que os prazos perante o JEC continuam sendo contados em dias corridos, nos termos da nota técnica 01/2016 do FONAJE e do entendimento da Corregedora Nacional de Justiça, Ministra Nancy Andrighi.";00048CE34F6C48840FE14EA11C581F8AE4DCC50503040664;['2016.063.001079-5']
3;2016.021.053042-3;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. Sem custas e honorários. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.
Ficam as partes cientes de que os prazos perante o JEC continuam sendo contados em dias corridos, nos termos da nota técnica 01/2016 do FONAJE e do entendimento da Corregedora Nacional de Justiça, Ministra Nancy Andrighi.";000474F93F7A51468ED8EABCADF9B02EA43CC50519395C4A;['2016.063.003885-9']
4;2016.021.053042-3;"Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação indenizatória, pelo rito sumaríssimo, por meio da qual a parte autora requer a condenação da parte ré à compensação por danos morais experimentados em razão da suspensão indevida do serviço de telefonia, que perdurou por cerca de duas semanas. Em contestação, a ré argui incompetência do juízo e, no mérito, afirma que solucionou o problema em prazo razoável, motivo pelo qual não há que se falar em danos morais, pelo que requer a improcedência dos pedidos.
Primeiramente afasto a preliminar arguida, uma vez que entendo ser desnecessária a produção de prova pericial para o deslinde da causa. Estando presentes as condições da ação e os pressupostos de constituição e desenvolvimento regular do processo, passo a decidir o mérito.  
A relação de direito material havida entre as partes é de consumo, já que presentes os requisitos objetivos (art. 3º, §1º e 2º, da Lei 8.078/90) e subjetivos (arts. 2º e 3º, da Lei 8.078/90) de tal relação. Por essa razão, impõe-se a inteira aplicação do Código de Defesa do Consumidor, o qual positiva um núcleo de regras e princípios protetores dos direitos dos consumidores enquanto tais, prevendo inclusive a possibilidade de inversão do ônus da prova, o que ora se faz, na forma do artigo 6º, VIII, da Lei 8.078/90. 
Nessa esteira de raciocínio, a lei estabelece também que todo aquele que exerce atividade no campo de fornecimento de produtos e serviços tem o dever de responder objetivamente pelos vícios e fatos decorrentes dessa prestação.
Segundo Sérgio Cavalieri Filho, o serviço é considerado defeituoso quando não fornece a segurança que o consumidor dele pode esperar, levando-se em conta as circunstâncias relevantes, tais como o modo de seu fornecimento, o resultado e os riscos que razoavelmente se espera. Como se nota, os defeitos podem ser de concepção, de prestação ou de comercialização, o que inclui a prestação de informações insuficientes ou inadequadas.
Nesse caso o serviço é defeituoso, pois a parte autora permaneceu sem a devida prestação do serviço, mesmo após inúmeras reclamações, não sendo restabelecido de forma administrativa de forma adequada, mas somente após cerca de quinze dias após a solicitação. A conduta é, portanto, ilícita. 
Embora afirme a ré que a parte autora não sofreu dano moral, esta ficou impossibilitada de usar o serviço que contratou e pelo qual estava pagando regularmente, o que causaria em qualquer pessoa um enorme sentimento de frustração. Além disso, verifico que estão presentes os requisitos necessários para que o lesado possa ter direito à reparação, quais sejam: a) que sofra dano injusto de caráter pessoal, moral ou patrimonial; b) que seja decorrente de fato de terceiro; c) que haja nexo causal entre o evento e a ação do terceiro.
Sem dúvidas, no caso em tela houve a conjugação dos três pressupostos acima mencionados, não havendo como se negar que tal fato lhe gerou danos. Assim, merece procedência o pedido no que tange o dano moral, pois, por se tratar de algo imaterial ou ideal, está ínsito na própria ofensa, de tal modo que, provado o fato danoso, ipso facto está demonstrado o dano moral.
Em face do exposto, JULGO PROCEDENTE, em parte, O PEDIDO para condenar a ré a pagar à parte autora a quantia de R$ 800,00 (oitocentos reais) a título de compensação dos danos morais, quantia essa que deve ser corrigida monetariamente e acrescida de juros legais desde a data desta sentença.
Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
Submeto o presente projeto à homologação pela MM. Juíza de Direito.
Retifique-se o polo passivo conforme requerido.";000474F93F7A51468ED8EABCADF9B02EA43CC50519395C4A;['2016.063.003885-9']
5;2016.021.053042-3;"6393    PROJETO DE SENTENÇA\n\n\n\tDispensado o relató...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00048DFEC172359A51B93B2D489D184E3166C5051312294E;['2016.063.003040-0']
6;2016.021.053042-3;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. Sem custas e honorários. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.
Ficam as partes cientes de que os prazos perante o JEC continuam sendo contados em dias corridos, nos termos da nota técnica 01/2016 do FONAJE e do entendimento da Corregedora Nacional de Justiça, Ministra Nancy Andrighi.";00048DFEC172359A51B93B2D489D184E3166C5051312294E;['2016.063.003040-0']
7;2016.021.053042-3;"Dispensado o relatório nos termos do art. 38, da lei 9.099/95.
Homologo, para que produza seus jurídicos e legais efeitos, o acordo estabelecido pelas partes às fls. 113. Por conseguinte, JULGO EXTINTO o presente processo, com julgamento do mérito, na forma do art. 487, III, ""b"" do NCPC sem custas ou honorários. Aguarde-se a manifestação das partes para o cumprimento do acordo. 
Após, permanecendo inertes, e cumpridas todas as formalidades legais, inclusive certificado o trânsito em julgado, dê-se baixa e arquivem-se. P.R.I.
Defiro sejam feitas as publicações conforme requerido. Anote-se onde couber.";0004CD56569479D29EB7593BF5144C2B98BFC5052C5B1016;['2016.063.006815-3']
8;2016.021.053042-3;"8299    Dispensado o relatório na forma do artigo 38 d...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004A8DB6EC9E182D905B0D7CD6F57FA1D62C5051C4B4262;['2016.063.004423-9']
9;2016.021.053042-3;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. Sem custas e honorários. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.
Ficam as partes cientes de que os prazos perante o JEC continuam sendo contados em dias corridos, nos termos da nota técnica 01/2016 do FONAJE e do entendimento da Corregedora Nacional de Justiça, Ministra Nancy Andrighi.";0004A8DB6EC9E182D905B0D7CD6F57FA1D62C5051C4B4262;['2016.063.004423-9']
