;processo;sentenca;similar_file;similar_processo
0;2016.021.000464-6;"Aos 23.05.2016, na sala de audiência deste Juízo, perante a Juíza Drª. FLÁVIA CAPANEMA REGO. Aberta a Audiência de Conciliação, Instrução e Julgamento, às 14hs47min, esta feita na forma do §3º, do artigo 13, da Lei 9099/95. Ao pregão responderam as partes, devidamente representadas. Tentada a conciliação, a mesma foi aceita nos seguintes termos: 1) A parte ré se obriga a pagar à parte autora a quantia de R$ 2.000,00, mediante depósito em conta-corrente da parte autora, qual seja, BANCO DO BRASIL S.A., AGÊNCIA 1611-X, CONTA-CORRENTE 41325-9, CPF 625.962.927-34 DATA DE NASCIMENTO: 27.08.1960 até o dia 22.06.2016 , sob pena de multa no valor correspondente a 30% sobre o ora avençado; 2) Na hipótese de inconsistência dos dados ora fornecidos pela parte autora, o pagamento far-se-á por meio de depósito judicial vinculado ao CPF de nº 625.962.927-34 , a ser comprovado nos autos até o dia 30.06.2016, sob pena de multa no valor correspondente a 30% sobre o ora avençado; 3) Comprovado o pagamento previsto no item 2, determino a expedição de ALVARÁ em favor da parte autora e/ou de seu I. Patrono se houver poderes para receber, independentemente de conclusão; 4) A parte ré se obriga a cancelar o cartão de crédito OUROCARD MASTERCARD GOLD, nº 5464.xxxx.xxxx.4070, após o pagamento pela parte autora da fatura com vencimento no mês de junho de 2016, salientando-se que o não recebimento da fatura no prazo de 60 ias a contar de hoje, implicará na perda do crédito. Cumprido integralmente o acordo, a parte autora dá plena, rasa e geral quitação, para nada mais reclamar acerca dos fatos narrados na inicial. Com o presente acordo as partes põem fim à demanda e requerem a homologação do mesmo. Pelo MM. Juiz foi proferida a seguinte sentença. SENTENÇA: Vistos etc. HOMOLOGO POR SENTENÇA para que produza seus jurídicos e legais efeitos o acordo celebrado entre as partes acima mencionadas. Em consequência, JULGO EXTINTO O PROCESSO, com fundamento no artigo 269, inciso III, do Código de Processo Civil. Sem custas e sem honorários. Publicada em audiência e intimados os presentes. Registre-se. Transitada em julgado, dê-se baixa e arquive-se. Ficam as partes cientes de que os autos processuais findos dos Juizados Especiais Cíveis serão eliminados após o prazo de 90 (noventa) dias da data do arquivamento definitivo (ato normativo conjunto 01/2005). NADA mais, encerro a presente às 15hs00min. ";0004653696D86B388CC850D903C731BB31C9C5050C420E47;['2016.001.107832-0']
1;2016.021.000464-6;Projeto em Revisão;000431280915F69B67E717320BDD82D06868C5051003550E;['2016.204.010790-7']
2;2016.021.000464-6;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;000431280915F69B67E717320BDD82D06868C5051003550E;['2016.204.010790-7']
3;2016.021.000464-6;"
Dispensado o relatório, na forma do artigo 38 da Lei 9099/95, passo a decidir.

Alega a parte autora se titular de cartão de crédito administrado pelo réu e que foi surpreendida com a cobrança de supostas compras, que desconhece. Requer cancelamento e indenização por danos morais.

Em sua contestação, alega o réu que a parte autora não tentou resolver o problema administrativamente.
  
	Por ser relação de consumo toda relação jurídico-obrigacional que liga um consumidor a um fornecedor, tendo como objeto o fornecimento de um produto ou da prestação de um serviço, conclui-se que a relação existente entre as partes é de consumo, portanto a referida demanda será analisada sob a ótica do Código de Defesa do Consumidor.

  A hipótese constante dos autos é de fato do serviço, cuja previsão se encontra no art. 14 da Lei 8078 /90, e este se caracteriza quando gera um acidente de consumo. O acidente de consumo se dá quando o defeito do serviço se exterioriza, atingindo o consumidor em sua incolumidade física, econômica ou psíquica. 

	A parte autora afirma desconhecer as compras supostamente realizadas, enumeradas em sua exordial em fls. 04. O réu não nega a possibilidade de fraude.

O réu não logrou êxito em provar a existência de qualquer fato que excluísse sua responsabilidade frente ao consumidor.

A modernidade traz para as instituições financeiras grande redução de custos com despesas de pessoal e deveres trabalhistas, por exemplo. Quando, entretanto, fazem a opção de prestar serviços por meio eletrônico, as instituições financeiras assumem, indubitavelmente, o risco de que fraudes se verifiquem, fraudes essas que, naturalmente, encontram-se abarcadas pelo risco de sua atividade, não se prestando, pois, a figurarem como causas excludentes de responsabilidade.

Por tal razão, não pode o autor ser responsabilizado pelo pagamento de compra não realizada. Assim, merece acolhida o pedido de cancelamento.

A conduta do réu é, portanto, indevida, pois sabe-se que, pela teoria do risco do empreendimento, cabe aos fornecedores suportar os prejuízos de sua atividade, não sendo lícito transferi-los ao consumidor.  

	Do exposto, por outro lado, constata-se que inexistiram danos de caráter extrapatrimonial, razão pela qual não merece acolhida o pedido de indenização por danos morais.
Isso posto, JULGO PROCEDENTE EM PARTE O PEDIDO para condenar réu a cancelar as cobranças enumeradas em fls. 04, e ainda, os acréscimos de juros, multa, encargos e atualização monetária incidentes, no prazo de vinte dias, sob pena de multa de R$ 300,00 por cada cobrança indevida. JULGO IMPROCEDENTE o pedido de indenização por danos morais. Deixo de condenar em despesas processuais e honorários advocatícios com base no art. 55 da Lei n° 9.099/95. 
Anote-se onde couber o nome dos patronos indicados na peça de defesa da ré para as futuras publicações.
   
Projeto de sentença que se submete à homologação, nos termos do art.40, Lei nº 9.099/95.

Rio de Janeiro, 01 de junho de 2016.";000431280915F69B67E717320BDD82D06868C5051003550E;['2016.204.010790-7']
4;2016.021.000464-6;"785    ESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\n1º...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004AE662DBAA7D91915E2892CBC952D0F0AC5045D1D221E;['2016.021.006974-4']
5;2016.021.000464-6;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;0004AE662DBAA7D91915E2892CBC952D0F0AC5045D1D221E;['2016.021.006974-4']
6;2016.021.000464-6;"
Sustenta o   Recorrente  através do  Recurso de  Embargo de  Declaração    em face   da  Sentença   proferida  ,   vicio   que deve ensejar  a  devida    integração  para o  aperfeiçoamento da  prestação jurisdicional .

Não merece   reparo  a  Sentença    eis que entendo que   já  houve  pronunciamento correto e preciso   sob todos os   pontos   sustentados       na peça inicial como na   defesa da  ré.

Esclareço por fim  que   pretende  a  Embargante  por  via  reflexa discutir o mérito   da Sentença não sendo o  Embargos de  Declaração o Recurso  cabível.

Deve ser acrescentado ainda que o Recurso  é   inadequado  em razão da   sua devolutividade restrita  , o  que não permite   alteração   substancial. 

Ante o exposto ,  conheço do recurso e nego provimento ao mesmo .
Intimem-se.";0004AE662DBAA7D91915E2892CBC952D0F0AC5045D1D221E;['2016.021.006974-4']
7;2016.021.000464-6;"	Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação indenizatória, pelo rito sumaríssimo, por meio da qual a parte autora requer a condenação da parte ré à compensação por danos morais experimentados em razão de falha na prestação do serviço, eis que, feito um TED na boca do caixa, a operação não foi realizada, dando ensejo ao inadimplemento de outros negócios. Em contestação, a ré afirma que não há qualquer defeito na prestação do serviço, pois o TED não foi realizado por divergência no CPF do favorecido, pelo que requer a improcedência dos pedidos.
	Estando presentes as condições da ação e os pressupostos de constituição e desenvolvimento regular do processo, passo a decidir o mérito. 
	A relação de direito material havida entre as partes é de consumo, já que presentes os requisitos objetivos (art. 3º, §1º e 2º, da Lei 8.078/90) e subjetivos (arts. 2º e 3º, da Lei 8.078/90) de tal relação. Por essa razão, impõe-se a inteira aplicação do Código de Defesa do Consumidor, o qual positiva um núcleo de regras e princípios protetores dos direitos dos consumidores enquanto tais, prevendo inclusive a possibilidade de inversão do ônus da prova, o que ora se faz, na forma do artigo 6º, VIII, da Lei 8.078/90. 
	Nessa esteira de raciocínio, a lei estabelece também que todo aquele que exerce atividade no campo de fornecimento de produtos e serviços tem o dever de responder objetivamente pelos vícios e fatos decorrentes dessa prestação.
	Segundo Sérgio Cavalieri Filho, o serviço é considerado defeituoso quando não fornece a segurança que o consumidor dele pode esperar, levando-se em conta as circunstâncias relevantes, tais como o modo de seu fornecimento, o resultado e os riscos que razoavelmente se espera. Como se nota, os defeitos podem ser de concepção, de prestação ou de comercialização, o que inclui a prestação de informações insuficientes ou inadequadas.
	Nesse caso o serviço é defeituoso, pois em que pese a ré afirme que a parte autora informou o CPF do favorecido de forma equivocada, além de isso não poder ser observado dos documentos trazidos aos autos (fls. 11 e seguintes), não traz aos autos documento que demonstre o alegado. Dessa maneira, cabe a sua responsabilização.
	O CPF constante de fls. 11 está correto como se observa da CNH acostada aos autos.
	Embora afirme a ré que a parte autora não sofreu dano moral, restou inadimplente diante de seus credores por culpa do réu, o que causaria em qualquer pessoa um enorme sentimento de frustração. Além disso, verifico que estão presentes os requisitos necessários para que o lesado possa ter direito à reparação, quais sejam: a) que sofra dano injusto de caráter pessoal, moral ou patrimonial; b) que seja decorrente de fato de terceiro; c) que haja nexo causal entre o evento e a ação do terceiro.
	Sem dúvidas, no caso em tela houve a conjugação dos três pressupostos acima mencionados, não havendo como se negar que tal fato lhe gerou danos. Assim, merece procedência o pedido no que tange o dano moral, pois, por se tratar de algo imaterial ou ideal, está ínsito na própria ofensa, de tal modo que, provado o fato danoso, ipso facto está demonstrado o dano moral.
	Em face do exposto, JULGO PROCEDENTE, em parte, O PEDIDO para condenar a ré a pagar à parte autora a quantia de R$ 2.000,00 (dois mil reais) a título de compensação dos danos morais, quantia essa que deve ser corrigida monetariamente e acrescida de juros legais desde a data desta sentença.
	Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
	Submeto o presente projeto à homologação pela MM. Juíza de Direito.
	Retifique-se o polo passivo, caso requerido.";0004C501D8B8DA243401614CA971F3A10952C50563111F31;['2016.063.011187-3']
8;2016.021.000464-6;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.";0004C501D8B8DA243401614CA971F3A10952C50563111F31;['2016.063.011187-3']
9;2016.021.000464-6;"1746    Processo nº: 0003247-83.2015.8.19.0208\nParte ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004F5AF344D6A318325E12B7311E11C84C7C505071D2519;['2016.208.003214-1']
