;processo;sentenca;similar_file;similar_processo
0;2016.001.003218-0;"
Processo 0396228-97.2016.8.19.0001

AUTORA: MYRIAN GARSON - (Adv. Clarissa Oliveira Vidon, 134.491/RJ OAB)
 RÉU: UNIVERSIDADE ESTÁCIO DE SÁ. - (Adv. Simone Castelo Branco, 165.443/RJ OAB)
Representante: Paulo Pedro de Abreu.
	

TERMO DE AUDIÊNCIA 
Ao terceiro dia do mês de março de 2017, na sala de audiências do VI Juizado Especial Cível, em sessão presidida pelo Juiz MAURO NICOLAU JÚNIOR, feito o pregão, às 11h15min, compareceram as partes e advogados conforme acima mencionado. Proposta a conciliação esta restou infrutífera tendo a parte ré se reportado à contestação já apresentada por meio eletrônico da qual teve vista a parte contrária. Encerrada a fase probatória visto que as partes afirmaram a inexistência de outras provas a produzir, em alegações finais os doutos patronos se reportaram à inicial e contestação. A seguir pelo MM. Juiz foi proferida a seguinte SENTENÇA: Pretende a autora a condenação da ré ao pagamento de indenização por danos morais. Afirma que: a autora finalizou o curso e apresentou seu trabalho de conclusão junto à ré, sendo que, desde o ano de 2012 aguarda a emissão de seu diploma de especialização, o que não ocorreu até a presente data. Contestação a fls. 33 na qual a ré afirma que, diversamente do alegado, a autora apenas veio a concluir seu curso com a defesa do trabalho final em abril de 2014 e em setembro de 2015 a autora ainda se encontrava com pendencia na entrega da documentação necessária à emissão do diploma o que só veio a ocorrer em abril de 2016. De fato, a documentação apresentada pela própria autora dá conta de que a realidade é diversa da narrada na peça exordial demonstrando falsear com a verdade a fim de se locupletar ilicitamente. Afirma a autora que deveria ter recebido seu diploma desde 2012 quando, na verdade, veio a concluir o curso, com a apresentação do TCC apenas em 2014 e ainda assim, não havia apresentado a documentação necessária à emissão do diploma. Em consequência, o que se vê é que a mora sempre foi da autora e não da ré. Por tais motivos JULGO IMPROCEDENTE o pedido contido na peça preambular. Intimados em audiência, registre-se e cumpra-se. Certificados o trânsito em julgado e a inexistência de custas a recolher dê-se baixa e arquive-se. Nada mais havendo a ser consignado considerando que as partes e seus patronos afirmaram a inexistência de dúvidas ou impugnações quanto ao conteúdo da presente ata foi a audiência encerrada as 11:50 horas. 

MAURO NICOLAU JUNIOR
Juiz de Direito";000433B00CD7A0471C620B8145D927A116B5C505644C1459;['2016.001.345231-2']
1;2016.001.003218-0;"12080    Processo nº  0027211-08.2016.8.19.0208\nParte ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004B2BD4A43F5F8186677F3DB6CD3596EFCC5054A643F30;['2016.208.026910-4']
2;2016.001.003218-0;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004B2BD4A43F5F8186677F3DB6CD3596EFCC5054A643F30;['2016.208.026910-4']
3;2016.001.003218-0;"	Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação pelo procedimento sumaríssimo por meio da qual a parte autora pretende a condenação da ré a compensar danos morais e materiais gerados em razão do extravio de um mandado de pagamento protocolado desde 2014. Aduz que demorou muito tempo para ser atendida na agência bancária e mesmo assim não conseguiu solucionar o problema.
	Em contestação, o réu afirma que a parte autora não forneceu os dados do mandado de pagamento objeto da demanda para que pudesse ser feita a apuração do ocorrido, requerendo a improcedência dos pedidos.
Estando presentes as condições da ação e os pressupostos de constituição e desenvolvimento regular do processo, passo a decidir o mérito. 
	O Código de Defesa do Consumidor, visando prover um maior equilíbrio nas relações de consumo - face a reconhecida vulnerabilidade do consumidor - criou uma série de normas protetivas. Dentre tais normas, está presente a possibilidade de inversão do ônus da prova em favor do consumidor, uma forma de facilitar defesa deste no processo. 
Todavia, para que o Magistrado proceda com a inversão do ônus da prova, não basta que a lide sob exame advenha de uma relação de consumo. Isso porque a inversão do ônus da prova não é direito subjetivo do consumidor, mas sim uma possibilidade processual, condicionada à hipossuficiência ou à verossimilhança de suas alegações, apreciadas de acordo com o prudente arbítrio do magistrado. 
Após uma detida análise dos elementos apresentados nos autos, conclui-se que não estão presentes os requisitos mínimos para a concessão da inversão do ônus da prova. No tocante a verossimilhança, se faz necessário que a parte autora apresente um mínimo de demonstração no sentido de que sua alegação é verossímil. Deve oferecer elementos, dados, ou indícios quaisquer que, em confronto com a narração das circunstâncias de que dá conta a inicial, possam induzir a um ´quê´ de verdade. Nesse sentido, a súmula 330 do TJRJ, in verbis:

Nº. 330 ""Os princípios facilitadores da defesa do consumidor em juízo, notadamente o da inversão do ônus da prova, não exoneram o autor do ônus de fazer, a seu encargo, prova mínima do fato constitutivo do alegado direito.""

 No caso em tela, a parte autora não logrou êxito em comprovar a ocorrência dos fatos como apresentados. De fato, a parte autora não carreou aos autos nenhuma prova ou indício capaz de evidenciar a existência de defeito imputável ao réu.
Isso porque, no caso em tela não há nenhuma prova do alegado, sendo certo que a cópia trazida aos autos não permite ver qual a data do protocolo e nem mesmo quando houve a expedição da ordem, até mesmo para se apurar se ainda estava na validade quando protocolado, já que da data da suposta emissão até a propositura da ação transcorreram cerca de três anos.
Nessa mesma esteira, também não se verifica hipossuficiência da parte autora no caso em discussão. Isso porque a hipossuficiência prevista no art. 6o, VIII, da Lei 8.078/90, deve ser entendida como a impossibilidade de produção da prova e não como a simples presença de um desnível econômico. 
A parte autora possuía os meios para produzir provas a seu favor, ainda que mínimas, mas não o fez. O ônus da prova é uma regra de conduta dirigida às partes, que indica quais fatos que a cada uma cabe provar e ao juiz, que indica como ele deverá julgar acaso não encontre a prova dos fatos. 
Logo, aquele que tem interesse em ver sua pretensão acolhida deve cuidar em trazer aos autos do processo todas as provas capazes de influenciar na decisão do órgão julgador. Assim, tendo em vista que as provas e indícios presentes nos autos não apontam a caracterização da responsabilidade civil da parte ré, se conclui que só resta a rejeição do pedido autoral.
Em face do exposto, JULGO IMPROCEDENTES OS PEDIDOS. 
Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
Submeto o presente projeto à homologação pela MM. Juíza de Direito.";0004CA71CB57FE6172FC72E766A63353C448C5060F1C4612;['2016.063.014227-4']
4;2016.001.003218-0;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito dê-se baixa e arquive-se.";0004CA71CB57FE6172FC72E766A63353C448C5060F1C4612;['2016.063.014227-4']
5;2016.001.003218-0;"Todas as questões relevantes para a decisão da causa foram enfrentadas e resolvidas pela sentença, de sorte que não há nela nenhuma obscuridade, omissão ou contradição a ser sanada.

A parte autora não se conformou com o resultado do julgamento, buscando, através dos embargos declaratórios, obter efeito modificativo do julgado.  Isso, como regra, é inadmissível porque os embargos de declaração não constituem recurso idôneo para corrigir os fundamentos da sentença ou para provocar o reexame de questões já decididas.  A nossa Corte Superior de Justiça firmou entendimento nesse sentido ao decidir, in verbis: ""Não pode ser conhecido recurso, que, sob o rótulo de embargos declaratórios, pretendem substituir a decisão recorrida por outra. Os embargos declaratórios são apelos de integração e não de substituição."" (STJ, 1ª Turma, Resp.15.774 - O - SP, Rel. Min. Humberto Gomes de Barros).

A sentença está devidamente fundamentada, de modo a não ensejar omissão, obscuridade ou contradição sobre as questões decididas e os motivos da decisão, pelo que se nega provimento aos embargos.";0004CA71CB57FE6172FC72E766A63353C448C5060F1C4612;['2016.063.014227-4']
6;2016.001.003218-0;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos,  expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004570949EF5985523F2F8D85A0009A96FFC50556573F16;['2016.204.031038-5']
7;2016.001.003218-0;"
PROJETO DE SENTENÇA


Dispenso o relatório na forma do permitido pelo art. 38 da Lei nº. 9.099/95.
 
Afirma a autora que realizou acordo visando quitar débitos com a ré sendo que, mesmo tendo quitado integralmente o acordo, foi impedida de realizar a matricula. Requer a reparação dos danos morais suportados e que seja a ré compelida a promover a matricula da autora no semestre letivo.

Em contestação o réu alega em preliminar de ilegitimidade passiva. No mérito afirma que não é possível efetuar a matricula da autora no semestre 2016.2 vez que este encontra-se em vias de encerramento bem como o valor cobrado é devido, requerendo a improcedência do pedido.  

Deve ser afastada a preliminar de ilegitimidade passiva vez que, conforme narrado na própria peça vestibular, a autora não questiona a suspensão do benefício do FIES, e sim o não cumprimento de acordo visando quitar os débitos existentes.

Relação de consumo.
 
Autora afirma ter realizado acordo com o réu visando quitar dívida existente. 

As fls. 31 há comprovação de quitação do valor negociado pela instituição, sendo que o próprio documento de fls. 149 demonstra que inexistem débitos pendentes. 

Destarte, figura-se abusiva a conduta de impossibilitar a matricula da autora no semestre letivo, vez que inexistem débitos pendentes, tendo a autora quitado eventuais débitos pendentes por meio de acordo firmado espontaneamente pelas partes. 

Resta-se inequívoco, portanto, a existência de falha na prestação do serviço, na forma do art. 14 da Lei 8078/90.

O impedimento do réu um promover a matricula da autora impediu que esta cursasse o período letivo correspondente ao segundo semestre do ano de 2016, restando configurado o dano moral, o qual decorre da angústia experimentada pela autora, mormente à iminência de perda de seu estágio.. Atenta aos princípios da proporcionalidade e da razoabilidade, considerando ainda o aspecto punitivo da condenação, de especial relevância nas relações de consumo, fixo a indenização em R$ 4.000,00 (quatro mil reais). 

Isto posto, JULGO PROCEDENTE EM PARTE o pedido para: 

a) antecipar os efeitos da tutela para determinar que o réu promova a matricula da autora no período letivo atual, no prazo de até 10 (dez) dias, contados da sentença, sob pena de multa diária de R$ 100,00 (cem reais), limitada, inicialmente, a R$ 5000,00 (cinco mil reais); 

b) condenar o réu a pagar ao autor indenização por danos morais no valor de R$ 4.000,00 (quatro mil reais), com correção monetária desde a data da sentença e juros de 1% ao mês a partir da citação. 

Sem custas e honorários, na forma da Lei nº. 9.099/95. Submeto o Projeto de sentença à homologação ...


rio de janeiro, 31 de dezembro de 2016


magnum magalhaes pinto da silva";0004570949EF5985523F2F8D85A0009A96FFC50556573F16;['2016.204.031038-5']
8;2016.001.003218-0;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos,  expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004DE89BA91F2FC3E858468D34E91353C08C5055A261245;['2016.204.032515-7']
9;2016.001.003218-0;"
Processo :0032864-03.2016.8.19.0204

Autor: LUCIENE GRIGÓRIO DE ASSUNÇÃO

Réu: SOCIEDADE DE ENSINO SUPERIOR ESTÁCIO DE SÁ
			
			PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9.099/95.

A parte autora alega, em síntese, que a ré ofertou uma bolsa de estudos na modalidade EAD de 25% até o final do curso, por ser ex-aluna da instituição. Narra que efetuou a matrícula mas recebeu boleto com valor integral. Requer indenização por danos morais, materiais e cumprimento da oferta.
Em contestação a ré sustenta preliminarmente que a autora não apresenta comprovante de residência, requerendo a extinção do processo sem resolução de mérito. No mérito sustenta que a autora não comprova que tenha efetuado a matrícula no prazo.
Rechaço o requerimento da ré de extinção do feito análise de mérito considerando o Enunciado nº 04.2016 do Aviso Conjunto TJ/Cojes nº 15/2016, uma vez  que a autora durante a instrução comprovou seu domicílio, apresentando comprovante de residência durante a instrução, o que foi visto pela ré e pelo juízo.

No mérito, trata-se de relação de consumo nos termos do art. 2º e 3º do CDC razão pela qual a lide deve ser analisada a luz dos princípios próprios que regem o direito do consumidor .

Da análise dos documentos apresentados pela parte autora verifica-se que embora os emails de fls.16 confirmem a oferta de 25% de desconto, verifica-se que nos emails posteriores verifica-se que o curso na modalidade EAD na abrande a modalidade de bolsa, conforme informado por preposto da ré nos emails.
Ademais, não restou comprovado pela autora, que no ato da matrícula a ré concedeu 25% de bolsa, considerando que a autora não trouxe aos autos contrato da prestação do serviço ou outro documento comprovando as suas alegações, ônus que lhe incumbia, artigo 373, I, NPC.
No caso concreto, a parte autora não esclareceu devidamente a dinâmica dos fatos que teria ensejado a suposta falha na prestação de serviços, não apresentando elementos probatórios mínimos do direito que alega ( artigo 373, I, CPC e súmula 330, TJ-RJ) o que inviabiliza a aplicação da inversão do ônus da prova, em vista da verossimilhança em sua alegações, nos termos do artigo 6º, VIII, CDC.
A seu turno, o Código de Processo Civil de 2015, no seu artigo 373, acolhe o princípio do interesse, sintetizando a idéia de que o ônus da prova incumbe àquele que tiver interesse no reconhecimento do fato a ser provado. Daí a obrigação do autor provar os fatos constitutivos de seu direito e o réu provar os fatos impeditivos, modificativos ou extintivos do direito firmado pelo autor.

Isto posto, JULGO IMPROCEDENTES os pedidos autorais, com fulcro no artigo 487, I, NCPC.
Sem custas e honorários de sucumbência, nos termos do art. 55 da Lei 9.0099/95.
Submeto a apreciação do MM. Juiz de Direito conforme artigo 40 da Lei 9.099/ 95. Rio de Janeiro, 18 de janeiro de 2017. Juliana de Mattos Braga ¿ juíza leiga


				
";0004DE89BA91F2FC3E858468D34E91353C08C5055A261245;['2016.204.032515-7']
