;processo;sentenca;similar_file;similar_processo
0;2016.001.359687-5;"1308    \nESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\n...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00041B4025424FE8E83B0B8E384ED1B29728C505033E572B;['2016.001.025705-0']
1;2016.001.359687-5;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00041B4025424FE8E83B0B8E384ED1B29728C505033E572B;['2016.001.025705-0']
2;2016.001.359687-5;"5354    ESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\nVI...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00044AAD32D3FD96A6F994AA641D15DA4483C505182F5812;['2016.001.108774-6']
3;2016.001.359687-5;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";00044AAD32D3FD96A6F994AA641D15DA4483C505182F5812;['2016.001.108774-6']
4;2016.001.359687-5;"3236    VI - JUIZADO ESPECIAL CÍVEL DA GÁVEA\nProc. Nº...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004E3AC3D8D944CA33A14E2479261E06365C5051A0E2E5D;['2016.001.111525-0']
5;2016.001.359687-5;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004B5F4B7FBEDABE4658BE019E0B2C7B6F6C50506590E48;['2016.001.067072-9']
6;2016.001.359687-5;"1327    PROJETO DE SENTENÇA\n\nAinda que dispensado o ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004B5F4B7FBEDABE4658BE019E0B2C7B6F6C50506590E48;['2016.001.067072-9']
7;2016.001.359687-5;"Processo n°:  0081532-32.2016.8.19.0001
Autor: SUELY MARTINHO
Réu: OI MO?VEL S/A 

PROJETO DE SENTENÇA

Dispensado o relatório na forma do art. 38 da Lei 9.099/95.

Trata-se de ação em que a autora alega ser cliente dos serviços da ré, que, por sua vez, não se desincumbiu de prestá-los de forma adequada, tendo cancelado os serviços, de forma unilateral, o que lhe acarretou relevantes transtornos. Narra a demandante, ter solicitado a religação de sua linha de telefone, bem como, contratado novo plano junto a reclamada.

Pelo que, objetiva: a compensação por danos morais, no valor de R$ 12.000,00.

A parte ré foi citada e ofereceu defesa sob a forma escrita, tendo suscitado a preliminar de inépcia da inicial, além de pugnar pela improcedência dos pedidos, ao argumento de que não ocorreu falha na prestação do serviço.

Não acolho a preliminar de inépcia da inicial, suscitada pela ré, já que os pedidos e a causa de pedir são claros, e os documentos apresentados suficientes, tanto que permitiram a apresentação de defesa bem fundamentada, preenchendo os requisitos do art. 14, da Lei 9.099/90. 

Assim, presentes as condições para o regular exercício do direito de ação, bem como, os demais pressupostos da ação, passo a enfrentar o mérito.

A relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor, art. 2o c/c art. 17 e art. 3o da Lei 8.078/90) e objetivos (produto e serviço, §§ 1o e 2o do artigo 3o da mesma lei) de tal relação, impondo-se à demanda sob exame os preceitos do Código de Defesa do Consumidor.

Tratando-se de relação de consumo, frente à verossimilhança das alegações e a hipossuficiência da reclamante, pessoa física, é cabível a inversão do ônus da prova, a teor do art. 6º, VIII, do CDC, não tendo a ré, se desincumbido de provar fatos extintivos, modificativos ou impeditivos do direito da autora.

Cabe notar que, a ré não logrou êxito em demonstrar a inexistência de falha na prestação do serviço, uma vez que, juntou documentos produzidos de forma unilateral, incapazes de elidir as alegações da consumidora hipossuficiente, ou excluir sua responsabilidade objetiva, por evidente defeito na prestação de serviço, em conformidade com o disposto no § 3º do art. 14, da Lei 8.078/90, ou mesmo, na forma do art. 373, II, do CPC, à sua peça de defesa, ônus que lhe competia.

A reclamada não comprovou ter prestado o serviço de maneira efetiva e adequada, tampouco demonstrou a legitimidade em cancelar a prestação dos serviços objeto da lide, de forma unilateral.

 Na mensuração do dano moral, deve o magistrado se orientar pelos critérios de razoabilidade e proporcionalidade, não se olvidando de observar a ausência de gravidade maior no evento, motivo por que, fixo o dano imaterial no valor de R$ 2.000,00 (dois mil reais).

Pelo exposto, JULGO PARCIALMENTE PROCEDENTE O PEDIDO, para CONDENAR a ré: 1) a pagar à parte autora a quantia de R$ 2.000,00 (dois mil reais) pelos danos morais causados, com juros de 1% (um por cento) ao mês, contados da citação, e correção monetária, contados a partir da data da leitura de sentença. Dou pela extinção do processo com resolução do mérito, na forma do artigo 487, I, do Código de Processo Civil. 
Deverá a ré efetuar o pagamento do montante da condenação no prazo de 15 dias, após o trânsito em julgado, sob pena de multa de 10% (dez por cento) sobre o valor, independentemente de intimação, nos moldes do art. 523, §1º, do CPC.

Sem ônus de sucumbência em razão do disposto no artigo 55 da Lei nº 9.099/95.

Projeto de sentença sujeito à homologação pela MM. Juíza de Direito, com base no art. 40 da Lei nº 9099/95.

Rio de Janeiro, 15 de junho de 2016.


GUILHERME DE OLIVEIRA PIMENTEL
JUIZ LEIGO";00040824518674666E94A1B0FD4921E114A4C50507351F55;['2016.001.068168-5']
8;2016.001.359687-5;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00040824518674666E94A1B0FD4921E114A4C50507351F55;['2016.001.068168-5']
9;2016.001.359687-5;"946    VI - JUIZADO ESPECIAL CÍVEL DA GÁVEA\nProc. Nº...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004691DB6E44F4F42F27921413589F68747C5050734335E;['2016.001.062870-1']
