;processo;sentenca;similar_file;similar_processo
0;2016.021.043857-9;"Dispensado o relatório, passo a decidir.

Inicialmente, retifique-se o pólo passivo, conforme requerido na defesa.
Alega a parte Autora que vem sendo sempre descontado em seu contracheque de parcela no valor de R$ 265,00, sendo dívida impagável. Tal situação perdura por anos, sendo o desconto ilegal, pois o Autor jamais deu causa ou autorizou. Ao manter contato com a Ré, foi informado que era referente a cartão de crédito.
Rejeito a preliminar de inépcia, pois diversamente do alegado, há a especificação do valor que pretende o Autor o ressarcimento.
Quanto à segunda preliminar, tem-se que o direito de acesso ao poder Judiciário é garantia Constitucional, não sendo requisito o prévio pleito administrativo.
No mérito, tem-se que a parte Ré demonstrou a origem dos descontos havidos na folha de pagamento do Suplicante, o qual teria celebrado contrato com de cartão de crédito consignado junto ao Banco Cruzeiro do Sul, sendo que o débito fora transferido para o Réu.    
Em razão  do referido contrato, é descontado um valor mínimo na folha de pagamento, no caso do Autor R$ 265,00, havendo a opção de quitação do saldo por de forma complementar por fatura ou o seu refinanciamento.
Diante da ausência de quitação integral do saldo, incidem os encargos, fazendo a dívida perdurar por anos.
Corroborando a sua tese defensiva, o Réu apresentou às fls. 115/121, cópia do contrato celebrado em 2011, em que consta a margem de R$ 265,00 e faturas.
Nesse sentido, restou delineado que os débitos havidos são legítimos, inexistido conduta abusiva ou ilegal  por parte da Ré. 
Face  ao  exposto,  JULGO  IMPROCEDENTE  o  pedido.
   Sem custas e sem honorários.  P.R.I.";000483478A7B3636AEAAFF731F25DB6E974EC505412B0104;2016.021.037750-5
1;2016.021.043857-9;"15486    \tDispensado o relatório na forma do artigo 38...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00043250F45A36C69EA91E7C7F53B4B3ACA5C506030B0D47;2016.063.012703-0
2;2016.021.043857-9;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito dê-se baixa e arquive-se.";00043250F45A36C69EA91E7C7F53B4B3ACA5C506030B0D47;2016.063.012703-0
3;2016.021.043857-9;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
17º JUIZADO ESPECIAL CÍVEL

PROCESSO: 21402-49.2016.8.19.0204
AUTOR: DANIELLE AMARAL DA MATA  
RÉU: BANCO PANAMERICANO

PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir. 

Reclama a autora que é servidora do Estado e vem recebendo em seu contracheque desconto do réu referente a cartão de credito não autorizado; que a clausula que autoriza a consignação é abusiva; que os descontos não tem previsão de término; que não consegue cancelar administrativamente o bloqueio da margem. Requer suspensão dos descontos de Cartão no contra-cheque; que  a ré se abstenha de negativar; cancelamento do cartão; devolução dos valores debitados; indenização por danos morais.

Em Contestação o  réu suscita preliminar de Inepcia da inicial por não discriminar os valores. No mérito, que a autora contratou cartão de credito consignado e realizou empréstimo através de telesaque em 2012 a ser pago em 60 parcelas de R$ 135,22; que pretende se escusar do pagamento; que não tentou solução administrativa; inexistência de dano moral.

Rejeito a preliminar de inépcia tendo planilha as fls.24. 

O réu  não traz aos autos o contrato pactuado com a autora de forma a comprovar a regularidade do cartão de credito que vem cobrando da autora no contracheque; também não comprova que a autora solicitou e recebeu o valor do saque alegado, juntando apenas informações acerca do suposto saque as fls.216, sem cunho probatório. As faturas juntadas pela ré não possuem consumo.

 Desta forma, indevidos em descontos, realizados nos contracheques desde abril/2012 e comprovado as fls.25/103, devendo ser cancelados e os valores debitados, comprovados e liquidado nos autos as fls.24, restituídos no valor de R$ 6.795,01.
 
A autora não comprova a repercussão e os danos que os fatos narrados tenha  lhe causado, não sendo o fato, gerador de dano moral. Para a configuração de dano moral, necessário se faz que haja relato do fato danoso e das suas repercussões na vida do ofendido,  o que não foi comprovado, razão pela qual se tem a improcedência do pedido de indenização por danos morais. 

Pelo exposto, JULGO PROCEDENTE EM PARTE os pedidos, forma do art. 487 NCPC, para: 1-Condenar o  réu a restituir a autora a quantia de R$ 6.795,01, a titulo de danos materiais, corrigidos desde o desembolso e juros de 1% ao mês a contar da citação. 2- Determinar que o  réu  se abstenha de efetuar descontos em folha de pagamento da autora referente a cartão de credito, no prazo de 10 dias, sob pena de multa pelo valor em triplo do que for descontado. 3- Determinar que o réu cancele o cartão de credito da autora, no prazo de 10 dias. IMPROCEDENTE o pedido de indenização por danos morais.  Sem custas e honorários, nos termos do art. 55 da Lei 9099/95. Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.

Rio de Janeiro, 11 de Novembro  de 2016.

ANA QUEZIA PEREIRA DE FREITAS - JUIZA LEIGA";00044A427911764BEA9D5EB76525B294D851C5054843365F;2016.204.021270-3
4;2016.021.043857-9;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;00044A427911764BEA9D5EB76525B294D851C5054843365F;2016.204.021270-3
5;2016.021.043857-9;Projeto em Revisão;00046FCBFF53921A6E26B6A899F7BA15FDE8C505330D4D32;2016.204.020279-5
6;2016.021.043857-9;"
Dispenso o relatório na forma do permitido pelo art. 38 da Lei nº. 9.099/95.
 
Afirma o autor que vem sofrendo descontos em seu contracheques referente à cartão de crédito o qual desconhece. Requer a reparação dos danos morais e materiais.. 

Em contestação o réu afirma serem os valores referentes à utilização regular do cartão de crédito.

Relação de consumo.

Autor confessa ter contraído empréstimo consignado, lançado como saque no cartão de crédito, mas não informa sequer o valor de tal empréstimo. 

Os descontos vem ocorrendo em seu contracheque desde o ano de 2012.

O réu também não comprova que o autor tinha ciência da natureza da contratação e não indica o valor creditado em favor do autor.

Questão meramente patrimonial, inexistindo danos morais a serem reparados. 

Isto posto, julgo procedente, em parte, os pedidos para condenar a ré a promover o cancelamento do cartão, dos débitos e dos descontos objeto da lide, impondo ao réu multa de R$ 200,00 (duzentos reais) por cobrança indevida.

Julgo improcedentes os demais pedidos exordiais. 

Sem custas e honorários, na forma da Lei nº. 9.099/95. Submeto o Projeto de sentença à homologação.


Rio de Janeiro, 02 de setembro de 2016

MAGNUM MAGALHÃES PINTO DA SILVA";00046FCBFF53921A6E26B6A899F7BA15FDE8C505330D4D32;2016.204.020279-5
7;2016.021.043857-9;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;00046FCBFF53921A6E26B6A899F7BA15FDE8C505330D4D32;2016.204.020279-5
8;2016.021.043857-9;"16605    Processo nº: 0035209-27.2016.8.19.0208\nParte ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00043AF3A95399D10AD959D59AFFB5595EB4C506100C214C;2016.208.034782-6
9;2016.021.043857-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;00043AF3A95399D10AD959D59AFFB5595EB4C506100C214C;2016.208.034782-6
