;processo;sentenca;similar_file;similar_processo
0;2016.001.261717-2;"Em  03  de  maio  de  2016,  às    11h41min  na  Sala  de  Audiências  deste  Juizado,  onde 
presente se encontrava a Drº. MARCELO MENAGED, abriu-se a Audiência de Conciliação, Instrução e 
Julgamento  designada  nestes  autos.  Ao  pregão  compareceram  as  partes  acompanhadas  dos  seus 
ilustres patronos. Renovada a proposta de conciliação a mesma restou aceita nos seguintes termos da 
Proposta do Juizo: 
I-  A  ré  se  compromete  a  pagar  a  parte  autora  o  valor  de  R$  1.600,00  (hum  mil    e  seiscentos  reais), 
através de depósito em conta corrente do patrono do autor Ananias de Carvalho Arrais, Banco do Brasil 
conta  corrente  nº  110494-2,  agência  0329-8,  portador  do  CPF  sob  o  nº  422.632.393-91,nascido  dia 
05.02.1972  no  prazo  de  20  dias  úteis,  sob  pena  de  multa  de  30%  (trinta)  por  cento,  pelo 
descumprimento. FICA DEFERIDO O LEVANTAMENTO DA IMPORTANCIA ATRAVES DE MANDADO 
DE PAGAMENTO, APÓS COMPROVADO O DEPOSITO, INDEPENDENTEMENTE DE CONCLUSÃO.     
 
II a ré se compromete a cancelar o contrato vinculado a conta de nº 201486466, bem como os débitos a 
ela vinculados e a baixa dos cadastros restritivos, cajo haja, pelo memo prazo acima mencionado. 
Pelo exposto, HOMOLOGO O ACORDO firmado pelas partes e julgo extinto o processo com resolução do mérito. P.R.I.C 
";00049E47C539F86A40126F0A19607DBA122DC50505031234;['2016.021.001854-2']
1;2016.001.261717-2;"     Tendo em   vista que  houve  acordo entre  as  partes , JULGO  EXTINTO COM  RESOLUÇÃO DO MÉRITO, na forma do artigo  487, III,  alínea  b ,  do CPC.


 Sem custas. Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";000461CC93E813D515E847B2BE9D508DEF98C50505562127;['2016.021.002066-4']
2;2016.001.261717-2;"     Tendo em   vista que  houve  acordo entre  as  partes , JULGO  EXTINTO COM  RESOLUÇÃO DO MÉRITO, na forma do artigo  487, III,  alínea  b ,  do CPC.


 Sem custas. Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";000494AD064C3EE2D88E22F6F13C363129A8C5052D4B244F;['2016.021.028527-1']
3;2016.001.261717-2;"10910    Processo: 0030713-31.2016.8.19.0021 \nAutor: J...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000471DD4B8C8600337C0EFCC5D25CEADB32C5053A053F16;['2016.021.030045-4']
4;2016.001.261717-2;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;000471DD4B8C8600337C0EFCC5D25CEADB32C5053A053F16;['2016.021.030045-4']
5;2016.001.261717-2;"Dispensado o relatório, na forma da lei. Impugna a parte autora ligações supostamente efetuadas de linha telefônica, instalada em sua residência, para o número (17) 7878-3339, inseridas na fatura de 11/02/2016, no valor de R$ 104,86 (fl. 18), e na fatura de 11/03/2016, no valor de R$ 74,03 (fl. 20). Afigura-se extremamente difícil, até impossível, para o consumidor, comprovar que não efetuou esta ou aquela ligação. Por outro lado, à ré tal prova afigura-se de fácil obtenção, mas nada trouxe aos autos, limitando-se a argumentar a regularidade da cobrança. Não demonstrando a ré a regular origem das ligações na linha telefônica da parte autora, devem ser canceladas as cobranças a elas respectivas e devolvido ao autor o valor pago, que deverá se dar de forma simples, já que a cobrança se deu, a princípio, amparada por contrato. Em audiência foi esclarecido pelo autor já ter ocorrido o restabelecimento do serviço, mas de todos os fatos relatados não se extrai dano moral. Isto porque as cobranças que deram azo ao bloqueio da linha telefônica não se restringiram àquelas impugnadas. Veja-se. 
Leitura atenta das faturas anexadas deixa certa a existência de débitos outros, por faturas anteriores, igualmente não satisfeitas pelo consumidor. Veja-se não ter sido apresentada a fatura de novembro/2015 e, analisada aquela de fl. 14, se observa a celebração de acordo referente a este mês. De todas as faturas posteriores consta a indicação de débitos pretéritos, não satisfeitos (fls. 15, 17, 19, 21, 23).
Os débitos - tanto aqueles impugnados quanto os de fato devidos - foram parcelados (fls. 25, 26, 27), e acrescenta o autor inconformismo agora referente à ausência de desbloqueio quando do pagamento da primeira parcela acordada, no que não lhe assiste razão, cabível a exigência do pagamento integral para o desbloqueio.

Isto posto, RESOLVE-SE O MÉRITO, na forma do artigo 487, I, do NCPC, julgando-se:
(a) PROCEDENTE o pedido de restabelecimento da linha, já satisfeito, e PARCIALMENTE PROCEDENTE o pedido de ressarcimento por danos materiais, CONDENADA a parte ré a pagar à parte autora o valor de R$ 178,79, de forma simples, fluindo a correção monetária a contar de cada pagamento e à proporção, além de juros de mora de 1% ao mês a partir da citação; e
(b) IMPROCEDENTE o pedido de reparação por danos morais.

Ausentes despesas processuais ou honorários, descabidos nesta fase. P.R.I., cientificadas as partes acerca das regras do artigo 523 e parágrafos. Após certificado o trânsito em julgado, dê-se baixa e arquive-se.";0004A7559ED4F3CD28B7DF89294F38BD22BBC50541502A26;['2016.021.038973-8']
6;2016.001.261717-2;"Dispensado o relatório nos termos do art. 38, da Lei 9.099/95.
HOMOLOGO, para que produza seus jurídicos e legais efeitos, o acordo estabelecido pelas partes. Por conseguinte JULGO EXTINTO o presente processo, com julgamento do mérito, na forma do art. 487, III, ""b"" do NCPC.
Sem custas ou honorários. 
Em havendo depósito do valor acordado expeça-se mandado de pagamento.
Após o trânsito em julgado, cumpridas todas as formalidades legais, dê-se baixa e arquivem-se. 
P.I.";000421EEC0B3D8233D7CD47C7CAB91A70CBEC50509580312;['2016.063.002019-3']
7;2016.001.261717-2;"1734    \t\tDispensado o relatório na forma do artigo ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004CE1998439A22A5D8BB81B2CB787368CBC50464291F33;['2016.001.042471-8']
8;2016.001.261717-2;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004CE1998439A22A5D8BB81B2CB787368CBC50464291F33;['2016.001.042471-8']
9;2016.001.261717-2;"HOMOLOGO, por sentença, o acordo celebrado entre as partes, para que produza seus jurídicos e legais efeitos. Assim sendo, JULGO EXTINTO O PROCESSO, com resolução de mérito, com fundamento no artigo 487, inciso III, alínea b, do CPC. Retiro de pauta a audiência anteriormente designada. 

Sem custas. 

REGISTRE-SE. 

Após, dê-se baixa e arquive-se.";0004775309B6C14C385194128D5DDE910985C50502175146;['2016.001.048841-1']
