;processo;sentenca;similar_file;similar_processo
0;2016.021.057359-8;"2400    PROJETO DE SENTENÇA\n\nAinda que dispensado o ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004EE5224A16E995C5215270D4F3E035B83C505193D314D;['2016.001.143454-9']
1;2016.021.057359-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004EE5224A16E995C5215270D4F3E035B83C505193D314D;['2016.001.143454-9']
2;2016.021.057359-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";00049750205A4218F470854431C27503D991C505511C1064;['2016.001.271654-0']
3;2016.021.057359-8;"13535    Dispensado o relatório, na forma do art. 38, d...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00049750205A4218F470854431C27503D991C505511C1064;['2016.001.271654-0']
4;2016.021.057359-8;"15617    ESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\nVI...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004F45D6901669680654A531D1BEA7A42A0C506032D3F14;['2016.001.310708-6']
5;2016.021.057359-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004F45D6901669680654A531D1BEA7A42A0C506032D3F14;['2016.001.310708-6']
6;2016.021.057359-8;"14826    \nESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\n...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004D7B753A1A30019EF263D1FA99AFA9A21C50561015933;['2016.001.354147-3']
7;2016.021.057359-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 


Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004D7B753A1A30019EF263D1FA99AFA9A21C50561015933;['2016.001.354147-3']
8;2016.021.057359-8;"Dispensado o relatório, nos termos do art. 38 da Lei 9.099/99, passo a decidir.

Trata-se de demanda em que a parte autora alega fraude no uso do seu cartão de crédito. Narra que se dirigiu ao segundo réu onde foi constatado que o cartão havia sido clonado, razão pela qual foi realizado o seu cancelamento e efetuado o ressarcido parcialmente o valor. Aduz que no mês seguinte novas cobranças não reconhecidas constavam na fatura, contudo, não conseguiu solucionar administrativamente o problema. Diante disso, requer indenização por danos materiais e morais. 

Em contestações, as rés suscitam preliminares de ilegitimidade passiva, no mérito, impugnam as alegações da parte autora. Requerem o acolhimento das preliminares, no mérito, a improcedência do pedido.
 
Rejeito a preliminar de Ilegitimidade Passiva, adotando-se, pois, a teoria da asserção, na qual as condições da ação são analisadas a partir dos fatos apresentados pela parte autora, motivo pelo qual, em superficial análise dos fatos, no vertente caso, não se vislumbra, na espécie, qualquer ilegitimidade da requerida para figurar no polo passivo da presente demanda, transferido ao exame do mérito qualquer analise minuciosa.

Presentes os requisitos objetivos, a saber, produto ou serviço, e subjetivos, quais sejam, fornecedor e consumidor, artigo 2° e 3°, da Lei 8078/90, aptos a caracterizar a relação de consumo, de modo que a questão deve ser tratada à luz do Código de Defesa do Consumidor (CDC).
 
A responsabilidade discutida é contratual e objetiva se ficar comprovado que a parte autora sofreu o dano e há nexo causal com a conduta da ré, sem precisar se ater à ocorrência de culpa por parte do causador na espécie. 
Ocorre que, em que pesem as alegações autorais e as faturas acostadas, entendo que não há provas suficiente para condenar as rés. A parte autora deixou de juntar os comprovantes de pagamento das faturas, sendo certo que a informação ""débito automático"", por si só não comprova o respectivo pagamento, também não restou comprovado o alegado ressarcimento parcial, provas que dariam verossimilhança aos fatos narrados. 

Portanto, com fundamento no  AVISO TJ nº 80/2014 de 02.10.2014 em que a Desembargadora Leila Mariano através do Regimento Interno, avisou que, realizado no Centro de Estudos e Debates do Tribunal de Justiça em 29/09/2014 na sala de sessões do Tribunal Pleno, chegaram a seguinte conclusão: Os princípios facilitadores da defesa do consumidor em juízo, notadamente o da inversão do ônus da prova, não exoneram o autor do ônus de fazer, a seu encargo, prova mínima do fato constitutivo do alegado direito. Justificativa: Visa esclarecer que a prova que o consumidor deve fazer é a mínima. Isso porque, em que pese ser presumidamente vulnerável, não há como se afastar a necessidade de produzir prova mínima quanto aos fatos que precedentes. AgRg no REsp 1335475/RJ, Rel. Ministro LUIS FELIPE SALOMÃO, QUARTA TURMA, julgado em 23/10/2012, DJe 06/11/2012
Diante do exposto, na forma do art. 269, inciso I, do CPC, JULGO IMPROCEDENTE o pedido. 

Sem custas nem honorários advocatícios nos termos do art. 55 da Lei 9.099/95. 

Futuras publicações conforme peça de defesa.

Rio de Janeiro, março de 2017

Submeto o projeto de sentença para homologação pelo MM. Juiz de Direito.";0004D13CF581DC8ED356F75670E66A8C5DE9C50606535A57;['2016.001.359661-9']
9;2016.021.057359-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004D13CF581DC8ED356F75670E66A8C5DE9C50606535A57;['2016.001.359661-9']
10;2016.021.057359-8;"A sentença embargada não apresenta obscuridade, contradição, omissão ou dúvida (artigo 48, da Lei 9099/95). Nela se apresentam consignados, com a devida fundamentação, os motivos que conduziram o julgador à decisão guerreada. Em verdade, o que pretende o embargante é alterar a decisão embargada, o que deve ser feito pela via adequada, uma vez que não cabe nova análise das provas acostadas aos autos em sede de embargos de declaração.

Assim, conheço os embargos e não lhes dou provimento.

P.R.I.";0004D13CF581DC8ED356F75670E66A8C5DE9C50606535A57;['2016.001.359661-9']
