;processo;sentenca;similar_file;similar_processo
0;2016.204.027873-8;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004FF2B432423B7EF0B6EEA18C51AE5F401C5060220131C;['2016.208.031528-0']
1;2016.204.027873-8;"16258    Processo nº: 0031904-35.2016.8.19.0208 \nParte...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004FF2B432423B7EF0B6EEA18C51AE5F401C5060220131C;['2016.208.031528-0']
2;2016.204.027873-8;"15609    ESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\nVI...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004A63548C64B2A5BD014B689080A7C13A1C50557624436;['2016.001.288196-3']
3;2016.204.027873-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004A63548C64B2A5BD014B689080A7C13A1C50557624436;['2016.001.288196-3']
4;2016.204.027873-8;"4645    Processo nº: 0006247-91.2015.8.19.0208\nParte ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004CC2872D4228695D6AE536CB436C1FA2CC5050F545105;['2016.208.006174-8']
5;2016.204.027873-8;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Após, certificado o trânsito em julgado, dê-se baixa e arquive-se.;0004CC2872D4228695D6AE536CB436C1FA2CC5050F545105;['2016.208.006174-8']
6;2016.204.027873-8;"1) Fls. 213- Embargos de declaração tempestivos que são rejeitados porque inexistem os vícios previstos no art.565 do CPC na sentença alvejada, que deve permanecer tal como foi lançada e o inconformismo da parte embargante deve ser manifestada pela via recursal própria.

2) Fls. 205- Recebo o recurso no efeito devolutivo. Ao recorrido. Recebidas as contrarrazões, ou decorrido o prazo legal sem elas, ao E. Conselho Recursal, com nossas homenagens.";0004CC2872D4228695D6AE536CB436C1FA2CC5050F545105;['2016.208.006174-8']
7;2016.204.027873-8;"11289    PROCESSO Nº 0057354-56.2016.8.19.0021\n \nAUTO...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00041CAA3A8BA4B0DCAAB21896DC119AFD76C50556271F07;['2016.021.056418-4']
8;2016.204.027873-8;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;00041CAA3A8BA4B0DCAAB21896DC119AFD76C50556271F07;['2016.021.056418-4']
9;2016.204.027873-8;"16758    Dispensado o relatório na forma do artigo 38 d...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004A044081A447AFBC35726B326DBCB8DBDC506070C5963;['2016.063.014923-2']
10;2016.204.027873-8;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.";0004A044081A447AFBC35726B326DBCB8DBDC506070C5963;['2016.063.014923-2']
11;2016.204.027873-8;"15219    Processo :0039881-90.2016.8.19.0204\n\nAutor: ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000425DA99E3EEA592986A56142638206D8EC5060D1D1F23;['2016.204.039101-4']
12;2016.204.027873-8;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos,  expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;000425DA99E3EEA592986A56142638206D8EC5060D1D1F23;['2016.204.039101-4']
13;2016.204.027873-8;"Processo :0039881-90.2016.8.19.0204

Autor: ANTONIO CARLOS DE OLIVEIRA

Réu: BANCO ITAÚ UNIBANCO

			
			PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9.099/95.

A parte autora alega, em síntese, que está sendo descontado de sua conta corrente o valor de R$ 200,11 referente a empréstimo não contratado.Requer a abstenção dos descontos, cancelamento do contrato, danos materiais e morais.
Em contestação a ré suscita a preliminar de incompetência do Juizado por necessidade de prova pericial. No mérito sustenta que o empréstimo foi contratado através do cartão magnético do autor, que é de uso pessoal e intransferível, inexistindo indício de fraude em sua utilização, uma vez que os empréstimos só podem ser realizados com a utilização da senha secreta. Rechaçou os danos morais e pediu a improcedência do pedido sustentando que o empréstimo foi contratado pelo autor e que foi utilizado o valor do empréstimo creditado em sua conta.
A preliminar de necessidade de perícia técnica suscitada pela ré não merece prosperar porque o espírito da Lei 9099/95 ao vedar a prova pericial no âmbito dos Juizados Especiais Cíveis foi de, primeiro, conferir a celeridade legitimamente esperada de um procedimento especial e, segundo, afirmá-la não como uma regra de conveniência das partes - leia-se defesa -, mas de ratificar que o processo deverá ser extinto sem o julgamento de mérito pela necessidade de sua feitura quando houver necessidade e essencialidade (único meio em tese) para o deslinde da questão; caso contrário, haveria limitação ao acesso à justiça constitucionalmente assegurado; no caso concreto, existem inúmeros meios probatórios aptos a comprovação das alegações. 
	Em depoimento informal, prestado na audiência de instrução e julgamento, o autor afirmou que foi induzido a erro pelo réu e utilizou o valor do empréstimo creditado em sua conta para pagar despesas. Fato objetivo é que não se pode exigir do autor a comprovação de que não contratou o empréstimo (fato negativo), dita por Caio Mario como a prova diabólica. 
Trata-se de relação de consumo travada entre a instituição ré, fornecedora de serviços bancários, e o autor, destinatário final destes serviços, devendo ser aplicados os princípios e normas cogentes insertas no Código de Defesa do Consumidor.     O serviço não é infalível, mas o banco deve arcar com a responsabilidade pelos danos ocorridos aos clientes quando verificada falha, em razão da teoria do risco do empreendimento. 
Resta evidente, diante das provas coligidas, a falha na prestação do serviço, cabendo ao réu comprovar a contratação do empréstimo e responsabilizar-se pelos prejuízos causados ao autor. O valor foi efetivamente creditado na conta bancária do autor, que o utilizou para pagamento de despesas e para reduzir o valor da cobrança das tarifas bancárias, assim o valor pago pelo autor deve ser compensado com o valor creditado pelo réu. 
	Inexistente, outrossim, o dano moral compensatório, uma vez que se trata de questão afeta ao interesse patrimonial e sem qualquer repercussão no anímico da autora ou causa geratriz do dano extrapatrimonial. 

Isto posto, TORNO DEFINITIVOS OS EFEITOS DA TUTELA DEFERIDA EM FLS.29 E JULGO PROCEDENTE em parte os pedidos para CONDENAR a ré a cancelar o contrato objeto da demanda. Julgo improcedente o pedido de danos materiais e morais.

Com isto, Julgo extinto o processo com julgamento de mérito, nos termos do artigo 487,I, CPC.
Nos termos do enunciado 13.9.1, devera o réu efetivar o pagamento da quantia acima no prazo de 15 dias a contar do transito em julgado sob pena de multa do artigo 523, § 1º NCPC, independentemente de nova intimação.
Sem custas e honorários de sucumbência, nos termos do art. 55 da Lei 9.0099/95.
Submeto a apreciação do MM. Juiz de Direito conforme artigo 40 da Lei 9.099/ 95. Rio de Janeiro, 28 de março de 2017. Juliana de Mattos Braga ¿ juíza leiga


				
";000425DA99E3EEA592986A56142638206D8EC5060D1D1F23;['2016.204.039101-4']
14;2016.204.027873-8;"8909    Dispensado o relatório na forma do artigo 38 d...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000442B5673BC6C185576100207078FBBFA5C50533140626;['2016.063.007711-7']
15;2016.204.027873-8;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.";000442B5673BC6C185576100207078FBBFA5C50533140626;['2016.063.007711-7']
16;2016.204.027873-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004EB4AB2876100492E460AC38EE19DAD17C50545184134;['2016.001.252469-8']
17;2016.204.027873-8;"PROJETO DE SENTENÇA

Ainda que seja dispensado o relatório, na forma do artigo 38 da lei 9.009/95, faz-se um breve resumo. Após, passo a decidir.
Trata-se de ação de obrigação de fazer c/c reparação por danos materiais c/c compensação por danos morais proposta por RITA APARECIDA NEVES em face de ITAU UNIBANCO S.A., em que alega ter havido descontos indevidos em sua conta corrente.

A ré, em sua contestação, aduz a preliminar de incompetência pela necessidade de perícia e, no mérito, o fato exclusivo da parte autora.

Inicialmente, acolho a preliminar de incompetência do Juizado Especial Cível pela necessidade de perícia, na medida em que o laudo de fls. 119-125, que diz respeito a transação realizada por meio de cartão de chip e digitação de senha foi confeccionado pelo banco. Tendo em vista que a autora aduz que nunca realizou transações por meio de caixa eletrônico, e que todos os valores contratados a título de empréstimo consignado foram retirados da conta da parte autora, não há como se saber, sem um laudo elaborado de forma imparcial e isenta, se as referidas movimentações foram feitas pela autora ou por pessoa diversa.
 
Considerando a impossibilidade de realização de prova pericial em sede de Juizado Especial, é este Juízo incompetente.

Posto isso, julgo EXTINTO o feito sem apreciação do mérito, nos termos do artigo 51, inciso II da Lei 9099/95.

Isento dos ônus sucumbências, na forma do art. 55 da lei 9.099/95. Submeto este Projeto de Sentença ao Juiz Togado, na forma do que dispõe o art. 40 da lei 9.099/95.

Rio de Janeiro, 30 de outubro de 2016.

Janayme Vieira de Moraes
Juíza Leiga";0004EB4AB2876100492E460AC38EE19DAD17C50545184134;['2016.001.252469-8']
18;2016.204.027873-8;"9123    \nESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\n...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004014D70E8C99B18E4009B4F5043064251C5054912541F;['2016.001.261933-8']
19;2016.204.027873-8;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004014D70E8C99B18E4009B4F5043064251C5054912541F;['2016.001.261933-8']
20;2016.204.027873-8;"7280    Processo :0025654-95.2016.8.19.0204\n\nAutor: ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00043D0E714BB23F49CA2E800F2328298349C505435E0627;['2016.204.025469-2']
21;2016.204.027873-8;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;00043D0E714BB23F49CA2E800F2328298349C505435E0627;['2016.204.025469-2']
22;2016.204.027873-8;"8978    Processo :0025654-95.2016.8.19.0204\n\nAutor: ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00043D0E714BB23F49CA2E800F2328298349C505435E0627;['2016.204.025469-2']
