;processo;sentenca;similar_file;similar_processo
0;2016.001.325314-5;"Aos 24 dias do mês de novembro de 2016, às 14h05, na sala de audiências deste Juizado, perante a MM. Dra. Juíza Direito CLÁUDIA WIDER.   Feito o pregão, responderam as partes, acompanhados de seus patronos.

Proposta a conciliação, esta foi aceita mediante os seguintes termos:
1-	A Ré pagará R$ 3.200,00 ao Autor José Roberto Ferreira de Oliveira,  CPF 830 155 667 68 , mediante ID depósito, no prazo de até quinze dias úteis , sob pena de multa de 30%; 
2-	A Ré cancelará todas as linhas objeto da lide  em nome do autor, bem como os débitos vinculados a elas, no prazo de até quinze dias úteis, sob pena de multa a ser arbitrada pelo Juízo;
3-	Com o presente acordo, as partes se dão plena e rasa quitação quanto aos fatos alegados. 
   
Pela MM Dra Juíza foi prolatada a seguinte sentença:

HOMOLOGO o acordo celebrado pelas partes para que surta os seus jurídicos e legais efeitos, JULGANDO EXTINTO O FEITO, COM ANÁLISE DO MÉRITO.
Pelas partes foi dito que renunciavam ao prazo recursal, o que restou homologado pelo Juízo. Publicada em audiência ficam desde logo intimados os presentes. COM A VINDA DO DEPÓSITO, EXPEÇA-SE MANDADO DE PAGAMENTO. Registre-se. Após o trânsito em julgado, dê-se baixa e arquivem-se.  Em nada mais havendo. Eu, secretaria digitei. A audiência se deu por encerrada às 14h10.";000435C4ED072D33D504D9246DBB92615CCDC50551604E32;['2016.021.051323-1']
1;2016.001.325314-5;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, b do CPC.  Defiro, desde já, expedição de guia e de mandado de pagamento, se for o caso, independente de nova conclusão. Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;000434E45D6C057665D8885D02CFB1A210F8C50533091408;['2016.204.020315-5']
2;2016.001.325314-5;"Vistos, etc. Diante da ausência injustificada da parte autora na audiência de conciliação, embora devidamente intimada, JULGO EXTINTO O PROCESSO, SEM APRECIAÇÃO DO MÉRITO, com base no art. 51, I, da Lei 9.099/95. 
Isento  a   parte autora ao pagamento das custas processuais. 
Publicada   nas mãos da  Escrivã.
Defiro eventual desentranhamento requerido pelas  partes.
Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";00040FBC35340AC6EAD6DF43176C2828E47FC505125D0D19;['2016.021.011049-5']
3;2016.001.325314-5;"     Tendo em   vista que  houve  acordo entre  as  partes , JULGO  EXTINTO COM  RESOLUÇÃO DO MÉRITO, na forma do artigo  487, III,  alínea  b ,  do CPC.


 Sem custas. Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";0004A2500A7B7796334A8387596E1B801E1FC505302A350A;['2016.021.024915-1']
4;2016.001.325314-5;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, bdo CPC.  Defiro, desde já expedição  de guia e de  mandado de pagamento, se for o caso, independente de nova conclusão.  Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;00046BC749989E786B9F1F6A3863B0BEBA72C5050D0F4F55;['2016.204.010625-3']
5;2016.001.325314-5;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";00043E45821DC3FF7B98239A84C0E12D8C08C5054E59493C;['2016.208.023254-3']
6;2016.001.325314-5;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, bdo CPC.  Defiro, desde já expedição  de guia e de  mandado de pagamento, se for o caso, independente de nova conclusão.  Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;0004198BDA56366A7CF186065525E8D041D0C50507556210;['2016.204.008774-0']
7;2016.001.325314-5;"13379    Dispensado o relatório, na forma do art. 38, d...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004CCDD8EB3FCDD3BB64BB4E104C66713A8C5054E13032A;['2016.001.250267-8']
8;2016.001.325314-5;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004CCDD8EB3FCDD3BB64BB4E104C66713A8C5054E13032A;['2016.001.250267-8']
9;2016.001.325314-5;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, b do CPC.  Defiro, desde já, expedição de guia e de mandado de pagamento, se for o caso, independente de nova conclusão. Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;0004B44917475E9670D5EFB3CE5680B2EDDDC5052051344B;['2016.204.016251-7']
10;2016.001.325314-5;"3578    PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO\n...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00049103EA5B41FD971C6F0049BA8A06C20CC5050C60592F;['2016.021.006600-7']
11;2016.001.325314-5;Vistos etc. HOMOLOGO o PROJETO DE SENTENÇA proferido pelo DD. Juiz Leigo que me foi submetido, para que a mesma produza os seus jurídicos e legais efeitos, nos termos do artigo 4º, inciso III, da Resolução nº 08/2005, do Órgão Especial do TJ/RJ.  Sem custas judiciais, na forma da Lei nº 9.099/95. P.R.I. Certificado o trânsito em julgado, aguarde-se pronunciamento por 30 dias. Na inércia, dê-se baixa e arquive-se.;00049103EA5B41FD971C6F0049BA8A06C20CC5050C60592F;['2016.021.006600-7']
