;processo;sentenca;similar_file;similar_processo
0;2016.021.000179-7;"Homologo o acordo celebrado entre as partes para que surta seus jurídicos e legais efeitos, e julgo o feito extinto, com resolução do mérito, nos termos do art. 487, inc. III, b, do novo Código de Processo Civil ( Lei nº 13.105/ 2015). 

Se for o caso, comprovado o depósito, expeça-se mandado de pagamento em favor da parte autora, independentemente de nova conclusão.   Após, nada mais sendo requerido, dê-se baixa e arquivem-se. 


Decorrido o prazo do cumprimento o acordo, aguarde-se por cinco dias a manifestação das partes; não havendo manifestação,  dê-se baixa e arquive-se.";000414185B5801CAD939D1494D9A27342CB9C50564135143;['2016.001.195498-3']
1;2016.021.000179-7;A questão referente ao descumprimento da obrigação de fazer pela ré já foi decidida conforme decisão de fls. 191 e 217, sendo inclusive a obrigação de fazer convolada em perdas e danos. Logo, pretende o réu através da presente impugnaçaõ o reexame de matéria que já precluiu. Do exposto, julgo improcedente a impugnaçaõ à execução ante a inexistência de excesso de execução  e extingo a execução . Transitado em julgado, expeça-se mandado de pagamento em favor do autor. Após, dê-se baixa e arquive-se.;000414185B5801CAD939D1494D9A27342CB9C50564135143;['2016.001.195498-3']
2;2016.021.000179-7;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";000405BB843ACC723A7C8AF149CC9109A1C9C5054C33631D;['2016.208.022555-1']
3;2016.021.000179-7;"	Vistos...

	Dispensado o relatório.

	Trata-se de reclamação onde a parte autora indenização por danos materiais e morais. 

	Aplica-se ao presente caso o Código de Defesa do Consumidor, uma vez que trata-se relação de consumo, eis que tanto o autor como a parte ré se caracterizam, respectivamente, como consumidor e fornecedora de serviços. 

	Rejeito a preliminar de ilegitimidade passiva de ambas as rés,  uma vez que, embora o serviço de esgotamento sanitário na área que abrange o bairro onde reside o autor é de responsabilidade da segunda ré, nas faturas emitidas, vemos que  as cobranças  são efetuadas em nome das  duas empresas, ora rés, havendo  portanto, responsabilidade solidária. 

	De igual forma rejeito a preliminar de  incompetência do Juízo, uma vez que desnecessária qualquer outra prova para o deslinde da questão. 

	No mérito, o pedido merece prosperar. 
	
	Alega a parte autora  que a calçada  de rua residência começou a apresentar  rachaduras e, logo depois, começou a afundar.  Contratou  pedreiro a fim de verificar a  origem do  problema, quando foi constatado vazamentos  nos  canos, de responsabilidade das requeridas.  Entrou em  contato com as rés a fim de solucionar o problema,  em vão.  

	As rés, por seu turno, alegam que não houve falha na prestação do serviço. 

	Todavia, o art.  14, § 3º CDC determina que  cabe ao fornecedor o dever de provar que prestou o serviço de maneira adequada e sem defeitos. Sua responsabilidade é objetiva, sendo seu o ônus de comprovar que prestou devidamente o serviço. 

	Ocorre que, no presente caso, a parte ré não comprovou a inexistência do defeito ou a presença de causa excludente do nexo de causalidade, sendo, outrossim, verossímeis as alegações autorais quanto à desconformidade na prestação do serviço, especialmente diante dos diversos protocolos de queixas informados na inicial e não impugnados pelo réu. 

	Ressalte-se que foi  oportunizado às rés, na forma do despacho de fls. 36, comparecerem ao local a fim de  verificarem o problema e elaborarem laudo   técnico, a fim de justificar  o não atendimento ao pleito autoral, todavia as mesmas quedaram-se inertes,  demonstrado  total  descaso   e desinteresse  em solucionar  a questão. 

	Assim merece acolhimento o pedido  autoral. 

	Com relação aos danos materiais, consistentes  em  mão de obra e materiais,  os mesmos seguem demonstrados através dos documentos de fls. 30/31

	O  dano moral também é  inconteste. 	

	Mais do que mero aborrecimento cotidiano, a conduta das rés, que deixou de prestar o serviço adequadamente, mesmo sendo reiteradamente contatada para solucionar o problema, é capaz de gerar angústia à parte autora, ante a frustração das suas legítimas expectativas. 

	A desídia das rés é tamanha que, mesmo   havendo determinação do Juízo   para que as mesmas  comparecessem a residência do autor a fim de verificar o problema, as mesmas nada fizeram. 

	Para fixação do dano moral, vejo que a quantia de R$ 4.000,00 é moderada e justa para minorar o dano sofrido, além de praticar o efeito pedagógico da pena, para se evitar que fatos desta natureza voltem a acontecer.  

	Isto posto, JULGO PROCEDENTE  O PEDIDO INICIAL,    para determinar que a rés procedam o reparo na  tubulação  descrita na inicial, a  fim de sanar  o vazamento da agua, no prazo de  cinco dias, sob pena de multa diária de R$ 50,00  bem como condenar as  rés, de forma solidária, a pagar ao autor, a título de dano material, a quantia de R$ 1.908,90, além de  pagar a quantia de R$ 4.000,00, a título de danos morais, tudo acrescido de juros de 1% ao mês  e correção monetária, a partir da citação, o que faço com base no art. 487,  I do NCPC. 

	Sem custas e sem honorários nesta fase.

	Após o trânsito em julgado, baixe-se e arquive-se";0004193A8E973096A0106C6C7DE700FFE1B7C504574D2B14;['2016.204.001551-0']
4;2016.021.000179-7;"12809    Processo nº: 0021945-40.2016.8.19.0208 \nParte...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004D51A6B16E8B70405A15E0518074AAD50C505493B3211;['2016.208.021687-2']
5;2016.021.000179-7;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004D51A6B16E8B70405A15E0518074AAD50C505493B3211;['2016.208.021687-2']
6;2016.021.000179-7;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";0004989BD4AAF78C285A999B305CEBDE7053C5053E591B18;['2016.208.019723-3']
7;2016.021.000179-7;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";00043DCA7393640A3B13B6982EB76149DB29C50515082323;['2016.208.000858-8']
8;2016.021.000179-7;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, b do CPC.  Defiro, desde já, expedição de guia e de mandado de pagamento, se for o caso, independente de nova conclusão. Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;0004DCA8E4849DEE158459B563AC6A73E3F3C50514541454;['2016.204.012778-5']
9;2016.021.000179-7;"2097    PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO\n...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004B796609C2D50452C25E9F64D3F6E3E9FC5050B63272D;['2016.204.010309-4']
