;processo;sentenca;similar_file;similar_processo
0;2016.204.027877-5;"Homologo o acordo celebrado entre as partes para que surta seus jurídicos e legais efeitos, e julgo o feito extinto, com resolução do mérito, nos termos do art. 487, inc. III, b, do novo Código de Processo Civil ( Lei nº 13.105/ 2015). 

Decorrido o prazo do cumprimento o acordo, aguarde-se por cinco dias a manifestação das partes; não havendo manifestação,  dê-se baixa e arquive-se.";00048875A2DF9048BE6BB85CF511C22ED61AC5050907612E;['2016.001.029599-2']
1;2016.204.027877-5;"Dispensado o relatório nos termos do art. 38, da lei 9.099/95.
Ante a ausência da parte autora a Audiência de Instrução e Julgamento, sendo que eventual justificativa apenas a isenta do pagamento das custas, JULGO EXTINTO O PROCESSO, SEM ANÁLISE DO MÉRITO, na forma do disposto no artigo 51, I da lei 9.099/95, ficando revogada eventual tutela antecipada concedida nos autos.
Condeno a parte autora ao pagamento das custas processuais. Ao contador para apuração das custas processuais, após intime-se para pagamento. 
Cumpridas as formalidades legais dê-se baixa e arquivem-se. 
P.I.	";0004ABFA128994AE53DBECCF388824CC8332C50515282A63;['2016.063.003330-8']
2;2016.204.027877-5;"12789    Processo : 0022608-86.2016.8.19.0208 \nAutora:...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000431CED2E0054695BA627BD31B73B0D5A4C5054B216149;['2016.208.022349-9']
3;2016.204.027877-5;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Após, certificado o trânsito em julgado, dê-se baixa e arquive-se.;000431CED2E0054695BA627BD31B73B0D5A4C5054B216149;['2016.208.022349-9']
4;2016.204.027877-5;"
PROJETO DE SENTENÇA


Dispenso o relatório na forma do permitido pelo art. 38 da Lei nº. 9.099/95.
 
Pretende o autor a reparação dos danos morais decorrentes do cancelamento de seu cartão de crédito sem justo motivo. 

Em contestação o réu alega que tentou solucionar o imbróglio administrativamente e que inexiste danos morais no caso posto à exame.

Relação de consumo. 

Analisando a peça de bloqueio ofertada pelo réu, percebe-se que o mesmo não nega o bloqueio imotivado do cartão de crédito do autor, razão pela qual têm-se que o fato é incontroverso. 

Destarte, não há dúvidas que o bloqueio, sem justo motivo, de cartão de crédito constituiu falha na prestação do serviço, na forma do art. 14 da Lei 8078/90.

Dano moral decorrente do constrangimento e angústia experimentados pelo autor. Atenta aos princípios da proporcionalidade e da razoabilidade, considerando ainda o aspecto punitivo da condenação, de especial relevância nas relações de consumo, fixo a indenização em R$ 1.500,00 (mil e quinhentos reais). 

Isto posto, JULGO PROCEDENTE EM PARTE o pedido para condenar o réu a pagar ao autor indenização por danos morais no valor de R$ 1.500,00 (mil e quinhentos reais), com correção monetária desde a data da sentença e juros de 1% ao mês a partir da citação. 

Sem custas e honorários, na forma da Lei nº. 9.099/95. Submeto o Projeto de sentença à homologação ...
Rio de Janeiro, 10 de maio de 2016.

MAGNUM MAGALHÃES PINTO DA SILVA";0004581BAE4F0E9E0FAA357012FD2B525157C505014B473B;['2016.204.006721-1']
5;2016.204.027877-5;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004581BAE4F0E9E0FAA357012FD2B525157C505014B473B;['2016.204.006721-1']
6;2016.204.027877-5;"Dispensado o relatório nos termos do art. 38, da Lei 9.099/95.
HOMOLOGO, para que produza seus jurídicos e legais efeitos, o acordo estabelecido pelas partes. Por conseguinte JULGO EXTINTO o presente processo, com julgamento do mérito, na forma do art. 487, III, ""b"" do NCPC.
Sem custas ou honorários. 
Em havendo depósito do valor acordado expeça-se mandado de pagamento.
Após o trânsito em julgado, cumpridas todas as formalidades legais, dê-se baixa e arquivem-se. 
P.I.";000489FCD38F39466413C6B847DE65AA428DC50528012E60;['2016.063.006042-7']
7;2016.204.027877-5;"     Tendo em   vista que  houve  acordo entre  as  partes , JULGO  EXTINTO COM  RESOLUÇÃO DO MÉRITO, na forma do artigo  487, III,  alínea  b ,  do CPC.


 Sem custas. Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";0004D6A226BA5440A5045C071924BFD3B77DC504645D073E;['2016.021.008966-4']
8;2016.204.027877-5;"633    Processo nº 0000171-51.2015.8.19.0208 \nParte ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000429272EABC0ECD3D16A6A6D09108C37C9C5050457410A;['2016.208.000171-5']
9;2016.204.027877-5;"
Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Após, certificado o trânsito em julgado, dê-se baixa e arquive-se.";000429272EABC0ECD3D16A6A6D09108C37C9C5050457410A;['2016.208.000171-5']
