;processo;sentenca;similar_file;similar_processo
0;2016.001.325314-5;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";000413B178697160FA39DC1879A0552791B7C505480C0521;['2016.208.021331-7']
1;2016.001.325314-5;"     Tendo em   vista que  houve  acordo entre  as  partes , JULGO  EXTINTO COM  RESOLUÇÃO DO MÉRITO, na forma do artigo  487, III,  alínea  b ,  do CPC.


 Sem custas. Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";00040635008945304F45CF9CC029FB95DBAEC505302F4755;['2016.021.034899-2']
2;2016.001.325314-5;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";00041BF39E9D6D0A800C2BB9AA792776FFC8C5051D092650;['2016.208.007872-4']
3;2016.001.325314-5;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, b do CPC.  Defiro, desde já, expedição de guia e de mandado de pagamento, se for o caso, independente de nova conclusão. Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;0004924B1F9CCF0F4918551B8B090BD0E6D9C505234C024B;['2016.204.016935-4']
4;2016.001.325314-5;"Dispensado o relatório na forma do artigo 38 da Lei 9.099/95, decido.
	Trata-se de ação indenizatória, pelo rito sumaríssimo, por meio da qual a parte autora requer a condenação do réu a compensar danos morais e materiais em razão de não ter sido garantido o direito de arrependimento, já que formulado pedido dentro do prazo de 7 dias previsto em lei. Em contestação, o réu afirma que não há prova do alegado. Requer a improcedência dos pedidos.
	Estando presentes as condições da ação e os pressupostos de constituição e de-senvolvimento regular do processo, passo a decidir o mérito. 
A relação de direito material havida entre as partes é de consumo, já que presentes os requisitos objetivos (art. 3º, §1º e 2º, da Lei 8.078/90) e subjetivos (arts. 2º e 3º, da Lei 8.078/90) de tal relação. Por essa razão, impõe-se a inteira aplicação do Código de Defesa do Consumidor, o qual positiva um núcleo de regras e princípios protetores dos direitos dos consumidores enquanto tais, prevendo inclusive a possibilidade de inversão do ônus da prova, o que ora se faz, na forma do artigo 6º, VIII, da Lei 8.078/90. 
Nessa esteira de raciocínio, a lei estabelece também que todo aquele que exerce atividade no campo de fornecimento de produtos e serviços tem o dever de responder objetivamente pelos danos decorrentes dessa prestação. 
No caso em tela verifica-se que o consumidor exerceu seu direito de arrependimento, previsto no artigo 49 do Código de Defesa do Consumidor, segundo o qual, adquirido um produto fora do estabelecimento comercial, o consumidor tem o prazo de 7 (sete) dias para se arrepender. 
	Desse modo, não importa qual o motivo desse arrependimento e nem se discute se o produto continha ou não vício, bastando o descontentamento do consumidor com o ser-viço por ele adquirido.
Os documentos trazidos pelo autor em sua petição inicial demonstram que esse direito foi exercido. O réu, contudo, não desfez o negócio, ensejando a cobrança indevida. Por conta disso, procede o pedido de restabelecimento do status quo ante.
No que tange ao pedido de compensação pelo dano moral, este também procede, pois além de não ter sido respeitado o direito de arrependimento do consumidor, este foi enganado, pois lhe foi garantido que valor seria restituído em tempo. Tais fatos causam, sem dúvida, um enorme sentimento de frustração. Além disso, verifico que estão presentes os requisitos necessários para que o lesado possa ter direito à reparação, quais sejam: a) que sofra dano injusto de caráter pessoal, moral ou patrimonial; b) que seja decorrente de fato de terceiro; c) que haja nexo causal entre o evento e a ação do terceiro.
Sem dúvidas, no caso em tela houve a conjugação dos três pressupostos acima mencionados. Assim, merece procedência o pedido no que tange o dano moral, pois, por se tratar de algo imaterial ou ideal, está ínsito na própria ofensa, de tal modo que, provado o fato danoso, ipso facto está demonstrado o dano moral.
Em face do exposto, torno definitiva a decisão que antecipou os efeitos da tutela e, noticiado o descumprimento, determino que a ré proceda a retirada do produto, em até 10 dias contados da data desiganda para leitura de sentença, sob pena de perda do produto e JULGO PROCEDENTE, em parte, O PEDIDO para a) condenar a ré a restituir ao autor o valor de R$ 722,83 (setecentos e vinte e dois reais e oitenta e três centavos), o qual deve ser corrigido monetariamente desde o desembolso e sofrer a incidência de juros a contar da citação; b) condenar a ré a pagar à parte autora a quantia de R$ 1.500,00 (mil e quinhentos reais) a título de compensação dos danos morais, quantia essa que deve ser corrigida monetariamente e acrescida de juros legais desde a data desta sentença.
Sem custas e honorários, na forma do art. 55 da Lei nº. 9.099/95.
Submeto o presente projeto à homologação pela MM. Juíza de Direito.";00041456E91E638D26ED5E55C68FCB85E793C50530351160;['2016.063.007676-9']
5;2016.001.325314-5;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.
Ficam as partes cientes de que os prazos perante o JEC continuam sendo contados em dias corridos, nos termos da nota técnica 01/2016 do FONAJE e do entendimento da Corregedora Nacional de Justiça, Ministra Nancy Andrighi.";00041456E91E638D26ED5E55C68FCB85E793C50530351160;['2016.063.007676-9']
6;2016.001.325314-5;"Dispensado o relatório, na forma do art. 38, da Lei 9.099/95. Decido. 
HOMOLOGO o projeto de sentença elaborado pelo Juiz Leigo, que passa a valer como fundamentação deste, com fulcro, na Lei Estadual nº 4578/05 e na Resolução nº 08/05 do E. Órgão Especial do TJRJ, e RESOLVE-SE o mérito, com base no art. 487, I, do NCPC. Sem custas e honorários. 
Publique-se. Aguarde-se a data designada para a leitura de sentença.
Após, certificado o trânsito em julgado e comprovado o depósito, no prazo devido, expeça-se mandado de pagamento, independente de nova conclusão. 
Nada mais havendo, dê-se baixa e arquive-se.
Ficam as partes cientes de que os prazos perante o JEC continuam sendo contados em dias corridos, nos termos da nota técnica 01/2016 do FONAJE e do entendimento da Corregedora Nacional de Justiça, Ministra Nancy Andrighi.";0004111C593E20B07C92A18A884B01B3D682C5052920075E;['2016.063.006360-0']
7;2016.001.325314-5;"7441    Dispensado o relatório na forma do artigo 38 d...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004111C593E20B07C92A18A884B01B3D682C5052920075E;['2016.063.006360-0']
8;2016.001.325314-5;"HOMOLOGO, por sentença, o acordo celebrado entre as partes, para que produza seus jurídicos e legais efeitos. Assim sendo, JULGO EXTINTO O PROCESSO, com resolução de mérito, com fundamento no artigo 487, inciso III, alínea b, do CPC. Sem custas. 
 
Cumprida a obrigação, dê-se baixa e arquive-se.";00045D47E193CDD303010191231B727EE634C505305B6314;['2016.001.177209-1']
9;2016.001.325314-5;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";0004DCA647C982244A1B1536182D800906ABC50522414F20;['2016.208.004929-3']
