;processo;sentenca;similar_file;similar_processo
0;2016.021.057357-4;"	Vistos...

	Dispensado o relatório.

	Trata-se de reclamação onde a parte autora indenização por danos materiais e morais. 

	Aplica-se ao presente caso o Código de Defesa do Consumidor, uma vez que trata-se relação de consumo, eis que tanto o autor como a parte ré se caracterizam, respectivamente, como consumidor e fornecedora de serviços. 

	Rejeito a preliminar de ilegitimidade passiva de ambas as rés,  uma vez que, embora o serviço de esgotamento sanitário na área que abrange o bairro onde reside o autor é de responsabilidade da segunda ré, nas faturas emitidas, vemos que  as cobranças  são efetuadas em nome das  duas empresas, ora rés, havendo  portanto, responsabilidade solidária. 

	De igual forma rejeito a preliminar de  incompetência do Juízo, uma vez que desnecessária qualquer outra prova para o deslinde da questão. 

	No mérito, o pedido merece prosperar. 
	
	Alega a parte autora  que a calçada  de rua residência começou a apresentar  rachaduras e, logo depois, começou a afundar.  Contratou  pedreiro a fim de verificar a  origem do  problema, quando foi constatado vazamentos  nos  canos, de responsabilidade das requeridas.  Entrou em  contato com as rés a fim de solucionar o problema,  em vão.  

	As rés, por seu turno, alegam que não houve falha na prestação do serviço. 

	Todavia, o art.  14, § 3º CDC determina que  cabe ao fornecedor o dever de provar que prestou o serviço de maneira adequada e sem defeitos. Sua responsabilidade é objetiva, sendo seu o ônus de comprovar que prestou devidamente o serviço. 

	Ocorre que, no presente caso, a parte ré não comprovou a inexistência do defeito ou a presença de causa excludente do nexo de causalidade, sendo, outrossim, verossímeis as alegações autorais quanto à desconformidade na prestação do serviço, especialmente diante dos diversos protocolos de queixas informados na inicial e não impugnados pelo réu. 

	Ressalte-se que foi  oportunizado às rés, na forma do despacho de fls. 36, comparecerem ao local a fim de  verificarem o problema e elaborarem laudo   técnico, a fim de justificar  o não atendimento ao pleito autoral, todavia as mesmas quedaram-se inertes,  demonstrado  total  descaso   e desinteresse  em solucionar  a questão. 

	Assim merece acolhimento o pedido  autoral. 

	Com relação aos danos materiais, consistentes  em  mão de obra e materiais,  os mesmos seguem demonstrados através dos documentos de fls. 30/31

	O  dano moral também é  inconteste. 	

	Mais do que mero aborrecimento cotidiano, a conduta das rés, que deixou de prestar o serviço adequadamente, mesmo sendo reiteradamente contatada para solucionar o problema, é capaz de gerar angústia à parte autora, ante a frustração das suas legítimas expectativas. 

	A desídia das rés é tamanha que, mesmo   havendo determinação do Juízo   para que as mesmas  comparecessem a residência do autor a fim de verificar o problema, as mesmas nada fizeram. 

	Para fixação do dano moral, vejo que a quantia de R$ 4.000,00 é moderada e justa para minorar o dano sofrido, além de praticar o efeito pedagógico da pena, para se evitar que fatos desta natureza voltem a acontecer.  

	Isto posto, JULGO PROCEDENTE  O PEDIDO INICIAL,    para determinar que a rés procedam o reparo na  tubulação  descrita na inicial, a  fim de sanar  o vazamento da agua, no prazo de  cinco dias, sob pena de multa diária de R$ 50,00  bem como condenar as  rés, de forma solidária, a pagar ao autor, a título de dano material, a quantia de R$ 1.908,90, além de  pagar a quantia de R$ 4.000,00, a título de danos morais, tudo acrescido de juros de 1% ao mês  e correção monetária, a partir da citação, o que faço com base no art. 487,  I do NCPC. 

	Sem custas e sem honorários nesta fase.

	Após o trânsito em julgado, baixe-se e arquive-se";0004193A8E973096A0106C6C7DE700FFE1B7C504574D2B14;['2016.204.001551-0']
1;2016.021.057357-4;"11166    Dispensado o relatório. Passo a decidir.\n\nIn...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004851B203BCC7506571ED7FFB52DBA78E2C505564C4E18;['2016.021.056823-2']
2;2016.021.057357-4;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
XVII JUIZADO ESPECIAL CÍVEL
PROCESSO: 23208-22.2016.8.19.0204
AUTORA: ADEILDA RIBEIRA DE AGUIAR FONTENELLE
RÉU: APPAI                                   
RÉU: FUNERÁRIA MARACANÃ

PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir. 

Reclama a autora que possui serviço de assistência funerária da 1ª ré; que sua mãe faleceu em 01/06/2016 e acionou a 1ª ré que a encaminhou para a funerária 2ª ré. Que a 2ª ré agendou o sepultamento no Cemitério de Ricardo de Albuquerque no dia 03/07/2016, informando que o corpo chegaria as 04h do dia 03/07/2016, o velório as 08h na capela C e o sepultamento as 10:30h; que no dia designado recebeu ligação do funcionário da ré as 09h, informando que estava no engarrafamento; que na capela C tinha outro corpo que teve que ser retirado pelos parentes. Requer indenização por danos morais.
Em Contestação a 1ª ré APPAI alega que atua como estipulante do serviço; que não praticou iliicito; impugna o pedido indenizatório. 
Em Contestação a 2ª ré alega que não marcou o horário de 04h com a autora; que no dia designado ocorria forte chuva e transito na cidade gerando o atraso; que chegou as 09h40m e o sepultamento ocorreu as 10:30h, como previsto; que não houve troca de corpos. Impugna o pedido indenizatório.
A autora logrou êxito em comprovar através de prova testemunhal produzida em audiência o grande atraso que o corpo trazido pela 2ª ré demorou a chegar ao Cemitério, o que também não foi negado pela ré. 

Com o atraso  a autora teve que se despedir e prestar as ultimas homenagens a sua mãe de forma rápida, tendo em vista que chegou as 09:40h e sepultado as 10:30h e possuía ainda outros parentes no local.

A alegação de forte chuva e transito na cidade não afasta da ré a responsabilidade, pois sabendo das  condições do tempo, deveria ter se dirigido ao local com maior antecedência.
Falha na prestação do serviço configurada, na forma do art.14 CDC, que enseja reparação a titulo de dano moral, que fixo em R$ 2.000,00 (dois mil reais).

Ante o exposto, JULGO PROCEDENTE EM PARTE o pedido na forma do art. 487 NCPC, para: 1- Condenar solidariamente as rés a indenizarem a autora por danos morais, na quantia de R$ 2.000,00 (dois mil reais), corrigidos desde a presente data  e juros de 1% ao mês a contar da citação.  Sem custas e honorários, nos termos do art. 55 da Lei 9099/95. Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.

Rio de Janeiro, 14 de Outubro de 2016.

ANA QUÉZIA PEREIRA DE FREITAS- JUIZA LEIGA";0004DC3FA2D68465382278EC200EAA00F5C4C5053D2A501A;['2016.204.023061-4']
3;2016.021.057357-4;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004DC3FA2D68465382278EC200EAA00F5C4C5053D2A501A;['2016.204.023061-4']
4;2016.021.057357-4;"7133    \t\tDispensado o relatório na forma do artigo ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004A56D52DBF8D50DAE698A66BB620CEB57C5052E521716;['2016.001.161428-0']
5;2016.021.057357-4;"6968    \t\tDispensado o relatório na forma do artigo ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004A56D52DBF8D50DAE698A66BB620CEB57C5052E521716;['2016.001.161428-0']
6;2016.021.057357-4;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.  

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independente de nova conclusão, cumprindo à parte ré, quando do pagamento, apresentar planilha discriminada do valor da condenação.  

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.  

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.  

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.   

Cumpridas as formalidades legais, dê-se baixa e arquivem-se os autos.";0004A56D52DBF8D50DAE698A66BB620CEB57C5052E521716;['2016.001.161428-0']
7;2016.021.057357-4;"8799    Processo nº 0014449-57.2016.8.19.0208\nParte A...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000402BB0B668BFFC9C1845CB8DED31E840EC50532110B3D;['2016.208.014282-7']
8;2016.021.057357-4;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Após, certificado o trânsito em julgado, dê-se baixa e arquive-se.;000402BB0B668BFFC9C1845CB8DED31E840EC50532110B3D;['2016.208.014282-7']
9;2016.021.057357-4;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
XVII JUIZADO ESPECIAL CÍVEL
PROCESSO: 5793-26.2016.8.19.0204
AUTOR:  LUANNA BEATRIZ AUGUSTO RODRIGUES
RÉU: NET RIO
PROJETO DE SENTENÇA
Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir. 
Reclama a autora que contratou os serviços da ré em 18/02/2016, agendado a instalação para o dia 22/02/2016, não comparecendo o técnico; que após diversas solicitações o técnico compareceu no dia 24/02/2016 e informou que o serviço não poderia ser instalado por falta de viabilidade de cabos. Requer indenização por danos morais. 
Em Contestação a ré suscita preliminar de incompetência do juizo por necessidade de produção de prova pericial. No mérito que constatou a inviabilidade após a solicitação da autora. Impugna o pedido indenizatório.
Afirmo a competência do juízo por não ser a pericia o único meio de prova para o deslinde da demanda, considerando os demais elementos dos autos. 
Configurado o defeito na prestação do serviço, na forma do art. 14 da Lei 8078/90, e a frustração sofrida pela autora ao contratar serviço e depois de tanto aguardar a prestação não o recebe por não ter viabilidade em seu endereço.  Não deve prevalecer a ideia de que sofrer a péssima qualidade da prestadora de serviço, faz parte dos meros aborrecimentos cotidianos. 
Desta forma, fixo a quantia de R$ 1.000,00 (um  mil reais) a titulo de indenização por danos morais.
Ante o exposto, JULGO PROCEDENTE EM PARTE os pedidos na forma do art. 487, NCPC, para: 1- Condenar a  ré a indenizar o autor por danos morais, na quantia de  R$ 1.000,00 (um mil reais) corrigidos desde a presente data  e juros de 1% ao mês  a contar da citação.  Sem custas e honorários, nos termos do art. 55 da Lei 9099/95. Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.
Rio de Janeiro, 29 de Abril de 2016.
ANA QUEZIA PEREIRA DE FREITAS
JUIZA LEIGA";00046619FDA4385BA0698B0359EA6DBE355CC5046256045A;['2016.204.005778-3']
