;processo;sentenca;similar_file;similar_processo
0;2016.001.261711-1;Aos 20 de julho de 2016, na Sala de Audiências deste Juizado, onde se achava presente o MM. Dr. Juiz Marcelo Menaged, abriu-se a Audiência de Conciliação, Instrução e Julgamento designada nestes autos. Efetuado o pregão, compareceram as partes. Pelas partes foi feito acordo nos seguintes termos: a ré pagará ao autor a importância de R$ 2000,00 no prazo de 15 dias úteis, mediante depósito na conta da patrona do autor, Maria Angélica de Lourdes Domingos Ferreira, CPF 019.664.787-80, banco do brasil, agência 2915-7, c/c 38264-7, data de nascimento 31/07/1968. As partes convencionaram ainda multa de 20% em caso de descumprimento. Em caso de inconsistência de dados será feito depósito ID em nome do autor. A ré encerrará a conta-corrente 12205-0, ag. 8830, baixará o saldo devedor integral da conta, bem como excluirá o nome do autor dos cadastros restritivos referente ao débito da conta corrente supra citada, no prazo de 15 dias úteis, baixará o saldo devedor integral do contrato 42046-000000025549361, 42046-000000027711217, 42046-0000000279780423, 42046-0000000279780456, 42046-000000753901693, 42046-000000753901719 e 42046-000000539192963, no prazo de trinta dias úteis. Pelo MM. Dr. Juiz foi proferida a seguinte sentença: Homologo o acordo e julgo extinto o processo com resolução do mérito. Intimados os presentes. Com o trânsito em julgado, dê-se baixa e arquive-se. P.R.I.C.;00042BFA4BF4F8EA138F8774A9CAE590066FC505245A1203;['2016.021.019679-1']
1;2016.001.261711-1;"Dispensado o relatório, na forma do artigo 38 da Lei 9099/95, passo a decidir.

Relata a parte autora que, apesar de possuir saldo suficiente em sua conta corrente, viu-se impedida de pagar suas compras por meio de seu cartão de débito e sacar dinheiro, ficando seu cartão de débito bloqueado para utilização na época das compras de Natal. Requer indenização por danos morais.

Em sua contestação, alega o réu ter tomado todas as providências necessárias para evitar ou minimizar os danos sofridos pela autora, bem como para recompô-los.

	Por ser relação de consumo toda relação jurídico-obrigacional que liga um consumidor a um fornecedor, tendo como objeto o fornecimento de um produto ou da prestação de um serviço, conclui-se que a relação existente entre as partes é de consumo, portanto a referida demanda será analisada sob a ótica do Código de Defesa do Consumidor.

  A hipótese constante dos autos é de fato do serviço, cuja previsão se encontra no art. 14 da Lei 8078 /90, e este se caracteriza quando gera um acidente de consumo. O acidente de consumo se dá quando o defeito do serviço se exterioriza, atingindo o consumidor em sua incolumidade física, econômica ou psíquica. 

	Faz-se mister esclarecer que o réu confirma a informação de que a conta foi bloqueada, mas não traz qualquer explicação para tal conduta, sem ao menos ter informado a autora previamente, o que teria evitado o transtorno que passou.

Conclui-se, assim, que o réu não logrou êxito em provar a existência de qualquer fato que excluísse sua responsabilidade frente ao consumidor. Sua conduta é, portanto, indevida, pois cabe aos fornecedores suportar os prejuízos de sua atividade, não sendo lícito transferi-los ao consumidor.  O acontecimento não foi um mero aborrecimento, mas um desrespeito à condição de consumidor.
      A quantificação do dano moral, por sua vez, não é matéria pacífica na jurisprudência, devendo ser observados, em sua fixação, a conduta da parte ré, as condições econômicas das partes e a repercussão do fato danoso. Não se pode olvidar o caráter punitivo e educativo da medida. 
Nessa linha, entendo razoável fixar o dano moral em R$ 3.000,00.
	Isso posto, JULGO PROCEDENTE EM PARTE O PEDIDO para condenar o réu a indenizar à parte autora pelos danos morais experimentados, no valor de R$ 3.000,00 (três mil reais), com juros de 1% ao mês, a partir da citação, e correção a partir da leitura de sentença. Deixo de condenar em despesas processuais e honorários advocatícios com base no art. 55 da Lei n° 9.099/95. 
Anote-se onde couber o nome dos patronos indicados na peça de defesa da ré  para as futuras publicações.
   
Projeto de sentença que se submete à homologação, nos termos do art.40, Lei nº 9.099/95.

	Rio de Janeiro, 30 de março de 2016.";00040F2A3139ECB7A123B625C9D911DC656FC5045D353A62;['2016.204.003597-0']
2;2016.001.261711-1;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;00040F2A3139ECB7A123B625C9D911DC656FC5045D353A62;['2016.204.003597-0']
3;2016.001.261711-1;"     Tendo em   vista que  houve  acordo entre  as  partes , JULGO  EXTINTO COM  RESOLUÇÃO DO MÉRITO, na forma do artigo  487, III,  alínea  b ,  do CPC.


 Sem custas. Após as formalidades legais, dê-se baixa e arquive-se. P.R.I.";0004FCE7D26423E05C25B100559080D53175C505163E112A;['2016.021.012434-2']
4;2016.001.261711-1;"Dispensado o relatório nos termos do art. 38, da lei 9.099/95.
Ante a ausência da parte autora a Audiência de Instrução e Julgamento, sendo que eventual justificativa apenas a isenta do pagamento das custas, JULGO EXTINTO O PROCESSO, SEM ANÁLISE DO MÉRITO, na forma do disposto no artigo 51, I da lei 9.099/95, ficando revogada eventual tutela antecipada concedida nos autos.
Condeno a parte autora ao pagamento das custas processuais. Ao contador para apuração das custas processuais, após intime-se para pagamento. 
Cumpridas as formalidades legais dê-se baixa e arquivem-se. 
P.I.	";0004ABFA128994AE53DBECCF388824CC8332C50515282A63;['2016.063.003330-8']
5;2016.001.261711-1;"PROJETO DE SENTENÇA

Ainda que dispensado o relatório, na forma do artigo 38 da lei 9.009/95, faço um breve relato, após o qual passo a decidir.
Trata-se de ação declaratória de inexistência de débitos c/c obrigação de fazer c/c  compensação por danos morais proposta por LUIZ ALEXANDRE DE OLIVEIRA MATOS em face de CREDICARD PROMOTORA DE VENDAS LTDA, em que alega a cobrança indevida, por serviços não contratados.
Apesar de regularmente intimada para tanto, a parte autora não compareceu à Audiência de Conciliação, Instrução e Julgamento, conforme consignado em ata de fls. 90. Tendo em vista a necessidade de presença da parte autora em audiência quando se trata de qualquer das audiências realizadas no sistema dos Juizados Especiais Cíveis, a sua ausência, em consequência, gera a extinção do feito sem resolução do mérito, na forma do artigo 51, inciso I, da Lei 9.099/95.
A justificativa, nos termos do parágrafo segundo do referido artigo, tem como única consequência permitir ao Magistrado isentá-la do pagamento das custas processuais, o que, até o momento, não ocorreu na hipótese dos autos.
Diante do exposto, JULGO EXTINTO O PROCESSO SEM RESOLUÇÃO DO MÉRITO, na forma do art. 51, I, da Lei 9.099/95.
Submeto o projeto de sentença à apreciação do juiz togado, na forma do artigo 40, da Lei nº 9.099/95.

Rio de Janeiro, 14 de julho de 2016.

Janayme Vieira de Moraes
Juíza Leiga";00042F87F14A25C1FEA0ED79A28B753B79BCC505134E5C30;['2016.001.118122-2']
6;2016.001.261711-1;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00042F87F14A25C1FEA0ED79A28B753B79BCC505134E5C30;['2016.001.118122-2']
7;2016.001.261711-1;Sentença Substitutiva;000497FDDC1F52D7665C6E6D46F6767DC996C50529442006;['2016.001.127096-6']
8;2016.001.261711-1;Face à ausência da parte autora à sessão de conciliação, não obstante sua ciência, julgo EXTINTO O PROCESSO sem resolução de mérito, com fundamento no artigo 51, inciso I, da lei 9099/95. Isento de custas. Defiro desde já o desentranhamento de documentos por quem os juntou. Após o trânsito em julgado, dê-se baixa e arquivem-se os autos.;000497FDDC1F52D7665C6E6D46F6767DC996C50529442006;['2016.001.127096-6']
9;2016.001.261711-1;"Homologo o acordo celebrado entre as partes para que surta seus jurídicos e legais efeitos, e julgo o feito extinto, com resolução do mérito, nos termos do art. 487, inc. III, b, do novo Código de Processo Civil ( Lei nº 13.105/ 2015). 

Se for o caso, comprovado o depósito, expeça-se mandado de pagamento em favor da parte autora, independentemente de nova conclusão.   Após, nada mais sendo requerido, dê-se baixa e arquivem-se. 


Decorrido o prazo do cumprimento o acordo, aguarde-se por cinco dias a manifestação das partes; não havendo manifestação,  dê-se baixa e arquive-se.";00048D6BBCDCBB076CF8D57C086B3A41AA8BC50534532C0E;['2016.001.211672-9']
