;processo;sentenca;similar_file;similar_processo
0;2016.021.000259-5;"12444    Ao 23º dia do mês de Janeiro de 2017, às 14:50...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";0004FC47606C0725E47074327D5309C30E05C5052E024345;['2016.063.003443-0']
1;2016.021.000259-5;"Homologo o acordo celebrado entre as partes para que surta seus jurídicos e legais efeitos, e julgo o feito extinto, com resolução do mérito, nos termos do art. 487, inc. III, b, do novo Código de Processo Civil ( Lei nº 13.105/ 2015). 

Se for o caso, comprovado o depósito, expeça-se mandado de pagamento em favor da parte autora, independentemente de nova conclusão.   Após, nada mais sendo requerido, dê-se baixa e arquivem-se. 


Decorrido o prazo do cumprimento o acordo, aguarde-se por cinco dias a manifestação das partes; não havendo manifestação,  dê-se baixa e arquive-se.";000405598929D8B4FEC0CB6AD9EA70734D51C5054F505614;['2016.001.286019-4']
2;2016.021.000259-5;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 487, inciso III, b do CPC.  Defiro, desde já, expedição de guia e de mandado de pagamento, se for o caso, independente de nova conclusão. Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;00046735A58185D15632D092E48DEECF09DEC50606611520;['2016.204.037212-3']
3;2016.021.000259-5;"11250    \nESTADO DO RIO DE JANEIRO\nPODER JUDICIÁRIO\n...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00043345EEDD0CB438BF9460B098D956F023C505535D434C;['2016.001.331203-4']
4;2016.021.000259-5;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00043345EEDD0CB438BF9460B098D956F023C505535D434C;['2016.001.331203-4']
5;2016.021.000259-5;"
Dispensado o relatório, na forma do artigo 38 da Lei 9099/95, passo a decidir.

Com efeito, não se encontram acostados à petição inicial quaisquer documentos; inexistem documentos de identificação e outros documentos relativos à causa de pedir, que deixaram de ser juntados.

Em razão disso, não resta outra alternativa, senão declarar a inépcia da inicial, com fundamento no art. 295, parágrafo único, II do CPC e indeferi-la, extinguindo o processo sem resolução do mérito com fundamento no art. 267, I do CPC.

Diante do exposto, JULGO EXTINTO SEM RESOLUÇÃO DO MÉRITO o pedido formulado na inicial, com fundamento no art. 267, I do CPC. Sem custas e honorários advocatícios, na forma do art. 55 da lei 9099/95.

	Projeto de sentença sujeito a homologação pelo Juiz de Direito nos termos do artigo 40 da lei 9099/95.

Rio de Janeiro, 12 de maio de 2016.";000469B45FF11EA4758F627B5FAF8FBB0DC1C50504644752;['2016.204.008127-0']
6;2016.021.000259-5;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;000469B45FF11EA4758F627B5FAF8FBB0DC1C50504644752;['2016.204.008127-0']
7;2016.021.000259-5;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
17º JUIZADO ESPECIAL CÍVEL
PROCESSO: 39173-40.2016.8.19.0204
AUTOR:  MARLUCE DOS SANTOS DE OLIVEIRA
RÉU: SKY                                            
PROJETO DE SENTENÇA
Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir. 
Reclama a autora que é cliente da ré com serviço de TV e plano no valor de R$ 158,90 com pagamento através de cartão de credito; que em 09/01/2015 a ré passou a lhe cobrar a fatura com vencimento em janeiro, que tinha sido paga através de cartão credito; que enviou o comprovante de pagamento ao réu e teve o sinal cortado em 30/01/2015; que continuou recebendo cobranças e teve o nome negativado; que registrou reclamação no PROCON sem êxito. Requer exclusão da negativação e indenização por danos morais.
Em Contestação a ré suscita preliminar de falta de interesse processual. No mérito, que o contrato esta cancelado e sem débitos; que não identificou o pagamento de janeiro/2015 e realizou a cobrança; que após o envio do comprovante, foi dado a baixa na pendência; que o pagamento foi realizado na fatura do cartão com vencimento para 11.02.2016; que a suspensão do sinal por falta de pagamento é previsto em contrato; que o contrato foi cancelado pela autora em 14/07/2015, sem débitos. Ausência de danos morais.
Rejeito a preliminar de falta de interesse processual suscitada tendo a autora já ingressado com reclamação administrativa no PROCON, juntado as fls.18/21. 
A autora comprova a regularidade dos pagamento a ré as fls.13/16 por pelo menos três meses antes de sofrer a interrupção do serviço, não prosperando a alegação da defesa de atraso no pagamento, tendo em vista ainda ser realizado através de cartão de credito.  Desta forma, a suspensão do serviço foi indevida pois não estava inadimplente. 
A situação sob exame caracteriza dano moral  pela falha na prestação do serviço da ré,  que causou frustração a autora que contrata e paga por serviço que não é prestado.  Desta forma arbitro o quantum indenizatório em R$ 1.200,00 (um mil e duzentos reais). 
Não há nos autos prova da negativação do nome da autora pela ré, sendo os documentos de fls.08/12, apenas cobranças. 
Ante o exposto, JULGO PROCEDENTE EM PARTE os pedidos na forma do art. 487 NCPC, para: 1- Condenar a ré a indenizar a autora por danos morais, na quantia  de R$ 1.200,00 (UM MIL e DUZENTOS REAIS), corrigidos desde data da sentença e juros de 1% ao mês  a contar da citação.  Sem custas e honorários, nos termos do art. 55 Lei 9099/95. Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.                          
Rio de Janeiro, 10 de Março de 2017.
ANA QUEZIA PEREIRA DE FREITAS  - JUIZA LEIGA";0004601154A5021AFB9EC921872E62EEE762C506095A5253;['2016.204.038438-1']
8;2016.021.000259-5;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos,  expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;0004601154A5021AFB9EC921872E62EEE762C506095A5253;['2016.204.038438-1']
9;2016.021.000259-5;Homologo para que produza os seus jurídicos e legais efeitos o acordo a que chegaram as partes e, em consequência, JULGO EXTINTO O PROCESSO COM RESOLUÇÃO DO MÉRITO, na forma do artigo 269, inciso III, do CPC.  Defiro, desde já expedição  de guia e de  mandado de pagamento, se for o caso, independente de nova conclusão.  Com o cumprimento ou decorrido o prazo sem manifestação da parte autora,  certifique-se o  trânsito em julgado, dê-se baixa e arquivem-se, ficando cientes as partes de que, após 90 dias da data do arquivamento definitivo, os autos serão eliminados, na forma do Ato Normativo Conjunto 01/2005, publicado no D.O. de 07/01/2005. P.R.I. Defiro o desentranhamento de documentos mediante cópia.;0004293135EE217E5F259C6E08E05E1A257BC50453554229;['2016.204.000114-5']
10;2016.021.000259-5;"Ao 09º dia do mês de Novembro de 2016, às 16:00 horas, na sala de audiências do Juizado Especial Cível da Comarca de Três Rios, perante o MMª. Juíza de Direito Drª. Elen de Freitas Barbosa, foi aberta a audiência de instrução e julgamento nos autos do processo supra mencionado. Efetuado o pregão, ao mesmo respondeu a parte autora e a(s) parte(s) ré(s) representada(s) por seu(s) preposto(s) e advogado(s) acima mencionado(s). Tentada a conciliação, a mesma foi aceita nos seguintes termos: 1) A parte ré pagará a parte autora o valor de R$ 900,00 (novecentos reais), no prazo de 30 (trinta) dias corridos, a contar da presente; 2) O pagamento será feito mediante depósito identificado em nome da parte autora, CPF nº. 104.471.327-50. Comprovado o depósito, expeça-se mandado de pagamento, independente de nova conclusão; 3) O não cumprimento da cláusula acima importará na incidência de multa de 30% sobre o valor acordado; 4) Com o depósito a parte autora, dará plena quitação a parte ré. Pela MMª. Drª. Juíza foi proferida a seguinte SENTENÇA: Considerando a vontade manifestada pelas partes, HOMOLOGO o acordo celebrado, nesta data, para que surta seus jurídicos e legais efeitos. Por via de conseqüência JULGO EXTINTO o processo, COM RESOLUÇÃO DO MÉRITO, nos termos do artigo 487, III, b do NCPC. Sem custas e honorários. Publicada em audiência. Intimados os presentes. Registre-se. Com o trânsito em julgado, dê-se baixa e arquivem-se. Nada mais havendo, às 16:10 horas, encerrou-se a presente, que vai por todos assinada, após lido e achado conforme. Eu, _______, Lídia Wendling Pessamilio Botelho, mat. 01/21290 digitei e eu, _______, Victor Pires da Silva, Escrivão mat. 01/06145, subscrevo.";0004D05EEFDEDA57057B6A645E9734DEE173C50534104B1B;['2016.063.007933-3']
11;2016.021.000259-5;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";000496EC63B3C9F9C571D1FA523760BB712EC50611293F53;['2016.208.035452-1']
12;2016.021.000259-5;Projeto em Revisão;0004D8B1FD2D16A651968A2814E940F639D3C5051D5C4830;['2016.204.015669-4']
