;processo;sentenca;similar_file;similar_processo
0;2016.001.143083-0;Projeto em Revisão;00047CFFC1B8469AD09725BAD15B498A5B39C505462F4E44;['2016.204.026426-0']
1;2016.001.143083-0;"
PROJETO DE SENTENÇA


Dispenso o relatório na forma do permitido pelo art. 38 da Lei nº. 9.099/95.
 
Pretende o autor declaração de inexistência de ilícito, cancelamento de débito cobrado em razão do ilícito imputado e indenização por dano moral. 

A ré apresenta contestação, suscitando preliminar de incompetência do juízo por necessidade de produção de prova pericial, e, no mérito, impugna os pedidos formulados, afirmando a legalidade dos procedimentos adotados diante da constatação de irregularidade no medidor de energia no imóvel objeto da lide. 

Cumpre afirmar a competência do juízo, afastando a preliminar suscitada, uma vez que a perícia a que se refere a ré deveria ter sido realizada no exato momento da lavratura do TOI, e não agora, meses depois e com o local desfeito pela atuação de seus próprios funcionários. 

A relação entre as parte é de consumo, com aplicação das normas especiais da Lei 8078/90. 

Evidente que a ré, enquanto concessionária de serviço público, tem o dever de investigar e reprimir desvios de energia elétrica, não sendo aceitável, no entanto, que atue da forma arbitrária relatada nos presentes autos. Inadmissível que o consumidor seja acusado de praticar o ¿gato¿ e, sem qualquer oportunidade de defesa, seja obrigado a recorrer ao Poder Judiciário para desconstituir cobrança unilateralmente imposta. 

Evidente, pois, a frontal violação aos princípios constitucionais da ampla defesa, do contraditório e do devido processo legal. Neste sentido o posicionamento do Egrégio Conselho Recursal do Estado do Rio de Janeiro, ilustrado pelo seguinte aresto (Proc. 2002.700.022017-3, Rel. Juiz André Luiz Cidra):
¿Sentença reconhecendo corretamente a impossibilidade de cobrança do consumidor de valor estimado pertinente a constatação de desvio de energia elétrica por ""termo de ocorrência de irregularidade"" levado a efeito por funcionários da ré, face a violação das garantias constitucionais do contraditório e ampla defesa, incidentes inclusive nos procedimentos administrativos. Alegação de vício de consentimento no ato jurídico de reconhecimento do débito recuperado que se reconhece, já que inarredável o temor do consumidor de ver suspenso o serviço essencial, sendo correta a decisão que cancelou o débito.¿ 

Assim, o cancelamento do termo de ocorrência de irregularidade objeto da demanda e do débito dele decorrente tem por fundamento vício de forma.


Quanto a restituição dos valores pagos pelo autor, não há nos autos prova de seu efetivo pagamento. 

Quanto aos danos morais, certo é que inexiste nos autos qualquer notícia de interrupção de serviço ou inclusão dos dados do autor em cadastros restritivos, de modo que a questão é exclusivamente patrimonial.

Pelo exposto, JULGO PROCEDENTE em parte o pedido inicial para: CANCELAR a cobrança relativa ao ilícito indevidamente imputado ao autor, devendo a ré abster-se de realizar cobranças indevidas, sob pena de multa de R$ 200,00 por cada cobrança irregular;

 JULGO IMPROCEDENTE o pedido de indenização por danos morais e materiais

Sem custas e honorários, na forma da Lei nº. 9.099/95. Submeto o Projeto de sentença à homologação.


Rio de Janeiro, 05 de novembro de 2016

MAGNUM MAGALHÃES PINTO DA SILVA";00047CFFC1B8469AD09725BAD15B498A5B39C505462F4E44;['2016.204.026426-0']
2;2016.001.143083-0;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;00047CFFC1B8469AD09725BAD15B498A5B39C505462F4E44;['2016.204.026426-0']
3;2016.001.143083-0;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
XVII JUIZADO ESPECIAL CÍVEL

PROCESSO: 8378-51.2016.8.19.0204
AUTOR: ANDREA ALVES DE SOUZA
RÉU: LIGHT
PROJETO DE SENTENÇA
Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir.

Pretende a autora declaração de inexistência de ilícito, cancelamento de débito cobrado em razão do ilícito imputado e indenização por danos materiais e morais.

A ré apresenta contestação, suscitando preliminar de incompetência do juízo por necessidade de produção de prova pericial, e, no mérito impugna os pedidos formulados, afirmando a legalidade dos procedimentos adotados.

Cumpre afirmar a competência do juízo, afastando a preliminar suscitada, uma vez que a perícia a que se refere a ré já  deveria ter sido realizada no exato momento em que foi constatado diferença do medidor, não agora, meses depois e com o local desfeito pela atuação de seus próprios funcionários.

A relação entre as parte é de consumo, com aplicação das normas especiais da Lei 8078/90.

A ré não justifica o que ensejou a aplicação dos termos de Ocorrencia - TOI, juntado as fls. 14/17, em desfavor da autora.

Evidente, pois, a frontal violação aos princípios constitucionais da ampla defesa, do contraditório e do devido processo legal. Neste sentido o posicionamento do Egrégio Conselho Recursal do Estado do Rio de Janeiro, ilustrado pelo seguinte aresto (Proc. 2002.700.022017-3, Rel. Juiz André Luiz Cidra):
""Sentença reconhecendo corretamente a impossibilidade de cobrança do consumidor de valor estimado pertinente a constatação de desvio de energia elétrica por ""termo de ocorrência de irregularidade"" levado a efeito por funcionários da ré, face a violação das garantias constitucionais do contraditório e ampla defesa, incidentes inclusive nos procedimentos administrativos. Alegação de vício de consentimento no ato jurídico de reconhecimento do débito recuperado que se reconhece, já que inarredável o temor do consumidor de ver suspenso o serviço essencial, sendo correta a decisão que cancelou o débito.""

Assim, o cancelamento do Termo e do débito dele decorrente tem por fundamento vício de forma, fazendo jus ao cancelamento e devolução dos valores pagos, na forma simples, no total de duas parcelas de R$ 78,19.

Não ha nos autos noticia de interrupção do serviço ou negativação indevida decorrente da multa  lançada, de forma a ensejar reparação a título de dano moral, razão pela qual se tem a improcedência do pedido.

Pelo exposto, JULGO PROCEDENTE em parte os pedidos, na forma do art. 487 NCPC, para: 1- Determinar que a ré cancele as cobranças denominada : "" TERMO DE OCORRENCIA E INSPEÇÃO - TOI,  no prazo de 10 dias, sob pena de multa de R$ 300,00 por cada cobrança indevida. 2- Condenar a ré a restituir a autora a quantia de R$ 156,38, referente a duas parcelas ja pagas, corrigidos desde o desembolso e juros de 1% ao mês a contar da citação.  IMPROCEDENTE o pedido de indenização por danos morais. Sem custas e honorários, nos termos do art. 55 da Lei 9099/95.  Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.

Rio de Janeiro, 03 de Junho de 2016.

ANA QUÉZIA PEREIRA DE FREITAS
JUIZA LEIGA.";000467FE7A87B8461899F6CFA7ABE58AD4D0C50503540D5B;['2016.204.008355-1']
4;2016.001.143083-0;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;000467FE7A87B8461899F6CFA7ABE58AD4D0C50503540D5B;['2016.204.008355-1']
5;2016.001.143083-0;"
                          Tendo em vista o pagamento do débito pelo Executado, JULGO EXTINTO o presente processo executivo, nos termos do artigo 924, II, do CPC. Expeça-se mandado de pagamento em nome da paret autora. Após o recebimento, dê-se baixa e arquivem-se.";000467FE7A87B8461899F6CFA7ABE58AD4D0C50503540D5B;['2016.204.008355-1']
6;2016.001.143083-0;"Processo :0008721-47.2016.8.19.0204

Autor: DALVA DA SILVA BISPO

Réu: LIGHT- SERVIÇOS DE ELETRICIDADE S.A

			
			PROJETO DE SENTENÇA

Dispensado o relatório nos termos do art. 38 da Lei 9.099/95.

A parte autora alega, em síntese, que está sendo cobrada nas suas faturas de consumo valores referentes a TOI que ela considera indevida. Requer cancelamento do TOI nas faturas, declarando-o nulo, e indenização por danos morais.

Em contestação a ré suscita a preliminar de incompetência do Juizado por necessidade de prova pericial. No mérito sustenta que foi apurada uma irregularidade no medidor residencial da autora.
Não há necessidade de produção de prova pericial, já que os documentos juntados aos autos, por si só, autorizam o julgamento da lide. Nesse sentido:
RI 00014508020138190207 RJ 0001450-80.2013.8.19.0207
QUINTA TURMA RECURSAL
TOI - EXTINÇÃO DO PROCESSO - PERÍCIA DISPENSABILIDADE - REFORMA DA SENTENÇA ENTENDIMENTO DAS TURMAS RECURSAIS. V O T O.
A situação dos autos é de lavratura de TOI. É pacífico o entendimento das Turmas Recursais no sentido de que incumbe à concessionária a demonstração da regularidade da medição apurada, sendo, a priori, dispensável a produção de prova pericial. Eventual complexidade só pode ser reconhecida após a análise de eventuais documentos juntados pela demandada, a quem incumbe a produção da prova contrária. Pelo exposto, voto no sentido de dar provimento ao recurso da parte autora para ANULAR a sentença recorrida e determinar a designação de Audiência de Conciliação, Instrução e Julgamento. Sem ônus sucumbenciais.
Inicialmente, cabe ressaltar que a situação dos autos se consubstancia em efetiva relação de consumo, presente a relação entre consumidor e fornecedor, nos moldes dos arts. 2º e 3º do Código de Defesa do Consumidor. Assim sendo, inteiramente aplicáveis são as normas protetivas dispostas na Lei 8.078/90.
Houve no presente caso, a inobservância, pela concessionária, do disposto no art. 72, II da Resolução 456/00 da ANEEL. O procedimento adotado pela ré viola os princípios da transparência e informação estabelecidos pelo CDC, pelos quais, em se tratando de relação de consumo, somente os serviços efetivamente prestados podem ser cobrados do usuário.
Ressalta-se que o procedimento adotado pela ré não foi previamente comunicado ao consumidor. O cálculo da dívida foi elaborado de forma unilateral, sem contraditório e ampla defesa. Não poderia a concessionária imputar um ato infracional ao usuário por presunção de irregularidade. Infração pressupõe autoria certa e determinada, não bastando a simples materialidade.
Assim sendo, merece prosperar o pedido quanto ao cancelamento do TOI e dos respectivos débitos.
Com relação a danos morais, não restou configurada lesão a direitos da personalidade, a ensejar a condenação pretendida a tal título. Não houve interrupção dos serviços de energia elétrica, nem houve pedido de restabelecimento do serviço. Ressaltando ainda, o direito da empresa de cobrar pela via adequada a recuperação do consumo.
Ante o exposto, JULGO PROCEDENTE O PEDIDO da parte autora para condenar a ré a CANCELAR a cobrança relativa ao ilícito indevidamente imputado à autora, devendo a ré abster-se de realizar cobranças indevidas, declarando assim nulo o Termo de Ocorrência de Irregularidade (TOI Nº 0007087128,), sob pena de multa de R$ 200,00 por cada cobrança irregular. Julgo improcedente o pedido de danos morais.
Com isto, Julgo extinto o processo com julgamento de mérito, nos termos do artigo 487,I, CPC.
Sem custas e honorários de sucumbência, nos termos do art. 55 da Lei 9.0099/95.
Submeto a apreciação do MM. Juiz de Direito conforme artigo 40 da Lei 9.099/ 95. Rio de Janeiro, 18 de maio de 2016. Juliana de Mattos Braga ¿ juíza leiga";000497513B7A7D7500A4AEB03390F3B6055519C50506423A;['2016.204.008696-5']
7;2016.001.143083-0;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;000497513B7A7D7500A4AEB03390F3B6055519C50506423A;['2016.204.008696-5']
8;2016.001.143083-0;"3872    Processo :0017689-66.2016.8.19.0204\n\nAutor: ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00049CD0421DEA8B243933F199344D3796A7C505245B5862;['2016.204.017627-9']
9;2016.001.143083-0;"6340    Processo :0017689-66.2016.8.19.0204\n\nAutor: ...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";00049CD0421DEA8B243933F199344D3796A7C505245B5862;['2016.204.017627-9']
