;processo;sentenca;similar_file;similar_processo
0;2016.001.017451-9;"HOMOLOGO, por sentença, o acordo celebrado entre as partes, para que produza seus jurídicos e legais efeitos. Assim sendo, JULGO EXTINTO O PROCESSO, com resolução de mérito, com fundamento no artigo 487, inciso III, alínea b, do CPC. Sem custas. 
 
Cumprida a obrigação, dê-se baixa e arquive-se.";00048E95C953BEE22BBAA3347335EA1D5012C5051A2B405D;['2016.001.114257-5']
1;2016.001.017451-9;"HOMOLOGO, por sentença, para que produza seus efeitos legais, o ACORDO ajustado pelas partes e, em consequência, JULGO EXTINTO O PROCESSO com resolução do mérito, nos termos do art. 487, inciso III, alínea b, do Código de Processo Civil. Sem Custas. Registre-se. Dê-se baixa e arquivem-se os autos.
Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. 
Cientes as partes de que, decorridos 90 dias da data do arquivamento definitivo, os autos processuais (físicos) serão eliminados, nos termos do artigo 1°, do Ato Normativo Conjunto n° 01/2005. PRI.";00042DC979509BB100D894CC8F7BC197D631C5055938092B;['2016.208.030107-3']
2;2016.001.017451-9;"	Dispensado o relatório, consoante o artigo 38 da Lei nº. 9.099/95, passo a decidir.

	Relata a parte autora ter contratado serviço do réu, porém não houve a instalação, em que pese receba cobranças. Requer indenização por danos materiais e morais.

	Em sua contestação, alega o réu que se dispõe a devolver o valor pago e que houve somente mero aborrecimento.

	Cabe destacar, de início, que a relação jurídica entre as partes é de consumo, já que estão presentes os seus requisitos subjetivos (consumidor e fornecedor ¿ artigos 2o e 3o da Lei 8078/90) e objetivos (produto e serviço ¿ §§ 1o e 2o do artigo 3º da mesma lei). Aplicam-se, portanto, as regras do microssistema jurídico do Código de Proteção e Defesa do Consumidor.

	De acordo com o artigo 14 do CDC, o fornecedor de serviços responde, de forma objetiva, pela reparação dos danos causados ao consumidor por defeitos na prestação dos serviços, bem como por informações insuficientes e inadequadas sobre sua fruição e riscos. 

	Pela análise dos autos, verifica-se que o réu confirma não ter instalado o serviço na residência da parte autora. 

	Em razão do exposto, merece acolhida o pedido de devolução do valor pago.

O réu não logrou êxito em provar a existência de qualquer fato que excluísse sua responsabilidade frente ao autor-consumidor, sendo sua conduta indevida; sabe-se que, uma vez ocorrida a fraude, pela teoria do risco do empreendimento, cabe aos fornecedores suportar os prejuízos de sua atividade, não sendo lícito transferi-los ao consumidor.  

	Ademais, no caso em tela, mostra-se evidente todo o transtorno sofrido pela autora, uma vez que foi cobrado por dívida de que não deu causa.

Assim, fixo a indenização no montante de R$ 2.000,00.


	Posto isso, julgo procedente em parte o pedido para 1) condenar o réu a restituir à parte autora o valor de R$ 179,90, com correção monetária a partir do desembolso e juros de mora a partir da citação; e para 2) condenar o réu a indenizar a parte autora pelos danos morais experimentados, no valor de R$ 2.000,00 (dois mil reais), com juros de 1% ao mês, a partir da citação, e correção a partir da leitura de sentença. Sem ônus sucumbenciais, consoante o artigo 55 da Lei 9.099/95.

	Anote-se o nome dos advogados da ré para fins de publicação, conforme requerimento formulado em contestação.

Projeto de sentença que se submete à homologação.

Rio de Janeiro, 12 de maio de 2016.";000431A7F2BEDDD9B4E21BB5A5AEB08D9FEEC5050344073B;['2016.204.007802-6']
3;2016.001.017451-9;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;000431A7F2BEDDD9B4E21BB5A5AEB08D9FEEC5050344073B;['2016.204.007802-6']
4;2016.001.017451-9;"
                          Tendo em vista o pagamento do débito pelo Executado, JULGO EXTINTO o presente processo executivo, nos termos do artigo 924, II, do CPC. Expeça-se mandado de pagamento como requerido, se houver poderes tanto. Após o recebimento, dê-se baixa e arquivem-se.";000431A7F2BEDDD9B4E21BB5A5AEB08D9FEEC5050344073B;['2016.204.007802-6']
5;2016.001.017451-9;"3505    VI - JUIZADO ESPECIAL CÍVEL DA GÁVEA\nProc. Nº...
Name: ANDPROCCLOB__TXT_DESCR, dtype: object";000420A12C083A8BDC4EEB83EC20FA7C29D0C50523321D16;['2016.001.143315-6']
6;2016.001.017451-9;Projeto em Revisão;00047DA763968EBFC1B9039F9FD769B84118EEC50534644F;['2016.204.020945-5']
7;2016.001.017451-9;Projeto em Revisão;00047DA763968EBFC1B9039F9FD769B84118EEC50534644F;['2016.204.020945-5']
8;2016.001.017451-9;"PODER JUDICIÁRIO DO ESTADO DO RIO DE JANEIRO
XVII JUIZADO ESPECIAL CÍVEL

PROCESSO: 21076-89.2016.8.19.0204
AUTOR: ALEX SANDRO DOS SANTOS PESSANHA
REU: BANCO ITAUCARD

PROJETO DE SENTENÇA
Dispensado o relatório nos termos do art. 38 da Lei 9099/95, passo a decidir.

Reclama a autor que possui cartão de credito do réu e por dificuldades não efetuou o pagamento da fatura em dia, recebendo proposta do réu de parcelar o que anuiu e efetuou o pagamento da 1ª parcela; que ao receber seu salário teve o valor integral do debito retido pelo réu, deixando sua conta com saldo negativo e impossibilitou o pagamento de outras contas domesticas que possui; que solicitou o réu o estorno por diversas vezes e registrou reclamação no PROCON sem êxito. Requer devolução em dobro do valor debitado; ressarcimento do juros e indenização por danos morais.

 Em contestação a re alega que tentou pactuar acordo com o autor, sem êxito. Impugna o pedido indenizatório.

O autor comprovou as fls.25 e 28, que cumpriu o pagamento do acordo de parcelamento do debito com a ré, não tendo a ré que descontar valores de sua conta para quitar a mencionada divida, e ainda por não ter o autor autorizado o desconto. 

Desta forma, indevido o desconto efetuado devendo ser restituído,  pois o autor  realizou acordo do debito.

O valor debitado esta comprovado nos autos as fls.26, no valor de  R$ 1.471,77 no dia 01/07/2016, sendo esta a quantia a ser restituída, por não se tratar de restituição em dobro, eis que o valor é devido o que desconto que não. 

Deve ser compelida a ré a se abster de efetuar descontos em conta corrente e cancelar os débitos e encargos que foram gerados pelo desconto indevida deixando a conta negativa. 

O dano moral restou caracterizado, diante do transtorno causado ao autor que teve seus proventos retidos pelo réu indevidamente. Desta forma arbitro o quantum indenizatório em  R$ 2.500,00 (dois mil e quinhentos reais).

Ante o exposto, JULGO PROCEDENTE EM PARTE os pedidos, forma do art. 487 NCPC, para: 1-  Condenar a ré a restituir ao autor a quantia de R$ 1471,77,  corrigidos desde o desconto e juros de 1% ao mês a contar da citação. 2- Determinar que a ré se abstenha de efetuar descontos em conta corrente do autor e cancelar todos os débitos e encargos gerados com o desconto efetuado, no prazo de 10 dias, sob pena de multa pelo valor em triplo do que for debitado. 3-CONDENAR o réu a pagar ao autor  indenização por danos morais na quantia de R$ 2.500,00 (dois mil e quinhentos reais), com correção monetária desde a presente data e juros de 1% ao mês a partir da citação. Submeto o presente projeto de sentença à apreciação do Juiz Togado, para homologação.


Rio de Janeiro, 30 de Setembro de 2016.

ANA QUÉZIA PEREIRA DE FREITAS
JUIZA LEIGA";00047DA763968EBFC1B9039F9FD769B84118EEC50534644F;['2016.204.020945-5']
9;2016.001.017451-9;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;00047DA763968EBFC1B9039F9FD769B84118EEC50534644F;['2016.204.020945-5']
10;2016.001.017451-9;"Processo : 0012472-30.2016.8.19.0208 
Autor: MARIÂNGELA BOSCO FONTES
Réu: SKY BRASIL - SERVIÇOS LTDA - DIRECTV

Projeto de Sentença

Trata-se de ação em que a parte autora alega, em síntese, possuir contrato de tv por assinatura mantido com a parte ré, aduzindo que constantemente a parte ré corta o sinal sob a alegação de falta de pagamento. Afirma que não se encontra inadimplente. Requer restabelecimento do serviço e ressarcimento por danos morais. 

A parte ré, em contestação, pugna pela improcedência do pleito autoral, alegando que a hipótese trata apenas de meros aborrecimentos não indenizáveis.

É o breve relatório, conforme possibilita o artigo 38 da Lei n. 9099/95. Decido.

A relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor ¿ artigos 2o e 3o da Lei 8078/90) e objetivos (produto e serviço ¿ §§ 1o e 2o do artigo 3º da citada lei) de tal relação. 

A parte autora informou na AIJ realizada em 08 de julho de 2016 que o cancelou o contrato, havendo com isso perda do objeto quanto ao pedido de obrigação de fazer.

	Cinge-se a controvérsia, pois, a respeito da existência de danos extrapatrimoniais decorrentes da conduta da parte ré, sendo que tenho o mesmo como procedente.

	A parte autora, amparando sua narrativa, apresentou os documentos de fls. 06/15, mostrando o adimplemento das faturas enviadas pela ré. Trouxe ainda os protocolos de fls. 03, sequer impugnados pela parte ré, sendo assim verossímeis suas alegações, militando em seu favor a inversão do ônus probatório.

		A parte ré, em sua peça de bloqueio, não impugna especificamente os fatos narrados pela autora, apresentando alegações genéricas e desprovidas de qualquer suporte probatório, sem comprovar a regular prestação do serviço contratado.

		Dessa forma, não atendeu a ré ao disposto no artigo 373, II do CPC, respondendo, assim, objetivamente pela falha na prestação do serviço, na esteira do artigo 14 do CDC.

O dano moral, no caso em tela, não se configura apenas como lesão de sentimento, mas como forma de ressarcir a falta de cuidado com o consumidor, e prevenir situações semelhantes no futuro.

Destarte, entendendo que a reparação desse tipo de dano tem tríplice caráter punitivo, indenizatório e educativo, como forma de desestimular a reiteração do ato danoso, mas com atenção aos critérios de razoabilidade e proporcionalidade, evitando o enriquecimento ilícito, tenho como adequando o valor de R$ 1.000,00 (mil reais) como apto a atender o acima exposto.

Diante do exposto, JULGO PROCEDENTES OS PEDIDOS para:

1) Condenar a ré a pagar a parte autora a quantia de R$ 1.000,00 (mil reais), a título de ressarcimento por danos morais, corrigida monetariamente desde a publicação da presente e acrescida de juros legais, a partir da citação.

JULGO EXTINTO O PROCESSO, SEM RESOLUÇÃO DE MÉRITO, quanto ao pedido de obrigação de fazer, por perda superveniente do objeto, nos termos do artigo 485, VI do CPC.

Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da lei 9.099/95.

Cientes as partes do disposto no artigo 52, IV, da Lei n° 9.099/95, quanto à necessidade de cumprimento voluntário da sentença, sob pena de penhora, dispensada nova citação. 

Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. 

Projeto de sentença sujeito à homologação, assim, remeto os autos ao MM. Juiz Togado, nos termos do artigo 40 da Lei nº 9.099/95.

Rio de janeiro, 29 de agosto de 2016.

NOELMA RAMOS FARIA
Juíza Leiga";0004FAB77D5B7A0915A08005830BFD55D197C5051E3E132B;['2016.208.012328-6']
11;2016.001.017451-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004FAB77D5B7A0915A08005830BFD55D197C5051E3E132B;['2016.208.012328-6']
12;2016.001.017451-9;"Dispensado o relatório, na forma do artigo 38 da Lei 9099/95, passo a decidir.

Relata a parte autora ser cliente do réu e que solicitou acréscimo de pacote, porém recebeu cobranças em valores superiores ao informado, o que a levou a pedir o cancelamento do serviço. Afirma que, ainda assim, o réu continuou enviando cobranças e não retirou o equipamento. Requer cancelamento e indenização por danos materiais e morais.

Em sua contestação, alega o réu que houve somente mero aborrecimento.

Por ser relação de consumo toda relação jurídico-obrigacional que liga um consumidor a um fornecedor, tendo como objeto o fornecimento de um produto ou da prestação de um serviço, conclui-se que a relação existente entre as partes é de consumo, portanto a referida demanda será analisada sob a ótica do Código de Defesa do Consumidor. 

Com efeito, a ré não comprovou ter cumprido fielmente ao contratado. Pelo contrário, já que não demonstrou ter a parte autora contratado outro plano que não o do valor informado. Assim, merece acolhida o pedido de condenação do réu à restituição do valor pago, porém de forma simples, ante à contratação válida entre as partes.

Do exposto, o que se pode concluir é que o consumidor foi tratado com desrespeito, posto que, em que pese tenha contratado plano por determinado valor, o réu cobrou-lhe valor maior.

Tal acontecimento não é um mero aborrecimento, mas um desrespeito à condição de consumidor, não atentando a ré para o princípio da boa-fé, sendo certo dizer, que a situação pela qual passou o autor é causa apta a gerar sensível desequilíbrio a seu bem-estar, fazendo jus, assim, à reparação correspondente (artigo 6º,VI, do CDC).

Por esta razão, impõe-se o reconhecimento do dever reparatório da autora, devendo a fixação do valor devido a título de indenização pelo dano moral aqui configurado atender ao princípio da razoabilidade, pois se impõe, a um só tempo, reparar a lesão moral sofrida pela parte autora sem representar enriquecimento sem causa e, ainda, garantir o caráter punitivo-pedagógico da verba, pois a indenização deve valer, por óbvio, como desestímulo à prática constatada. 

À luz de tais critérios, e considerando a dimensão dos fatos aqui relatados, fixo a quantia de R$ 1.500,00.

	Isso posto, JULGO PROCEDENTE EM PARTE O PEDIDO para 1) condenar o réu a cancelar o serviço em nome da autora, sob pena de multa de R$ 200,00 por cada cobrança indevida; para 2) condenar o réu a restituir à parte autora o valor de R$ 364,64, com correção monetária a partir do desembolso e juros de mora a partir da citação; e para 3) condenar o réu a indenizar à parte autora pelos danos morais experimentados, no valor de R$ 1.500,00 (hum mil e quinhentos reais), com juros de 1% ao mês, a partir da citação, e correção a partir da leitura de sentença. Deixo de condenar em despesas processuais e honorários advocatícios com base no art. 55 da Lei n° 9.099/95. 

Anote-se onde couber o nome do patrono indicado na peça de defesa dos réus para as futuras publicações.
   
Projeto de sentença que se submete à homologação, nos termos do art.40, Lei nº 9.099/95.

	Rio de Janeiro, 18 de março de 2015.";00046D0F4730855618536E16ADC0615CC806C505013F2659;['2016.204.006903-7']
13;2016.001.017451-9;Dispensado o relatório na forma do art. 38 da Lei 9099/95. HOMOLOGO o projeto de sentença proferido pelo Juiz Leigo, para que produza seus jurídicos e legais efeitos, na forma do art. 40 da Lei 9.099/95.  FICAM AS PARTES CIENTES DE QUE, NOS TERMOS DO AVISO 02/2016 DA COJES (D.O. 31/03/2016) OS PRAZOS PROCESSUAIS EM SEDE DE JEC CONTINUARÃO A SER CONTADOS EM DIAS CORRIDOS, INAPLICÁVEL O ARTIGO 219 DO NCPC.Fica a parte ré ciente de que caso não pague a quantia certa a que foi condenada em 15 dias, contados do trânsito em julgado da sentença, o valor da condenação será acrescido de multa de 10%, por aplicação do artigo 523,§1º do CPC, sendo certo, ainda, que a comprovação do depósito deverá vir aos autos no prazo de 5 dias, após a efetivação. Comprovado o depósito nos autos, e a quitação por parte do credor, expeça-se mandado de pagamento. Após, dê-se baixa e arquive-se. Caso negativo, após o decurso do prazo de trinta dias do trânsito em julgado, dê-se baixa e arquive-se.;00046D0F4730855618536E16ADC0615CC806C505013F2659;['2016.204.006903-7']
14;2016.001.017451-9;"Processo : 0012472-30.2016.8.19.0208 
Autor: MARIÂNGELA BOSCO FONTES
Réu: SKY BRASIL - SERVIÇOS LTDA - DIRECTV

Projeto de Sentença

Trata-se de ação em que a parte autora alega, em síntese, possuir contrato de tv por assinatura mantido com a parte ré, aduzindo que constantemente a parte ré corta o sinal sob a alegação de falta de pagamento. Afirma que não se encontra inadimplente. Requer restabelecimento do serviço e ressarcimento por danos morais. 

A parte ré, em contestação, pugna pela improcedência do pleito autoral, alegando que a hipótese trata apenas de meros aborrecimentos não indenizáveis.

É o breve relatório, conforme possibilita o artigo 38 da Lei n. 9099/95. Decido.

A relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor ¿ artigos 2o e 3o da Lei 8078/90) e objetivos (produto e serviço ¿ §§ 1o e 2o do artigo 3º da citada lei) de tal relação. 

A parte autora informou na AIJ realizada em 08 de julho de 2016 que o cancelou o contrato, havendo com isso perda do objeto quanto ao pedido de obrigação de fazer.

	Cinge-se a controvérsia, pois, a respeito da existência de danos extrapatrimoniais decorrentes da conduta da parte ré, sendo que tenho o mesmo como procedente.

	A parte autora, amparando sua narrativa, apresentou os documentos de fls. 06/15, mostrando o adimplemento das faturas enviadas pela ré. Trouxe ainda os protocolos de fls. 03, sequer impugnados pela parte ré, sendo assim verossímeis suas alegações, militando em seu favor a inversão do ônus probatório.

		A parte ré, em sua peça de bloqueio, não impugna especificamente os fatos narrados pela autora, apresentando alegações genéricas e desprovidas de qualquer suporte probatório, sem comprovar a regular prestação do serviço contratado.

		Dessa forma, não atendeu a ré ao disposto no artigo 373, II do CPC, respondendo, assim, objetivamente pela falha na prestação do serviço, na esteira do artigo 14 do CDC.

O dano moral, no caso em tela, não se configura apenas como lesão de sentimento, mas como forma de ressarcir a falta de cuidado com o consumidor, e prevenir situações semelhantes no futuro.

Destarte, entendendo que a reparação desse tipo de dano tem tríplice caráter punitivo, indenizatório e educativo, como forma de desestimular a reiteração do ato danoso, mas com atenção aos critérios de razoabilidade e proporcionalidade, evitando o enriquecimento ilícito, tenho como adequando o valor de R$ 1.000,00 (mil reais) como apto a atender o acima exposto.

Diante do exposto, JULGO PROCEDENTES OS PEDIDOS para:

1) Condenar a ré a pagar a parte autora a quantia de R$ 1.000,00 (mil reais), a título de ressarcimento por danos morais, corrigida monetariamente desde a publicação da presente e acrescida de juros legais, a partir da citação.

JULGO EXTINTO O PROCESSO, SEM RESOLUÇÃO DE MÉRITO, quanto ao pedido de obrigação de fazer, por perda superveniente do objeto, nos termos do artigo 485, VI do CPC.

Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da lei 9.099/95.

Cientes as partes do disposto no artigo 52, IV, da Lei n° 9.099/95, quanto à necessidade de cumprimento voluntário da sentença, sob pena de penhora, dispensada nova citação. 

Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. 

Projeto de sentença sujeito à homologação, assim, remeto os autos ao MM. Juiz Togado, nos termos do artigo 40 da Lei nº 9.099/95.

Rio de janeiro, 29 de agosto de 2016.

NOELMA RAMOS FARIA
Juíza Leiga";0004F9D9BD9F14CC8946816FA6CD80D572B2C5051E3E575C;['2016.208.012328-6']
15;2016.001.017451-9;Homologo por sentença na forma do artigo 40 da Lei nº 9.099/95 o Projeto de Sentença elaborado pelo Juiz Leigo. PRI. Certifique-se o trânsito em julgado. Defiro desde já, se for o caso, independente de nova conclusão e havendo quitação da parte Autora, a expedição de mandado de pagamento. Após, dê-se baixa e arquivem-se.;0004F9D9BD9F14CC8946816FA6CD80D572B2C5051E3E575C;['2016.208.012328-6']
